gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0228	PSC.0187	PSC.0188	PSC.0174	PSC.0190	PSC.0231	PSC.0230	PSC.0219	PSC.0177	PSC.0186	PSC.0209	PSC.0203	V2	uniprot_accession	gene_name	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	Entry	Reviewed	Entry.Name	Protein.names	Gene.Names	Organism	Length	Gene.Ontology.biological.process	Gene.Ontology.IDs
g4306	93.3604114605998	-1.32600730250305	0.313896491283609	-4.2243457296405	2.39635936309675e-05	0.000193672626179162	51	48	48	50	12	72	172	123	202	166	149	149	sp	Q96K21	ANCHR_HUMAN	39.869	153	71	4	1	459	76	207	2.55e-23	99	Q96K21	reviewed	ANCHR_HUMAN	Abscission/NoCut checkpoint regulator (ANCHR) (MLL partner containing FYVE domain) (Zinc finger FYVE domain-containing protein 19)	ZFYVE19 ANCHR MPFYVE	Homo sapiens (Human)	471	abscission [GO:0009838]; cell division [GO:0051301]; mitotic cytokinesis checkpoint signaling [GO:0044878]; negative regulation of cytokinesis [GO:0032466]	GO:0005737; GO:0005813; GO:0009838; GO:0030496; GO:0032154; GO:0032266; GO:0032466; GO:0044878; GO:0046872; GO:0051301; GO:0090543
g4300	5142.34982331495	5.00204628594813	1.15188874882847	4.34247342986505	1.40887528572076e-05	0.000122593887567032	509	4385	32776	39	108	17559	13	228	674	97	457	577	sp	P80146	SEPR_THESR	39.633	381	202	9	52	1119	30	407	5.67e-75	241	P80146	reviewed	SEPR_THESR	Extracellular serine proteinase (EC 3.4.21.-)		Thermus sp. (strain Rt41A)	410	proteolysis [GO:0006508]	GO:0004252; GO:0005615; GO:0006508
g4302	43.2047584094114	-1.52709887897062	0.552887514542303	-2.76204261952778	0.00574409797693457	0.0204184528179635	37	44	15	4	7	17	103	76	18	147	63	74	sp	P10394	POL4_DROME	25.872	344	226	4	157	1143	882	1211	5.33e-36	145	P10394	reviewed	POL4_DROME	Retrovirus-related Pol polyprotein from transposon 412 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]	POL ORF3	Drosophila melanogaster (Fruit fly)	1237	DNA integration [GO:0015074]; proteolysis [GO:0006508]	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0006508; GO:0015074; GO:0042575
g5656	53.8013751095286	-1.51219605490057	0.54717205910463	-2.76365729890349	0.00571575353083049	0.0203415902131528	46	20	47	20	0	26	185	128	55	115	53	76	sp	B4F7A7	CEP57_RAT	35.103	339	200	5	778	1773	173	498	1.93e-45	149	B4F7A7	reviewed	CEP57_RAT	Centrosomal protein of 57 kDa (Cep57) (Translokin)	Cep57	Rattus norvegicus (Rat)	499	fibroblast growth factor receptor signaling pathway [GO:0008543]; protein homooligomerization [GO:0051260]; spermatid development [GO:0007286]	GO:0005634; GO:0005737; GO:0005794; GO:0005813; GO:0005829; GO:0005874; GO:0007286; GO:0008017; GO:0008543; GO:0017134; GO:0034451; GO:0042803; GO:0043015; GO:0051260
g5657	171.064630743188	-0.625910866702675	0.215977359403727	-2.89803925944228	0.0037550358203294	0.0143361818171112	181	175	107	82	76	88	374	225	167	271	240	259	sp	Q6PAM1	TXLNA_MOUSE	54.743	369	139	6	91	1131	119	481	1.45e-104	325	Q6PAM1	reviewed	TXLNA_MOUSE	Alpha-taxilin	Txlna Txln	Mus musculus (Mouse)	554	B cell activation [GO:0042113]; exocytosis [GO:0006887]	GO:0005737; GO:0006887; GO:0019905; GO:0042113
g1379	339.179138077488	-1.85287968917862	0.523203996587156	-3.5414096628942	0.000397995118109025	0.00217655087773138	192	348	98	117	51	16	528	715	965	525	569	454	sp	Q6AY22	SPAT1_RAT	42.336	137	79	0	28	438	7	143	1.06e-22	106	Q6AY22	reviewed	SPAT1_RAT	Spermatogenesis-associated protein 1	Spata1	Rattus norvegicus (Rat)	444		GO:0001669; GO:0031410
g1373	123.460927044269	-0.96632647964761	0.334946717807673	-2.88501552119247	0.00391394364817865	0.0148333310551996	44	89	145	65	42	53	233	249	160	276	174	107	sp	Q96EH8	NEUL3_HUMAN	30.464	151	95	5	10	450	19	163	3.53e-10	65.5	Q96EH8	reviewed	NEUL3_HUMAN	E3 ubiquitin-protein ligase NEURL3 (EC 2.3.2.27) (Lung-inducible neuralized-related C3CH4 RING domain protein) (Neuralized-like protein 3) (RING-type E3 ubiquitin transferase NEURL3)	NEURL3 LINCR	Homo sapiens (Human)	262	innate immune response [GO:0045087]; protein ubiquitination [GO:0016567]; ubiquitin-dependent endocytosis [GO:0070086]	GO:0005769; GO:0016567; GO:0045087; GO:0046872; GO:0061630; GO:0070086
g6009	52.3598394825514	-3.32213188859314	0.593204247898651	-5.60031709206629	2.13960061106838e-08	4.00138572310374e-07	8	5	23	4	9	0	125	125	155	145	68	74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g254	619.909657538175	1.04307435097313	0.299105509567406	3.48731239515355	0.00048790109099987	0.0025874672316411	787	489	581	685	837	586	724	439	489	427	436	463	sp	G3X9K3	BIG1_MOUSE	65.827	1112	314	10	1	3240	760	1837	0	1405	G3X9K3	reviewed	BIG1_MOUSE	Brefeldin A-inhibited guanine nucleotide-exchange protein 1 (BIG1) (Brefeldin A-inhibited GEP 1) (ADP-ribosylation factor guanine nucleotide-exchange factor 1)	Arfgef1	Mus musculus (Mouse)	1846	endomembrane system organization [GO:0010256]; Golgi organization [GO:0007030]; negative regulation of actin filament polymerization [GO:0030837]; negative regulation of GTPase activity [GO:0034260]; neuron projection development [GO:0031175]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of wound healing [GO:0090303]; protein glycosylation [GO:0006486]; protein transport [GO:0015031]; regulation of ARF protein signal transduction [GO:0032012]; regulation of establishment of cell polarity [GO:2000114]	GO:0000139; GO:0005085; GO:0005654; GO:0005730; GO:0005802; GO:0005829; GO:0006486; GO:0007030; GO:0010256; GO:0015031; GO:0016363; GO:0017022; GO:0030532; GO:0030837; GO:0031175; GO:0032012; GO:0034237; GO:0034260; GO:0048471; GO:0051897; GO:0090303; GO:2000114
g253	258.256708422647	0.750824092805535	0.308434169739025	2.43430905674566	0.0149202495735642	0.0443527827465183	326	178	260	301	255	270	409	148	267	178	155	277	sp	A2A5R2	BIG2_MOUSE	58.264	726	269	10	16	2154	5	709	0	679	A2A5R2	reviewed	BIG2_MOUSE	Brefeldin A-inhibited guanine nucleotide-exchange protein 2 (Brefeldin A-inhibited GEP 2) (ADP-ribosylation factor guanine nucleotide-exchange factor 2)	Arfgef2 Arfgep2 Big2	Mus musculus (Mouse)	1792	endomembrane system organization [GO:0010256]; endosome organization [GO:0007032]; exocytosis [GO:0006887]; Golgi to plasma membrane transport [GO:0006893]; intracellular signal transduction [GO:0035556]; positive regulation of tumor necrosis factor production [GO:0032760]; protein transport [GO:0015031]; receptor recycling [GO:0001881]; regulation of ARF protein signal transduction [GO:0032012]	GO:0000139; GO:0001881; GO:0005085; GO:0005802; GO:0005813; GO:0005815; GO:0005829; GO:0005879; GO:0006887; GO:0006893; GO:0007032; GO:0010256; GO:0015031; GO:0016020; GO:0017022; GO:0031410; GO:0032012; GO:0032279; GO:0032280; GO:0032760; GO:0034237; GO:0035556; GO:0043197; GO:0048471; GO:0050811; GO:0055037; GO:0098793; GO:0098794; GO:0098978; GO:0098982
g6534	135.015083671106	3.3776695558182	1.20864071554852	2.79460183027617	0.00519636725229312	0.0188089891130583	91	509	467	4	8	321	0	46	71	0	15	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g15974	44.0843190539604	-1.46382263172084	0.415732061945868	-3.52107226194993	0.000429805471467069	0.00232375654390838	9	35	43	14	8	17	119	51	69	87	51	104	sp	A5PJF4	TM218_BOVIN	39.091	110	66	1	10	336	5	114	2.51e-20	82.4	A5PJF4	reviewed	TM218_BOVIN	Transmembrane protein 218	TMEM218	Bos taurus (Bovine)	115		GO:0005929; GO:0016020
g19474	161.000820618742	-1.20795762643687	0.422781271031908	-2.85716920120074	0.00427437916651248	0.0159742639921414	129	177	115	82	26	18	268	243	248	356	305	200	sp	Q1LZ80	PAGR1_BOVIN	36.646	161	90	5	517	993	85	235	3.4e-08	57.4	Q1LZ80	reviewed	PAGR1_BOVIN	PAXIP1-associated glutamate-rich protein 1 (PAXIP1-associated protein 1) (PTIP-associated protein 1)	PAGR1 PA1	Bos taurus (Bovine)	253	DNA recombination [GO:0006310]; DNA repair [GO:0006281]; positive regulation of cell cycle G1/S phase transition [GO:1902808]; positive regulation of intracellular estrogen receptor signaling pathway [GO:0033148]	GO:0006281; GO:0006310; GO:0030331; GO:0033148; GO:0044666; GO:1902808
g19471	187.901745013707	-0.808079877992397	0.336782538960625	-2.39941144361666	0.0164214513617942	0.0479698822800745	215	119	61	196	56	74	510	324	230	268	230	236	sp	Q9DG67	RA54B_CHICK	55.611	802	310	10	634	2958	130	912	0	859	Q9DG67	reviewed	RA54B_CHICK	DNA repair and recombination protein RAD54B (EC 3.6.4.-) (RAD54 homolog B)	RAD54B	Gallus gallus (Chicken)	918	double-strand break repair via homologous recombination [GO:0000724]; reciprocal meiotic recombination [GO:0007131]	GO:0000724; GO:0003677; GO:0004386; GO:0005524; GO:0005634; GO:0007131; GO:0015616; GO:0016787; GO:0140658
g19479	182.208319332354	-1.04320740832368	0.40617861388152	-2.56834646796048	0.0102184966737319	0.032679994589906	142	137	156	157	22	45	449	281	220	370	120	396	sp	Q96GX1	TECT2_HUMAN	24.224	322	159	10	2251	3207	414	653	2.06e-16	88.2	Q96GX1	reviewed	TECT2_HUMAN	Tectonic-2	TCTN2 C12orf38 TECT2	Homo sapiens (Human)	697	cilium assembly [GO:0060271]; protein localization to ciliary transition zone [GO:1904491]; smoothened signaling pathway [GO:0007224]	GO:0005737; GO:0005856; GO:0007224; GO:0036038; GO:0060170; GO:0060271; GO:1904491
g8218	188.02568629327	-0.592554143742296	0.234062549031064	-2.53160595830158	0.011354150667838	0.0355620196290304	168	133	218	138	54	95	376	235	254	352	276	176	sp	Q6EV70	OFUT1_RAT	43.681	364	179	8	265	1308	33	386	7.22e-101	309	Q6EV70	reviewed	OFUT1_RAT	GDP-fucose protein O-fucosyltransferase 1 (EC 2.4.1.221) (Peptide-O-fucosyltransferase 1) (O-FucT-1)	Pofut1 Fut12	Rattus norvegicus (Rat)	395	angiogenesis [GO:0001525]; fucose metabolic process [GO:0006004]; heart development [GO:0007507]; nervous system development [GO:0007399]; Notch signaling pathway [GO:0007219]; protein O-linked fucosylation [GO:0036066]; protein O-linked glycosylation [GO:0006493]; regulation of Notch signaling pathway [GO:0008593]; somitogenesis [GO:0001756]	GO:0001525; GO:0001756; GO:0005783; GO:0006004; GO:0006493; GO:0007219; GO:0007399; GO:0007507; GO:0008417; GO:0008593; GO:0016020; GO:0036066; GO:0046922
g20606	14.9189394912718	-2.47921557722512	0.770630152533259	-3.21712765724946	0.0012948097251087	0.00588748579214834	4	3	16	0	0	3	70	18	16	39	18	37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g13916	322.996021684064	-0.623594572402383	0.236673661691308	-2.63482876778969	0.00841797374212362	0.0278325061646859	312	216	280	247	149	121	752	455	355	667	288	428	sp	Q2TAF4	INT6A_XENLA	51.084	969	380	16	1	2886	1	882	0	875	Q2TAF4	reviewed	INT6A_XENLA	Integrator complex subunit 6-A (Int6-A)	ints6-a	Xenopus laevis (African clawed frog)	883		GO:0005634
g3150	4519.24619870635	-1.15528727332692	0.398222813365219	-2.90110770792878	0.00371846042726783	0.0142175964684115	3187	1138	2497	1914	2134	2942	5851	7542	5684	5641	13574	5243	sp	Q9Y561	LRP12_HUMAN	31.333	150	99	3	61	498	43	192	4.77e-12	70.1	Q9Y561	reviewed	LRP12_HUMAN	Low-density lipoprotein receptor-related protein 12 (LDLR-related protein 12) (LRP-12) (Suppressor of tumorigenicity 7 protein)	LRP12 ST7	Homo sapiens (Human)	859	endocytosis [GO:0006897]; neuron migration [GO:0001764]; neuron projection development [GO:0031175]; regulation of growth [GO:0040008]; signal transduction [GO:0007165]	GO:0001764; GO:0005041; GO:0005886; GO:0005905; GO:0006897; GO:0007165; GO:0016020; GO:0031175; GO:0040008
g3152	5668.33872649571	-1.16709020236059	0.338743483031448	-3.44535101285549	0.000570318266385104	0.00295954792428758	3337	1919	2939	2514	2983	3261	7865	10198	6148	9054	14130	8014	sp	Q5R662	LRP12_PONAB	31.333	150	99	3	91	528	43	192	6.7e-12	69.7	Q5R662	reviewed	LRP12_PONAB	Low-density lipoprotein receptor-related protein 12 (LRP-12)	LRP12	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	859	endocytosis [GO:0006897]; neuron migration [GO:0001764]; neuron projection development [GO:0031175]	GO:0001764; GO:0005886; GO:0005905; GO:0006897; GO:0031175
g3158	34.4689824126636	3.11242230599075	1.23778662526772	2.51450633126495	0.0119199162321011	0.0369746868753402	51	199	76	0	0	41	38	6	6	9	0	3	sp	Q4G0P3	HYDIN_HUMAN	47.785	1061	513	9	64	3156	24	1073	0	972	Q4G0P3	reviewed	HYDIN_HUMAN	Hydrocephalus-inducing protein homolog	HYDIN HYDIN1 KIAA1864	Homo sapiens (Human)	5121	axonemal central apparatus assembly [GO:1904158]; cilium movement [GO:0003341]; epithelial cell development [GO:0002064]; trachea development [GO:0060438]; ventricular system development [GO:0021591]	GO:0002064; GO:0003341; GO:0005930; GO:0021591; GO:0060438; GO:1904158; GO:1990716; GO:1990718
g11669	87.2992595808567	2.26693920082103	0.68195914226567	3.32415691838897	0.000886862791993727	0.00427832472790986	99	101	142	82	148	114	59	31	20	35	0	80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g17622	271.084376643351	3.32501363820883	1.04163103372381	3.19212228760311	0.00141231525407648	0.00635295448412718	149	627	708	4	9	1163	17	55	160	3	29	66	sp	Q9N126	RDH8_BOVIN	41.176	272	153	4	4	807	4	272	3.39e-59	194	Q9N126	reviewed	RDH8_BOVIN	Retinol dehydrogenase 8 (EC 1.1.1.300) (Photoreceptor outer segment all-trans retinol dehydrogenase)	RDH8 PRRDH	Bos taurus (Bovine)	312	estrogen biosynthetic process [GO:0006703]; retinol metabolic process [GO:0042572]; visual perception [GO:0007601]	GO:0004303; GO:0004745; GO:0005829; GO:0006703; GO:0007601; GO:0042572; GO:0042622; GO:0052650
g17621	71.5679351838758	-1.96201706686779	0.348767058976124	-5.62558021571099	1.84885464325913e-08	3.50486131795143e-07	39	42	40	13	11	15	226	181	108	130	138	69	sp	Q5ZKJ5	MF13A_CHICK	28.571	434	280	6	70	1311	30	453	7.94e-49	177	Q5ZKJ5	reviewed	MF13A_CHICK	Transmembrane protein 180 (Major facilitator superfamily domain-containing 13A)	MFSD13A TMEM180 RCJMB04_10g6	Gallus gallus (Chicken)	509		GO:0005886
g17624	157.235667622777	-0.722692265097663	0.2361978644242	-3.0596900901684	0.00221566131765008	0.00924318996755222	80	130	127	112	61	101	371	307	184	208	146	241	sp	B5FYC7	LYRM1_TAEGU	55.556	117	52	0	4	354	4	120	3.96e-43	140	B5FYC7	reviewed	LYRM1_TAEGU	LYR motif-containing protein 1	LYRM1	Taeniopygia guttata (Zebra finch) (Poephila guttata)	122		GO:0005739
g3974	5.09452929686247	-5.55140511676905	2.03374004953523	-2.72965324060846	0.00634009750926644	0.0221642521229339	0	0	0	0	0	0	49	7	16	15	0	0	sp	Q80VA0	GALT7_MOUSE	45.756	542	266	12	286	1857	122	653	2.41e-155	465	Q80VA0	reviewed	GALT7_MOUSE	N-acetylgalactosaminyltransferase 7 (EC 2.4.1.41) (Polypeptide GalNAc transferase 7) (GalNAc-T7) (pp-GaNTase 7) (Protein-UDP acetylgalactosaminyltransferase 7) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 7)	Galnt7	Mus musculus (Mouse)	657	protein O-linked glycosylation [GO:0006493]	GO:0000139; GO:0004653; GO:0005794; GO:0006493; GO:0030246; GO:0046872
g3970	13.0076009320019	-1.7973881330747	0.697909353468089	-2.57538908762725	0.0100127380383959	0.032153004159952	9	7	3	12	0	1	27	17	50	15	17	19	sp	Q9NWQ9	CN119_HUMAN	44.118	102	55	1	70	369	34	135	6.01e-24	92.8	Q9NWQ9	reviewed	CN119_HUMAN	Uncharacterized protein C14orf119	C14orf119 My028	Homo sapiens (Human)	140		GO:0005739; GO:0005829
g10536	6.98192917441642	4.95790827353133	1.87028970005152	2.65087717341049	0.00802830315171944	0.0267368125076731	29	25	0	0	3	19	4	0	0	0	0	0	sp	O00338	ST1C2_HUMAN	32.653	294	186	5	100	972	12	296	8.95e-55	183	O00338	reviewed	ST1C2_HUMAN	Sulfotransferase 1C2 (ST1C2) (EC 2.8.2.1) (Sulfotransferase 1C1) (SULT1C#1) (humSULTC2)	SULT1C2 SULT1C1	Homo sapiens (Human)	296	amine metabolic process [GO:0009308]; sulfation [GO:0051923]	GO:0004062; GO:0005737; GO:0005764; GO:0005829; GO:0008146; GO:0009308; GO:0051923
g2360	280.526997708529	-0.619581693589731	0.252797773285885	-2.45089854050674	0.0142500113532711	0.0427689929972532	230	146	181	303	117	152	589	353	326	531	406	309	sp	O95427	PIGN_HUMAN	51.551	935	432	5	25	2802	7	929	0	850	O95427	reviewed	PIGN_HUMAN	GPI ethanolamine phosphate transferase 1 (EC 2.-.-.-) (MCD4 homolog) (Phosphatidylinositol-glycan biosynthesis class N protein) (PIG-N)	PIGN MCD4	Homo sapiens (Human)	931	GPI anchor biosynthetic process [GO:0006506]; preassembly of GPI anchor in ER membrane [GO:0016254]	GO:0005789; GO:0005829; GO:0005886; GO:0006506; GO:0016020; GO:0016254; GO:0051377
g4402	37.410186994511	-1.3248410530131	0.530902067522518	-2.49545280393339	0.0125796488601627	0.0386820451489788	33	33	13	25	0	16	91	64	38	109	59	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
