gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,PSC.0228,PSC.0187,PSC.0188,PSC.0174,PSC.0190,PSC.0231,PSC.0230,PSC.0219,PSC.0177,PSC.0186,PSC.0209,PSC.0203,V2,uniprot_accession,gene_name,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,Entry,Reviewed,Entry.Name,Protein.names,Gene.Names,Organism,Length,Gene.Ontology.biological.process,Gene.Ontology.IDs
g14871,780.7714899,1.118435913,0.293641488,3.808848403,0.000139616,0.000900515,1710,665,889,982,620,695,731,564,610,392,812,429,sp,P25787,PSA2_HUMAN,82.203,236,39,2,1,705,1,234,2.20E-144,405,P25787,reviewed,PSA2_HUMAN,Proteasome subunit alpha type-2 (Macropain subunit C3) (Multicatalytic endopeptidase complex subunit C3) (Proteasome component C3) (Proteasome subunit alpha-2) (alpha-2),PSMA2 HC3 PSC3,Homo sapiens (Human),234,proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; response to virus [GO:0009615],GO:0000502; GO:0000932; GO:0005576; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005839; GO:0009615; GO:0019773; GO:0034774; GO:0043161; GO:0070062; GO:1904813
g11585,1621.458056,1.354470952,0.279696219,4.84265021,1.28E-06,1.50E-05,3160,1467,1626,1707,1849,1807,1248,991,1339,870,1174,921,sp,P46471,PRS7_MOUSE,90.553,434,40,1,1,1302,1,433,0,763,P46471,reviewed,PRS7_MOUSE,26S proteasome regulatory subunit 7 (26S proteasome AAA-ATPase subunit RPT1) (Proteasome 26S subunit ATPase 2),Psmc2 Mss1,Mus musculus (Mouse),433,proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161],GO:0000932; GO:0005524; GO:0008540; GO:0016887; GO:0017025; GO:0022624; GO:0036402; GO:0043161; GO:0043197; GO:0140296
g17328,162.3532508,1.42792885,0.365713512,3.904501214,9.44E-05,0.000643503,220,159,155,155,224,219,125,84,111,97,52,168,sp,Q9HAU4,SMUF2_HUMAN,70.5,200,50,2,1,600,1,191,5.31E-96,300,Q9HAU4,reviewed,SMUF2_HUMAN,E3 ubiquitin-protein ligase SMURF2 (hSMURF2) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF2) (SMAD ubiquitination regulatory factor 2) (SMAD-specific E3 ubiquitin-protein ligase 2),SMURF2,Homo sapiens (Human),748,"negative regulation of BMP signaling pathway [GO:0030514]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of trophoblast cell migration [GO:1901165]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]; regulation of transforming growth factor beta receptor signaling pathway [GO:0017015]; ubiquitin-dependent protein catabolic process [GO:0006511]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]",GO:0000122; GO:0000151; GO:0004842; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005886; GO:0006511; GO:0016567; GO:0016607; GO:0017015; GO:0030512; GO:0030514; GO:0042802; GO:0043161; GO:0045121; GO:0045892; GO:0046332; GO:0060071; GO:0061630; GO:0090263; GO:1901165
g17329,411.2786026,1.987134134,0.391268888,5.078691904,3.80E-07,5.11E-06,713,362,416,372,683,565,284,130,173,200,108,324,sp,A9JRZ0,SMUF2_DANRE,67.614,528,105,6,1,1398,242,765,0,733,A9JRZ0,reviewed,SMUF2_DANRE,E3 ubiquitin-protein ligase SMURF2 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF2) (SMAD ubiquitination regulatory factor 2) (SMAD-specific E3 ubiquitin-protein ligase 2),smurf2,Danio rerio (Zebrafish) (Brachydanio rerio),765,negative regulation of BMP signaling pathway [GO:0030514]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567],GO:0005634; GO:0005737; GO:0005886; GO:0016567; GO:0030514; GO:0043161; GO:0045121; GO:0046332; GO:0061630
g13964,979.0957353,-1.627383103,0.271217765,-6.0002821,1.97E-09,4.64E-08,572,784,467,246,206,316,2959,2135,1251,2140,1019,1643,sp,P49407,ARRB1_HUMAN,57.045,440,145,12,187,1488,4,405,3.35E-151,441,P49407,reviewed,ARRB1_HUMAN,Beta-arrestin-1 (Arrestin beta-1) (Non-visual arrestin-2),ARRB1 ARR1,Homo sapiens (Human),418,G protein-coupled receptor internalization [GO:0002031]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of interleukin-8 production [GO:0032717]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of Notch signaling pathway [GO:0045746]; negative regulation of protein ubiquitination [GO:0031397]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of receptor internalization [GO:0002092]; positive regulation of Rho protein signal transduction [GO:0035025]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein transport [GO:0015031]; protein ubiquitination [GO:0016567]; regulation of transcription by RNA polymerase II [GO:0006357]; signal transduction [GO:0007165]; stress fiber assembly [GO:0043149]; ubiquitin-dependent protein catabolic process [GO:0006511]; visual perception [GO:0007601],GO:0000139; GO:0000785; GO:0001664; GO:0001934; GO:0002031; GO:0002092; GO:0003713; GO:0004857; GO:0005096; GO:0005159; GO:0005634; GO:0005654; GO:0005737; GO:0005765; GO:0005829; GO:0005886; GO:0005905; GO:0006357; GO:0006511; GO:0007165; GO:0007601; GO:0015031; GO:0016567; GO:0016604; GO:0030659; GO:0031143; GO:0031397; GO:0031410; GO:0031625; GO:0031701; GO:0032088; GO:0032715; GO:0032717; GO:0035025; GO:0043149; GO:0043161; GO:0045746; GO:0045944; GO:0070374; GO:1990763
g12733,731.5553764,0.64748658,0.219892412,2.944560818,0.003234134,0.012677327,744,1135,701,686,625,623,822,629,643,638,816,569,sp,Q8BK63,KC1A_MOUSE,81.373,306,56,1,25,942,5,309,0,510,Q8BK63,reviewed,KC1A_MOUSE,Casein kinase I isoform alpha (CKI-alpha) (EC 2.7.11.1) (CK1),Csnk1a1,Mus musculus (Mouse),337,cell division [GO:0051301]; cell morphogenesis [GO:0000902]; Golgi organization [GO:0007030]; intermediate filament cytoskeleton organization [GO:0045104]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of NLRP3 inflammasome complex assembly [GO:1900226]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein phosphorylation [GO:0006468]; signal transduction [GO:0007165]; Wnt signaling pathway [GO:0016055],GO:0000287; GO:0000776; GO:0000902; GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005813; GO:0005819; GO:0005829; GO:0005929; GO:0006468; GO:0007030; GO:0007165; GO:0016055; GO:0016607; GO:0018105; GO:0030877; GO:0032436; GO:0036064; GO:0042277; GO:0043161; GO:0045104; GO:0051219; GO:0051301; GO:0090090; GO:0106310; GO:1900226; GO:1990904
g14363,1106.996185,0.546852485,0.176437182,3.099417475,0.001939016,0.008284427,1327,1043,974,1163,874,1207,1594,1015,1020,1070,866,1071,sp,Q6GPF3,CUL3B_XENLA,78.609,762,150,3,10,2256,7,768,0,1233,Q6GPF3,reviewed,CUL3B_XENLA,Cullin-3-B (CUL-3-B),cul3b,Xenopus laevis (African clawed frog),768,cell migration [GO:0016477]; COPII vesicle coating [GO:0048208]; embryonic cleavage [GO:0040016]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; integrin-mediated signaling pathway [GO:0007229]; mitotic metaphase chromosome alignment [GO:0007080]; negative regulation of Rho protein signal transduction [GO:0035024]; positive regulation of mitotic cell cycle phase transition [GO:1901992]; positive regulation of mitotic metaphase/anaphase transition [GO:0045842]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein monoubiquitination [GO:0006513]; protein ubiquitination [GO:0016567]; stem cell division [GO:0017145]; stress fiber assembly [GO:0043149],GO:0000922; GO:0005634; GO:0005737; GO:0005813; GO:0005827; GO:0006513; GO:0006888; GO:0007080; GO:0007229; GO:0016477; GO:0016567; GO:0017145; GO:0031463; GO:0031625; GO:0035024; GO:0040016; GO:0043149; GO:0043161; GO:0045842; GO:0048208; GO:0072686; GO:1901992
g5001,538.059899,1.142401174,0.25306969,4.514176207,6.36E-06,6.19E-05,1213,534,574,601,369,606,484,473,512,312,328,319,sp,Q5RE15,PSMD8_PONAB,67.293,266,85,1,4,795,24,289,2.27E-120,348,Q5RE15,reviewed,PSMD8_PONAB,26S proteasome non-ATPase regulatory subunit 8 (26S proteasome regulatory subunit RPN12),PSMD8,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),289,proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161],GO:0005634; GO:0005829; GO:0008541; GO:0022624; GO:0043161
g5002,1134.452049,1.589344875,0.296470533,5.360886499,8.28E-08,1.33E-06,2674,928,1107,1488,1310,1061,822,612,790,599,606,665,sp,P62334,PRS10_MOUSE,89.717,389,40,0,1,1167,1,389,0,723,P62334,reviewed,PRS10_MOUSE,26S proteasome regulatory subunit 10B (26S proteasome AAA-ATPase subunit RPT4) (Proteasome 26S subunit ATPase 6) (Proteasome subunit p42),Psmc6 Sug2,Mus musculus (Mouse),389,ERAD pathway [GO:0036503]; positive regulation of inclusion body assembly [GO:0090261]; positive regulation of RNA polymerase II transcription preinitiation complex assembly [GO:0045899]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161],GO:0005524; GO:0005634; GO:0008540; GO:0016234; GO:0016887; GO:0022624; GO:0031597; GO:0036402; GO:0036503; GO:0042802; GO:0043161; GO:0045899; GO:0090261
g208,390.7642792,2.08689625,0.673383665,3.099119209,0.001940969,0.008290809,457,126,122,184,1077,619,130,273,265,144,122,117,sp,D3ZQG6,TRIM2_RAT,28.906,256,140,8,1,732,8,233,1.92E-16,86.7,D3ZQG6,reviewed,TRIM2_RAT,Tripartite motif-containing protein 2 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM2) (RING-type E3 ubiquitin transferase TRIM2),Trim2,Rattus norvegicus (Rat),744,cellular response to leukemia inhibitory factor [GO:1990830]; negative regulation of translation [GO:0017148]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; regulation of neuron apoptotic process [GO:0043523],GO:0000209; GO:0004842; GO:0005737; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0043523; GO:0061630; GO:1990830
g5709,429.9058296,1.322084954,0.271311075,4.872948715,1.10E-06,1.31E-05,636,557,406,373,486,580,371,246,260,381,179,365,sp,Q93034,CUL5_HUMAN,75.456,493,87,3,1,1401,296,780,0,749,Q93034,reviewed,CUL5_HUMAN,Cullin-5 (CUL-5) (Vasopressin-activated calcium-mobilizing receptor 1) (VACM-1),CUL5 VACM1,Homo sapiens (Human),780,ERBB2 signaling pathway [GO:0038128]; G1/S transition of mitotic cell cycle [GO:0000082]; intrinsic apoptotic signaling pathway [GO:0097193]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K11-linked ubiquitination [GO:0070979]; protein ubiquitination [GO:0016567]; reelin-mediated signaling pathway [GO:0038026]; regulation of neuron migration [GO:2001222]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146],GO:0000082; GO:0004842; GO:0005262; GO:0005634; GO:0005829; GO:0016567; GO:0019005; GO:0030674; GO:0031146; GO:0031466; GO:0031625; GO:0038023; GO:0038026; GO:0038128; GO:0043161; GO:0070979; GO:0090734; GO:0097193; GO:0160072; GO:2001222
g15362,1318.780669,1.136812388,0.2622506,4.334832358,1.46E-05,0.000126443,2367,1293,1359,1304,1413,1341,1389,717,1011,885,1244,761,sp,O43242,PSMD3_HUMAN,65.868,501,163,2,22,1503,34,533,0,587,O43242,reviewed,PSMD3_HUMAN,26S proteasome non-ATPase regulatory subunit 3 (26S proteasome regulatory subunit RPN3) (26S proteasome regulatory subunit S3) (Proteasome subunit p58),PSMD3,Homo sapiens (Human),534,proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of protein catabolic process [GO:0042176]; ubiquitin-dependent protein catabolic process [GO:0006511],GO:0000502; GO:0005576; GO:0005634; GO:0005654; GO:0005829; GO:0006511; GO:0008541; GO:0016020; GO:0022624; GO:0030234; GO:0034774; GO:0042176; GO:0043161; GO:0070062; GO:1904813
g3209,1423.27628,0.712001026,0.203356337,3.501248277,0.000463084,0.002474765,2147,1319,1220,1265,1190,1758,1924,1285,1228,1299,1123,1107,sp,A9JTG5,HOIL1_DANRE,37.931,609,336,10,262,2007,121,714,3.27E-135,416,A9JTG5,reviewed,HOIL1_DANRE,RanBP-type and C3HC4-type zinc finger-containing protein 1 (EC 2.3.2.31) (Heme-oxidized IRP2 ubiquitin ligase 1 homolog) (HOIL-1) (Heme-oxidized IRP2 ubiquitin transferase 1 homolog),rbck1 zgc:175152,Danio rerio (Zebrafish) (Brachydanio rerio),714,defense response to bacterium [GO:0042742]; embryonic cranial skeleton morphogenesis [GO:0048701]; otic vesicle morphogenesis [GO:0071600]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein linear polyubiquitination [GO:0097039],GO:0004842; GO:0042742; GO:0043123; GO:0043130; GO:0043161; GO:0046872; GO:0048701; GO:0071600; GO:0071797; GO:0097039
g23285,739.5888172,1.060411792,0.256758251,4.130000845,3.63E-05,0.000278112,1432,696,751,802,660,764,608,508,752,459,587,510,sp,Q9V3H2,PSDE_DROME,86.495,311,39,1,1,933,1,308,0,566,Q9V3H2,reviewed,PSDE_DROME,26S proteasome non-ATPase regulatory subunit 14 (EC 3.4.19.-) (26S proteasome regulatory complex subunit p37B) (26S proteasome regulatory subunit rpn11) (Yippee-interacting protein 5),Rpn11 yip5 CG18174,Drosophila melanogaster (Fruit fly),308,proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deubiquitination [GO:0016579],GO:0000502; GO:0005634; GO:0005654; GO:0005829; GO:0005838; GO:0008541; GO:0016579; GO:0043161; GO:0046872; GO:0070628; GO:0140492
g23854,60.92048869,-2.187878565,0.582619182,-3.755246367,0.000173171,0.001079523,0,35,21,23,7,27,181,91,105,135,132,94,sp,Q9R1A8,COP1_MOUSE,52.924,342,132,9,100,1092,123,446,6.47E-111,343,Q9R1A8,reviewed,COP1_MOUSE,E3 ubiquitin-protein ligase COP1 (EC 2.3.2.27) (Constitutive photomorphogenesis protein 1 homolog) (mCOP1) (RING finger and WD repeat domain protein 2) (RING-type E3 ubiquitin transferase RFWD2),Cop1 Rfwd2 RNF200,Mus musculus (Mouse),733,positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]; response to ionizing radiation [GO:0010212],GO:0000139; GO:0010212; GO:0016567; GO:0016607; GO:0031464; GO:0032436; GO:0043161; GO:0046872; GO:0061630
g23853,54.23902331,-2.155465952,0.383718717,-5.617307308,1.94E-08,3.67E-07,25,17,7,31,8,15,187,76,79,97,130,91,sp,Q9R1A8,COP1_MOUSE,76.981,265,57,1,1,783,469,733,6.45E-148,434,Q9R1A8,reviewed,COP1_MOUSE,E3 ubiquitin-protein ligase COP1 (EC 2.3.2.27) (Constitutive photomorphogenesis protein 1 homolog) (mCOP1) (RING finger and WD repeat domain protein 2) (RING-type E3 ubiquitin transferase RFWD2),Cop1 Rfwd2 RNF200,Mus musculus (Mouse),733,positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]; response to ionizing radiation [GO:0010212],GO:0000139; GO:0010212; GO:0016567; GO:0016607; GO:0031464; GO:0032436; GO:0043161; GO:0046872; GO:0061630
g20953,871.1657972,0.808152002,0.259560491,3.113540125,0.001848574,0.007956406,1779,858,967,978,673,544,890,800,936,639,726,579,sp,Q9V3G7,PSMD6_DROME,71.722,389,110,0,1,1167,1,389,0,586,Q9V3G7,reviewed,PSMD6_DROME,26S proteasome non-ATPase regulatory subunit 6 (26S proteasome regulatory subunit S10) (Protein Rpn7),Rpn7 CG5378,Drosophila melanogaster (Fruit fly),389,proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161],GO:0000502; GO:0005654; GO:0005829; GO:0005838; GO:0008541; GO:0043161
g19889,473.7226721,1.539740668,0.390108195,3.946958019,7.92E-05,0.000551304,702,421,424,350,784,613,328,185,303,428,184,340,sp,A5HK05,APBP2_RAT,67.826,575,183,1,10,1734,3,575,0,808,A5HK05,reviewed,APBP2_RAT,Amyloid protein-binding protein 2 (Amyloid beta precursor protein-binding protein 2) (APP-BP2),Appbp2,Rattus norvegicus (Rat),585,intracellular protein transport [GO:0006886]; intracellular transport [GO:0046907]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567],GO:0005654; GO:0005874; GO:0006886; GO:0016567; GO:0030659; GO:0031462; GO:0043161; GO:0046907; GO:1990756
g133,50.07800856,4.753232026,1.168068461,4.06930945,4.72E-05,0.000349903,12,212,142,4,0,168,5,8,10,2,0,1,sp,Q9R1R2,TRIM3_MOUSE,30,180,122,2,16,549,7,184,9.52E-21,97.4,Q9R1R2,reviewed,TRIM3_MOUSE,Tripartite motif-containing protein 3 (EC 2.3.2.27) (RING finger protein 22) (RING finger protein HAC1),Trim3 Hac1 Rnf22,Mus musculus (Mouse),744,negative regulation of translation [GO:0017148]; positive regulation of toll-like receptor 3 signaling pathway [GO:0034141]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K63-linked ubiquitination [GO:0070534]; protein polyubiquitination [GO:0000209]; protein transport [GO:0015031]; protein ubiquitination [GO:0016567]; regulation protein catabolic process at postsynapse [GO:0140252],GO:0000209; GO:0004842; GO:0005737; GO:0005769; GO:0005794; GO:0008270; GO:0015031; GO:0016567; GO:0017148; GO:0030371; GO:0030425; GO:0034141; GO:0042802; GO:0043161; GO:0061630; GO:0070534; GO:0098794; GO:0098978; GO:0140252
