gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0228	PSC.0187	PSC.0188	PSC.0174	PSC.0190	PSC.0231	PSC.0230	PSC.0219	PSC.0177	PSC.0186	PSC.0209	PSC.0203	V2	uniprot_accession	gene_name	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	Entry	Reviewed	Entry.Name	Protein.names	Gene.Names	Organism	Length	Gene.Ontology.IDs
11	g15181	3319.56899233365	2.48583408813459	0.36344423013334	6.83965759264519	7.93826886420668e-12	2.92788861801843e-10	3925	1314	2046	7340	6081	5438	1141	882	643	1140	1376	914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	g15182	767.351797230135	1.66492586226422	0.659282826050566	2.52535906666637	0.011558012972604	0.0350887126157386	397	247	329	2146	1698	529	257	649	381	210	168	280	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	g15183	630.03336478941	-0.850209784863602	0.190531757520944	-4.46229959732641	8.10847493122953e-06	7.40574043718964e-05	449	396	611	381	225	297	1278	1079	656	1125	858	961	sp	Q62432	SMAD2_MOUSE	72.163	467	98	4	1	1305	1	467	0	624	Q62432	reviewed	SMAD2_MOUSE	Mothers against decapentaplegic homolog 2 (MAD homolog 2) (Mothers against DPP homolog 2) (Mad-related protein 2) (mMad2) (SMAD family member 2) (SMAD 2) (Smad2)	Smad2 Madh2 Madr2	Mus musculus (Mouse)	467	GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0001657; GO:0001701; GO:0001706; GO:0001707; GO:0003140; GO:0003180; GO:0003184; GO:0003203; GO:0003677; GO:0003682; GO:0003690; GO:0005634; GO:0005654; GO:0005667; GO:0005737; GO:0006355; GO:0007179; GO:0007352; GO:0007369; GO:0007389; GO:0007492; GO:0007507; GO:0008283; GO:0008285; GO:0009653; GO:0009749; GO:0009791; GO:0009880; GO:0009952; GO:0010628; GO:0010629; GO:0010718; GO:0017015; GO:0019902; GO:0023019; GO:0030073; GO:0030154; GO:0030324; GO:0030325; GO:0030513; GO:0031016; GO:0031625; GO:0032444; GO:0032924; GO:0032991; GO:0034713; GO:0035265; GO:0035556; GO:0038092; GO:0042802; GO:0045165; GO:0045892; GO:0045893; GO:0045944; GO:0046332; GO:0046872; GO:0048156; GO:0048340; GO:0048589; GO:0048617; GO:0048701; GO:0060039; GO:0060395; GO:0061629; GO:0062009; GO:0070410; GO:0070411; GO:0070412; GO:0070723; GO:0071142; GO:0071144; GO:0071333; GO:0071559; GO:0071895; GO:0097718; GO:0140297
14	g7651	360.758726627261	1.60167609921124	0.256685430571908	6.23984031989123	4.38017798236228e-10	1.14388248610496e-08	391	461	535	358	500	371	212	147	159	262	239	284	sp	Q4V920	PACN1_DANRE	44.889	450	228	6	1	1305	1	445	1.07e-134	397	Q4V920	reviewed	PACN1_DANRE	Protein kinase C and casein kinase substrate in neurons protein 1 (Syndapin-1)	pacsin1b pacsin1	Danio rerio (Zebrafish) (Brachydanio rerio)	445	GO:0005543; GO:0005737; GO:0005768; GO:0005829; GO:0005886; GO:0006897; GO:0007010; GO:0007015; GO:0030100; GO:0030659; GO:0032587; GO:0043005; GO:0045202; GO:0048812; GO:0060088; GO:0060271; GO:0097320; GO:1900006
15	g7656	218.743117682241	1.86446759448937	0.402352540601562	4.63391530149599	3.58813848537567e-06	3.62425082121445e-05	394	93	254	260	299	371	189	134	62	86	108	96	sp	Q9D8N3	TM86A_MOUSE	40.491	163	93	3	10	495	8	167	4.61e-25	100	Q9D8N3	reviewed	TM86A_MOUSE	Lysoplasmalogenase TMEM86A (EC 3.3.2.2) (Transmembrane protein 86A)	Tmem86a	Mus musculus (Mouse)	241	GO:0005789; GO:0006629; GO:0016020; GO:0016787; GO:0047408
16	g15189	463.392077047184	0.858034911094546	0.297371338069039	2.88539883051991	0.00390918082415284	0.0144776398597997	614	306	408	583	554	448	496	402	408	446	296	297	sp	Q5ZLW3	DYM_CHICK	50.142	704	310	12	1	2094	1	669	0	632	Q5ZLW3	reviewed	DYM_CHICK	Dymeclin	DYM RCJMB04_4k4	Gallus gallus (Chicken)	669	GO:0005794; GO:0007030
17	g7654	13705.6361408876	0.741237244358078	0.196508190351887	3.77204249365253	0.000161916671844025	0.000977616505551439	14257	15664	10750	14997	12868	16647	13218	10897	12136	13539	10060	12991	sp	G1T168	RS10_RABIT	73.846	130	28	3	1	375	1	129	5.73e-62	191	G1T168	reviewed	RS10_RABIT	Small ribosomal subunit protein eS10 (40S ribosomal protein S10)	RPS10	Oryctolagus cuniculus (Rabbit)	165	GO:0003723; GO:0003735; GO:0005730; GO:0022626; GO:0022627
18	g7655	119.74899322686	1.69932728416465	0.473330816456621	3.59014715518822	0.000330491329671759	0.00179632749001905	140	317	197	40	73	214	119	75	40	33	93	54	sp	F1RMN2	TM86B_PIG	38.605	215	104	8	67	699	34	224	6.07e-29	112	F1RMN2	reviewed	TM86B_PIG	Lysoplasmalogenase TMEM86B (EC 3.3.2.2) (Transmembrane protein 86B)	TMEM86B	Sus scrofa (Pig)	226	GO:0005737; GO:0005789; GO:0016020; GO:0046485; GO:0047408; GO:0047826
19	g14588	877.801301916186	0.987815938589932	0.365168615311786	2.70509539201917	0.00682847773534081	0.0228777274221769	1030	741	459	1682	1041	760	653	430	825	547	877	600	sp	Q14696	MESD_HUMAN	59.441	143	57	1	88	516	55	196	8.36e-42	143	Q14696	reviewed	MESD_HUMAN	LRP chaperone MESD (LDLR chaperone MESD) (Mesoderm development LRP chaperone MESD) (Mesoderm development candidate 2) (Mesoderm development protein) (Renal carcinoma antigen NY-REN-61)	MESD KIAA0081 MESDC2 MESDM UNQ1911/PRO4369	Homo sapiens (Human)	234	GO:0001503; GO:0005783; GO:0005886; GO:0006457; GO:0006909; GO:0007498; GO:0016055; GO:0034394; GO:0042802; GO:0050750; GO:1904395
20	g14587	485.52613150037	2.83980841768346	0.448318082627901	6.33436064197408	2.38327467039921e-10	6.63549796135987e-09	840	232	301	630	1153	674	207	90	94	190	84	128	sp	Q9C0E8	LNP_HUMAN	42.994	314	142	7	1	840	1	311	8.18e-68	222	Q9C0E8	reviewed	LNP_HUMAN	Endoplasmic reticulum junction formation protein lunapark (ER junction formation factor lunapark)	LNPK KIAA1715 LNP	Homo sapiens (Human)	428	GO:0005654; GO:0005783; GO:0005789; GO:0007029; GO:0007596; GO:0016020; GO:0032330; GO:0035115; GO:0042733; GO:0042802; GO:0046872; GO:0060173; GO:0071782; GO:0071786; GO:0071788; GO:0098826; GO:1903373
21	g14586	110.664535551342	-1.94939851652217	0.586566445790318	-3.32340612135701	0.000889253482978076	0.0041612549131625	67	67	81	41	0	26	353	285	142	320	79	139	sp	P31937	3HIDH_HUMAN	72.961	233	63	0	1	699	102	334	1.78e-124	359	P31937	reviewed	3HIDH_HUMAN	3-hydroxyisobutyrate dehydrogenase, mitochondrial (HIBADH) (EC 1.1.1.31)	HIBADH	Homo sapiens (Human)	336	GO:0005739; GO:0005759; GO:0006574; GO:0008442; GO:0050661; GO:0051287
22	g14585	37.2938609118044	-1.97062962338525	0.516704455553734	-3.81384290807672	0.000136822457666886	0.000845927386907519	19	33	9	7	3	14	141	83	74	90	13	56	sp	P31937	3HIDH_HUMAN	59.322	59	17	2	70	225	14	72	3.54e-13	65.9	P31937	reviewed	3HIDH_HUMAN	3-hydroxyisobutyrate dehydrogenase, mitochondrial (HIBADH) (EC 1.1.1.31)	HIBADH	Homo sapiens (Human)	336	GO:0005739; GO:0005759; GO:0006574; GO:0008442; GO:0050661; GO:0051287
23	g14584	5618.86668065287	1.57251527260124	0.357393401718325	4.39995608492122	1.08272787282547e-05	9.48733428462604e-05	11490	6533	5608	11669	4880	2938	6134	4821	3165	2885	2149	2499	sp	A7T1N0	TMP2L_NEMVE	40.203	1577	816	30	145	4671	34	1551	0	1013	A7T1N0	reviewed	TMP2L_NEMVE	Transient receptor potential cation channel subfamily M member-like 2 (nvTRPM2)	TRPM2 v1g248535	Nematostella vectensis (Starlet sea anemone)	1551	GO:0005886; GO:0015280; GO:0035725; GO:0046872; GO:0047631; GO:0070588; GO:0099604
24	g10808	13.6333959466103	5.29912986710455	1.38470629343001	3.82689808824241	0.000129768208865938	0.000810734282100549	27	76	8	2	4	31	0	7	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25	g10803	588.166035521718	0.786057883536194	0.291762152811847	2.69417357926855	0.00705634059614941	0.0234785179974424	601	874	742	270	493	800	696	445	495	675	423	446	sp	A7J1T0	M313B_XENLA	61.245	498	176	5	43	1512	39	527	0	608	A7J1T0	reviewed	M313B_XENLA	Mitogen-activated protein kinase kinase kinase 13-B (EC 2.7.11.25)	map3k13-b	Xenopus laevis (African clawed frog)	961	GO:0004709; GO:0005524; GO:0005737; GO:0016020; GO:0106310
26	g10806	580.344172385095	-1.20250220168908	0.277062896785979	-4.34017768397899	1.42367550551344e-05	0.000120645491291964	280	368	372	443	171	172	1070	846	693	876	940	1421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27	g10804	473.940057996012	0.823356732429666	0.261434811527642	3.14937680876753	0.00163619076073579	0.0070101575854607	501	701	523	283	359	717	540	324	384	545	319	405	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28	g10805	10768.9262185321	-2.98744843484569	0.433715791226427	-6.88803242878942	5.65693177915168e-12	2.12745002988488e-10	863	980	4046	3640	875	2248	28017	26073	20397	21164	25072	17626	sp	Q9UM22	EPDR1_HUMAN	44.886	176	93	2	124	648	41	213	3.88e-50	168	Q9UM22	reviewed	EPDR1_HUMAN	Mammalian ependymin-related protein 1 (MERP-1) (Upregulated in colorectal cancer gene 1 protein)	EPDR1 MERP1 UCC1	Homo sapiens (Human)	224	GO:0005509; GO:0005543; GO:0005576; GO:0005764; GO:0007160; GO:0042802; GO:0043202; GO:1905573; GO:1990764
29	g4305	22150.871682282	1.59119095646789	0.381910977692141	4.16639229928224	3.09457989460761e-05	0.000236889747852401	33152	12515	15316	18136	32225	47982	14963	12000	11485	12157	13739	9689	sp	Q6P823	H33_XENTR	99.265	136	1	0	1	408	1	136	1.42e-94	271	Q6P823	reviewed	H33_XENTR	Histone H3.3	TGas113e22.1	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	136	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
30	g4304	278.888785855532	2.12014650979341	0.356246197561765	5.95135197036263	2.65936484831902e-09	5.85535153210242e-08	443	619	358	158	372	332	196	129	75	181	77	126	sp	Q9UBU9	NXF1_HUMAN	38.78	508	239	9	589	1923	119	617	3.52e-105	335	Q9UBU9	reviewed	NXF1_HUMAN	Nuclear RNA export factor 1 (Tip-associated protein) (Tip-associating protein) (mRNA export factor TAP)	NXF1 TAP	Homo sapiens (Human)	619	GO:0003723; GO:0003729; GO:0005634; GO:0005643; GO:0005654; GO:0005737; GO:0005829; GO:0006406; GO:0010494; GO:0015031; GO:0016607; GO:0016973; GO:0042272; GO:0042405
31	g4307	122.711736692234	-1.30255603395454	0.348518302265135	-3.73741070551762	0.000185925087551338	0.0011006306108749	68	37	128	71	19	58	273	179	258	217	189	159	sp	Q9DAZ9	ANCHR_MOUSE	51.02	98	47	1	259	552	287	383	1.24e-25	104	Q9DAZ9	reviewed	ANCHR_MOUSE	Abscission/NoCut checkpoint regulator (ANCHR) (Zinc finger FYVE domain-containing protein 19)	Zfyve19 Anchr	Mus musculus (Mouse)	389	GO:0005737; GO:0005813; GO:0009838; GO:0030496; GO:0032154; GO:0032266; GO:0032466; GO:0044878; GO:0046872; GO:0051301; GO:0090543
32	g4306	93.3604114605998	-1.33257286223566	0.327221502796023	-4.07238781941031	4.65336139271749e-05	0.000332751965041795	51	48	48	50	12	72	172	123	202	166	149	149	sp	Q96K21	ANCHR_HUMAN	39.869	153	71	4	1	459	76	207	2.55e-23	99	Q96K21	reviewed	ANCHR_HUMAN	Abscission/NoCut checkpoint regulator (ANCHR) (MLL partner containing FYVE domain) (Zinc finger FYVE domain-containing protein 19)	ZFYVE19 ANCHR MPFYVE	Homo sapiens (Human)	471	GO:0005737; GO:0005813; GO:0009838; GO:0030496; GO:0032154; GO:0032266; GO:0032466; GO:0044878; GO:0046872; GO:0051301; GO:0090543
33	g4300	5142.34982331495	4.96649336916954	1.17595316670844	4.22337683997317	2.40668911389152e-05	0.000190482656964674	509	4385	32776	39	108	17559	13	228	674	97	457	577	sp	P80146	SEPR_THESR	39.633	381	202	9	52	1119	30	407	5.67e-75	241	P80146	reviewed	SEPR_THESR	Extracellular serine proteinase (EC 3.4.21.-)		Thermus sp. (strain Rt41A)	410	GO:0004252; GO:0005615; GO:0006508
34	g4302	43.2047584094114	-1.57781859196175	0.579285114390364	-2.7237340521381	0.00645484609872179	0.0218220825217657	37	44	15	4	7	17	103	76	18	147	63	74	sp	P10394	POL4_DROME	25.872	344	226	4	157	1143	882	1211	5.33e-36	145	P10394	reviewed	POL4_DROME	Retrovirus-related Pol polyprotein from transposon 412 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]	POL ORF3	Drosophila melanogaster (Fruit fly)	1237	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0006508; GO:0015074; GO:0042575
35	g4309	69.0258587534513	0.852367134479177	0.289964682124505	2.93955501143821	0.00328683917772048	0.0125358855249251	129	132	108	56	27	44	164	48	65	50	22	41	sp	Q5M969	NANP_RAT	37.109	256	131	3	16	732	5	247	3e-46	157	Q5M969	reviewed	NANP_RAT	N-acylneuraminate-9-phosphatase (EC 3.1.3.29) (Haloacid dehalogenase-like hydrolase domain-containing protein 4) (Neu5Ac-9-Pase)	Nanp Hdhd4	Rattus norvegicus (Rat)	248	GO:0006045; GO:0046380; GO:0050124
36	g5656	53.8013751095286	-1.56720804555305	0.545073803142785	-2.87522173422544	0.0040374385196103	0.0148601841632224	46	20	47	20	0	26	185	128	55	115	53	76	sp	B4F7A7	CEP57_RAT	35.103	339	200	5	778	1773	173	498	1.93e-45	149	B4F7A7	reviewed	CEP57_RAT	Centrosomal protein of 57 kDa (Cep57) (Translokin)	Cep57	Rattus norvegicus (Rat)	499	GO:0005634; GO:0005737; GO:0005794; GO:0005813; GO:0005829; GO:0005874; GO:0007286; GO:0008017; GO:0008543; GO:0017134; GO:0034451; GO:0042803; GO:0043015; GO:0051260
37	g5657	171.064630743188	-0.627409987790716	0.230811195219462	-2.7182823051289	0.00656218221796608	0.022137265867995	181	175	107	82	76	88	374	225	167	271	240	259	sp	Q6PAM1	TXLNA_MOUSE	54.743	369	139	6	91	1131	119	481	1.45e-104	325	Q6PAM1	reviewed	TXLNA_MOUSE	Alpha-taxilin	Txlna Txln	Mus musculus (Mouse)	554	GO:0005737; GO:0006887; GO:0019905; GO:0042113
38	g1379	339.179138077488	-1.96539427043241	0.492155365977361	-3.99344273434747	6.51208116788935e-05	0.00044204304018917	192	348	98	117	51	16	528	715	965	525	569	454	sp	Q6AY22	SPAT1_RAT	42.336	137	79	0	28	438	7	143	1.06e-22	106	Q6AY22	reviewed	SPAT1_RAT	Spermatogenesis-associated protein 1	Spata1	Rattus norvegicus (Rat)	444	GO:0001669; GO:0031410
39	g1373	123.460927044269	-0.972298117266731	0.350381131253066	-2.77497282399171	0.00552063207102882	0.0192792131924134	44	89	145	65	42	53	233	249	160	276	174	107	sp	Q96EH8	NEUL3_HUMAN	30.464	151	95	5	10	450	19	163	3.53e-10	65.5	Q96EH8	reviewed	NEUL3_HUMAN	E3 ubiquitin-protein ligase NEURL3 (EC 2.3.2.27) (Lung-inducible neuralized-related C3CH4 RING domain protein) (Neuralized-like protein 3) (RING-type E3 ubiquitin transferase NEURL3)	NEURL3 LINCR	Homo sapiens (Human)	262	GO:0005769; GO:0016567; GO:0045087; GO:0046872; GO:0061630; GO:0070086
40	g1377	1525.63923490059	1.31682413329435	0.296926888067598	4.43484300753042	9.21394089004468e-06	8.28390873145579e-05	3221	1352	2123	1314	1512	1541	1723	1302	1334	967	479	863	sp	P54725	RD23A_HUMAN	41.912	408	172	8	1	1176	3	361	8.94e-76	242	P54725	reviewed	RD23A_HUMAN	UV excision repair protein RAD23 homolog A (HR23A) (hHR23A)	RAD23A	Homo sapiens (Human)	363	GO:0000502; GO:0003684; GO:0003697; GO:0005634; GO:0005654; GO:0005737; GO:0005794; GO:0005829; GO:0006289; GO:0019900; GO:0031593; GO:0031648; GO:0032434; GO:0032436; GO:0032991; GO:0043130; GO:0043161; GO:0043231; GO:0045070; GO:0045787; GO:0070628; GO:1990381
41	g1375	5809.50398964897	-2.18979031594962	0.534886890264527	-4.09393155040063	4.24119566032928e-05	0.000306966538736285	1421	2026	2261	4238	812	194	13636	11971	13844	12801	8983	8117	sp	A3KN33	EGFLA_BOVIN	43.825	664	364	5	403	2376	355	1015	0	580	A3KN33	reviewed	EGFLA_BOVIN	Pikachurin (EGF-like, fibronectin type-III and laminin G-like domain-containing protein)	EGFLAM	Bos taurus (Bovine)	1018	GO:0005509; GO:0005604; GO:0042995; GO:0043083; GO:0048786
42	g188	564.373540294405	0.904338175595261	0.275152270959597	3.2866825792183	0.00101375032944814	0.00466946330598385	713	885	812	387	319	769	786	487	431	596	202	463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
43	g184	164.18511307837	-1.14335983944956	0.315785983431338	-3.62067950903261	0.000293830305119322	0.00162775954010582	80	136	92	145	38	49	375	236	291	219	284	243	sp	Q8K0G5	EIPR1_MOUSE	65.206	388	133	1	1	1164	1	386	7.33e-175	495	Q8K0G5	reviewed	EIPR1_MOUSE	EARP and GARP complex-interacting protein 1 (Endosome-associated recycling protein-interacting protein) (Golgi-associated retrograde protein-interacting protein) (Tumor-suppressing STF cDNA 1 protein) (Tumor-suppressing subchromosomal transferable fragment candidate gene 1 protein)	Eipr1 Tssc1	Mus musculus (Mouse)	386	GO:0000938; GO:0005802; GO:0016567; GO:0032456; GO:0050796; GO:1904811; GO:1905281; GO:1990745; GO:2001137
44	g6009	52.3598394825514	-3.36459182716748	0.604237018585257	-5.56833117415618	2.57190652361437e-08	4.48900408600923e-07	8	5	23	4	9	0	125	125	155	145	68	74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
45	g6684	84.1438047520576	3.05164405080046	0.862720822777491	3.53723240500425	0.000404343694773241	0.0021351425081602	119	699	16	15	29	33	18	12	11	5	10	35	sp	Q80X72	LRC15_MOUSE	43.434	99	56	0	3604	3900	248	346	3.97e-13	78.2	Q80X72	reviewed	LRC15_MOUSE	Leucine-rich repeat-containing protein 15	Lrrc15	Mus musculus (Mouse)	579	GO:0001968; GO:0005518; GO:0005615; GO:0005886; GO:0009986; GO:0016324; GO:0030335; GO:0031012; GO:0043236; GO:0046597; GO:0046813; GO:0062023; GO:0140311; GO:1903077
46	g254	619.909657538175	0.982592229279563	0.289190884389218	3.39772891304936	0.000679477144975669	0.00331987955747806	787	489	581	685	837	586	724	439	489	427	436	463	sp	G3X9K3	BIG1_MOUSE	65.827	1112	314	10	1	3240	760	1837	0	1405	G3X9K3	reviewed	BIG1_MOUSE	Brefeldin A-inhibited guanine nucleotide-exchange protein 1 (BIG1) (Brefeldin A-inhibited GEP 1) (ADP-ribosylation factor guanine nucleotide-exchange factor 1)	Arfgef1	Mus musculus (Mouse)	1846	GO:0000139; GO:0005085; GO:0005654; GO:0005730; GO:0005802; GO:0005829; GO:0006486; GO:0007030; GO:0010256; GO:0015031; GO:0016363; GO:0017022; GO:0030532; GO:0030837; GO:0031175; GO:0032012; GO:0034237; GO:0034260; GO:0048471; GO:0051897; GO:0090303; GO:2000114
47	g255	133.441709843348	3.89992086644063	1.38180005619643	2.82234817472481	0.00476733889303014	0.0170996946260151	67	381	619	4	0	353	29	47	5	0	0	38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
48	g257	421.217721840694	-1.59327692814682	0.425837780038597	-3.74151144598397	0.000182916845073171	0.00108619669788442	190	499	255	54	86	132	1120	519	518	923	927	588	sp	Q80T74	KLH29_MOUSE	26.374	455	231	7	4	1095	431	872	1.02e-42	162	Q80T74	reviewed	KLH29_MOUSE	Kelch-like protein 29 (Kelch repeat and BTB domain-containing protein 9)	Klhl29 Kbtbd9 Kiaa1921	Mus musculus (Mouse)	875	
49	g258	215.208973969932	-1.50098364244086	0.487397395493281	-3.07958896850846	0.00207286449104293	0.00855818867361472	78	307	110	18	44	91	569	266	348	500	331	308	sp	O35709	ENC1_MOUSE	36.975	119	72	1	379	735	27	142	7.89e-16	82	O35709	reviewed	ENC1_MOUSE	Ectoderm-neural cortex protein 1 (ENC-1)	Enc1 Enc-1	Mus musculus (Mouse)	589	GO:0000785; GO:0003779; GO:0005654; GO:0005737; GO:0005856; GO:0010499; GO:0010976; GO:0016363; GO:0016567; GO:0017148; GO:0031463; GO:0043025
50	g6530	810.83822520731	1.60317170063077	0.33850715282523	4.73600539087716	2.17971791905334e-06	2.33124477811021e-05	1839	697	727	757	1130	860	750	406	433	401	556	385	sp	Q8MSF5	RNK_DROME	50	90	43	1	10	273	2	91	2.95e-14	65.5	Q8MSF5	reviewed	RNK_DROME	Ribonuclease kappa (RNase K) (RNase kappa) (EC 3.1.-.-)	RNASEK l(2)NC110 CG40127	Drosophila melanogaster (Fruit fly)	95	GO:0004521; GO:0016020; GO:0098586
