gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.56	PSC.52	PSC.54	PSC.61	PSC.64	PSC.73	PSC.76	PSC.81	PSC.59	PSC.57	PSC.69	PSC.67	PSC.71	PSC.75	PSC.78	PSC.83	V2	uniprot_accession	gene_name	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	Entry	Reviewed	Entry.Name	Protein.names	Gene.Names	Organism	Length	Gene.Ontology.IDs
11	g7654	36203.8538930274	0.71896435484485	0.214526807513838	3.35139632746584	0.000804051386274238	0.00369713885995296	40381	45316	38148	25250	34276	36646	35862	39425	32733	32291	43420	32637	40925	15784	38388	25202	sp	G1T168	RS10_RABIT	73.846	130	28	3	1	375	1	129	5.73e-62	191	G1T168	reviewed	RS10_RABIT	Small ribosomal subunit protein eS10 (40S ribosomal protein S10)	RPS10	Oryctolagus cuniculus (Rabbit)	165	GO:0003723; GO:0003735; GO:0005730; GO:0022626; GO:0022627
12	g7655	131.144635256684	1.3405865701751	0.364731803532344	3.6755406498469	0.000237346243723113	0.00132634260457806	129	66	106	36	75	180	102	113	135	172	84	189	196	41	61	285	sp	F1RMN2	TM86B_PIG	38.605	215	104	8	67	699	34	224	6.07e-29	112	F1RMN2	reviewed	TM86B_PIG	Lysoplasmalogenase TMEM86B (EC 3.3.2.2) (Transmembrane protein 86B)	TMEM86B	Sus scrofa (Pig)	226	GO:0005737; GO:0005789; GO:0016020; GO:0046485; GO:0047408; GO:0047826
13	g14589	540.526165853922	0.666701887573563	0.214223083414123	3.11218509671404	0.00185708021690503	0.00747529133297244	502	512	531	418	593	536	711	721	441	529	374	1001	650	188	267	725	sp	Q60520	SIN3A_MOUSE	55.959	193	83	1	49	621	935	1127	8.19e-62	219	Q60520	reviewed	SIN3A_MOUSE	Paired amphipathic helix protein Sin3a (Histone deacetylase complex subunit Sin3a) (Transcriptional corepressor Sin3a)	Sin3a Kiaa4126	Mus musculus (Mouse)	1274	GO:0000122; GO:0000776; GO:0000785; GO:0001701; GO:0002218; GO:0002230; GO:0002244; GO:0003677; GO:0003682; GO:0003714; GO:0003723; GO:0005634; GO:0005654; GO:0005667; GO:0005730; GO:0006260; GO:0006355; GO:0008104; GO:0010243; GO:0010817; GO:0010971; GO:0017053; GO:0021895; GO:0030336; GO:0030512; GO:0030516; GO:0031507; GO:0032991; GO:0042754; GO:0043066; GO:0044877; GO:0045666; GO:0045892; GO:0048511; GO:0051595; GO:0060337; GO:0061629; GO:0070822; GO:0071333; GO:0072736; GO:0140416; GO:1900181; GO:1902455; GO:1902459; GO:1903351
14	g14588	1744.43497204711	1.6487861443679	0.449226108923536	3.67028120497899	0.000242283779936904	0.00134885163339103	776	1212	1379	821	1480	1019	932	1560	918	2039	1216	1287	870	2039	1505	2007	sp	Q14696	MESD_HUMAN	59.441	143	57	1	88	516	55	196	8.36e-42	143	Q14696	reviewed	MESD_HUMAN	LRP chaperone MESD (LDLR chaperone MESD) (Mesoderm development LRP chaperone MESD) (Mesoderm development candidate 2) (Mesoderm development protein) (Renal carcinoma antigen NY-REN-61)	MESD KIAA0081 MESDC2 MESDM UNQ1911/PRO4369	Homo sapiens (Human)	234	GO:0001503; GO:0005783; GO:0005886; GO:0006457; GO:0006909; GO:0007498; GO:0016055; GO:0034394; GO:0042802; GO:0050750; GO:1904395
15	g14587	620.211630500061	2.80280961652887	0.516323385597936	5.42839951609598	5.68616442391057e-08	8.62872090711158e-07	229	176	206	180	300	167	169	239	398	933	247	682	400	636	159	1840	sp	Q9C0E8	LNP_HUMAN	42.994	314	142	7	1	840	1	311	8.18e-68	222	Q9C0E8	reviewed	LNP_HUMAN	Endoplasmic reticulum junction formation protein lunapark (ER junction formation factor lunapark)	LNPK KIAA1715 LNP	Homo sapiens (Human)	428	GO:0005654; GO:0005783; GO:0005789; GO:0007029; GO:0007596; GO:0016020; GO:0032330; GO:0035115; GO:0042733; GO:0042802; GO:0046872; GO:0060173; GO:0071782; GO:0071786; GO:0071788; GO:0098826; GO:1903373
16	g14586	221.021994626293	-1.13486602263824	0.407348742095662	-2.78598140944234	0.00533659322037236	0.0181534668158824	324	369	449	349	431	406	431	532	180	56	90	282	102	9	278	18	sp	P31937	3HIDH_HUMAN	72.961	233	63	0	1	699	102	334	1.78e-124	359	P31937	reviewed	3HIDH_HUMAN	3-hydroxyisobutyrate dehydrogenase, mitochondrial (HIBADH) (EC 1.1.1.31)	HIBADH	Homo sapiens (Human)	336	GO:0005739; GO:0005759; GO:0006574; GO:0008442; GO:0050661; GO:0051287
17	g14585	106.610913162593	-1.15026796596346	0.386933625304542	-2.97277850964265	0.00295117330088398	0.0109966610400779	153	217	216	184	220	150	191	265	48	39	20	134	88	4	145	15	sp	P31937	3HIDH_HUMAN	59.322	59	17	2	70	225	14	72	3.54e-13	65.9	P31937	reviewed	3HIDH_HUMAN	3-hydroxyisobutyrate dehydrogenase, mitochondrial (HIBADH) (EC 1.1.1.31)	HIBADH	Homo sapiens (Human)	336	GO:0005739; GO:0005759; GO:0006574; GO:0008442; GO:0050661; GO:0051287
18	g14584	6536.6661578072	1.56565271067839	0.494688565357646	3.16492601672826	0.00155122388827887	0.00642130662437366	3338	4539	5759	3086	4666	4489	4404	5618	4922	2402	2694	6587	5365	7376	2131	14174	sp	A7T1N0	TMP2L_NEMVE	40.203	1577	816	30	145	4671	34	1551	0	1013	A7T1N0	reviewed	TMP2L_NEMVE	Transient receptor potential cation channel subfamily M member-like 2 (nvTRPM2)	TRPM2 v1g248535	Nematostella vectensis (Starlet sea anemone)	1551	GO:0005886; GO:0015280; GO:0035725; GO:0046872; GO:0047631; GO:0070588; GO:0099604
19	g10808	8.51082577263547	3.75023652668299	0.915983439633719	4.09421869917499	4.235943424896e-05	0.000304031168591958	2	0	0	0	0	4	4	3	8	0	18	13	40	4	5	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	g10802	429.566479090245	3.32401130878777	0.941432194543016	3.53080267283752	0.000414300702706745	0.00211791575047087	45	31	24	23	0	116	605	10	37	148	1809	1257	753	97	346	583	sp	A0A1D5NSM8	SVEP1_DANRE	38.514	148	60	5	136	549	593	719	4.18e-12	73.6	A0A1D5NSM8	reviewed	SVEP1_DANRE	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (Polydom)	svep1	Danio rerio (Zebrafish) (Brachydanio rerio)	3615	GO:0001945; GO:0005509; GO:0005615; GO:0005634; GO:0005737; GO:0008544; GO:0009913; GO:0016020; GO:0016477; GO:0036303; GO:0045959; GO:0090136
21	g10801	1603.97452739126	1.79204058918573	0.527803381101298	3.39528061651767	0.000685582930319728	0.00323664390516475	339	415	1481	467	1428	1278	1585	849	573	839	2440	1525	1702	1604	554	2769	sp	A0A1D5NSM8	SVEP1_DANRE	38.095	168	86	6	106	582	548	706	4.33e-15	83.6	A0A1D5NSM8	reviewed	SVEP1_DANRE	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (Polydom)	svep1	Danio rerio (Zebrafish) (Brachydanio rerio)	3615	GO:0001945; GO:0005509; GO:0005615; GO:0005634; GO:0005737; GO:0008544; GO:0009913; GO:0016020; GO:0016477; GO:0036303; GO:0045959; GO:0090136
22	g10806	907.090844291417	-1.02150944827324	0.327879378294936	-3.11550379772394	0.00183630984090934	0.00740251593183821	500	1127	1157	1498	1650	1920	2824	2564	558	637	525	588	530	132	234	483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23	g10805	30998.5387844577	-3.53448572326209	0.34507739265604	-10.2425884699585	1.27771386529154e-24	1.95277269078724e-22	44780	130167	111811	58703	55375	55905	84279	77764	6355	2353	4785	3654	1505	1279	5933	3483	sp	Q9UM22	EPDR1_HUMAN	44.886	176	93	2	124	648	41	213	3.88e-50	168	Q9UM22	reviewed	EPDR1_HUMAN	Mammalian ependymin-related protein 1 (MERP-1) (Upregulated in colorectal cancer gene 1 protein)	EPDR1 MERP1 UCC1	Homo sapiens (Human)	224	GO:0005509; GO:0005543; GO:0005576; GO:0005764; GO:0007160; GO:0042802; GO:0043202; GO:1905573; GO:1990764
24	g4305	43490.8041109292	1.74598171971114	0.390201494204421	4.47456441260178	7.65672426420391e-06	6.86751463231368e-05	17616	28976	32294	21111	34190	31071	20276	30071	59616	83820	35241	36603	42347	31073	12572	54615	sp	Q6P823	H33_XENTR	99.265	136	1	0	1	408	1	136	1.42e-94	271	Q6P823	reviewed	H33_XENTR	Histone H3.3	TGas113e22.1	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	136	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
25	g4304	269.890927568852	0.852214676853359	0.288163583661651	2.95739893995069	0.00310246429986698	0.0114892605812574	153	211	274	206	288	329	297	320	205	313	127	418	329	113	149	443	sp	Q9UBU9	NXF1_HUMAN	38.78	508	239	9	589	1923	119	617	3.52e-105	335	Q9UBU9	reviewed	NXF1_HUMAN	Nuclear RNA export factor 1 (Tip-associated protein) (Tip-associating protein) (mRNA export factor TAP)	NXF1 TAP	Homo sapiens (Human)	619	GO:0003723; GO:0003729; GO:0005634; GO:0005643; GO:0005654; GO:0005737; GO:0005829; GO:0006406; GO:0010494; GO:0015031; GO:0016607; GO:0016973; GO:0042272; GO:0042405
26	g1378	62.4848979873387	-1.39788914325669	0.511914859690424	-2.73070632116843	0.00631987607504332	0.0210011826707695	97	45	342	57	142	100	32	182	53	13	10	12	29	14	42	27	sp	Q9D5I4	DYLT5_MOUSE	35.652	115	72	2	334	675	60	173	7.76e-19	83.6	Q9D5I4	reviewed	DYLT5_MOUSE	Dynein light chain Tctex-type 5 (Tctex1 domain-containing protein 1)	Dynlt5 Tctex1d1	Mus musculus (Mouse)	173	GO:0005737; GO:0005868; GO:0007018; GO:0045505
27	g1377	2828.14147687284	1.20576153210454	0.26731534559322	4.51063342221804	6.46343325607449e-06	5.93827930401844e-05	2646	2007	2217	1692	3016	2484	1937	2358	3409	4954	1719	4448	3526	1230	1413	3181	sp	P54725	RD23A_HUMAN	41.912	408	172	8	1	1176	3	361	8.94e-76	242	P54725	reviewed	RD23A_HUMAN	UV excision repair protein RAD23 homolog A (HR23A) (hHR23A)	RAD23A	Homo sapiens (Human)	363	GO:0000502; GO:0003684; GO:0003697; GO:0005634; GO:0005654; GO:0005737; GO:0005794; GO:0005829; GO:0006289; GO:0019900; GO:0031593; GO:0031648; GO:0032434; GO:0032436; GO:0032991; GO:0043130; GO:0043161; GO:0043231; GO:0045070; GO:0045787; GO:0070628; GO:1990381
28	g1375	6206.82876868976	-2.02829476428697	0.268674484702001	-7.54926455534711	4.37722922877835e-14	2.03604597242958e-12	4664	12637	12030	12421	15851	15252	16938	18185	3449	1560	2119	3879	2708	376	1221	1357	sp	A3KN33	EGFLA_BOVIN	43.825	664	364	5	403	2376	355	1015	0	580	A3KN33	reviewed	EGFLA_BOVIN	Pikachurin (EGF-like, fibronectin type-III and laminin G-like domain-containing protein)	EGFLAM	Bos taurus (Bovine)	1018	GO:0005509; GO:0005604; GO:0042995; GO:0043083; GO:0048786
29	g188	690.062040763369	0.619682494164497	0.193431112484078	3.20363402870624	0.00135704858522299	0.00574897240693796	542	893	715	497	592	796	835	1083	595	869	690	1047	1032	111	646	551	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30	g1084	5.00803486184358	4.32639532853069	1.50812888528705	2.86871723679453	0.00412140067708189	0.0146350383253856	0	0	0	0	0	5	0	0	6	0	11	33	4	4	0	6	sp	Q9PTS8	ACHA9_CHICK	40.878	296	168	4	34	912	13	304	3e-65	215	Q9PTS8	reviewed	ACHA9_CHICK	Neuronal acetylcholine receptor subunit alpha-9 (Nicotinic acetylcholine receptor subunit alpha-9) (NACHR alpha-9)	CHRNA9	Gallus gallus (Chicken)	484	GO:0004888; GO:0005262; GO:0005886; GO:0022848; GO:0043005; GO:0045202; GO:0045211; GO:1902495
31	g1088	23.7481290622994	2.79299272283229	0.879481136691463	3.17572783122933	0.00149461105730816	0.00623115937011978	4	7	19	3	0	14	18	0	11	4	92	112	58	1	6	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
32	g22028	240.55571507672	-1.40748571889918	0.259671171317691	-5.42026175550006	5.95118339864791e-08	8.98838734962846e-07	317	465	589	548	386	486	459	480	131	104	84	191	122	12	203	58	sp	Q9UKB3	DJC12_HUMAN	45.078	193	80	5	19	519	6	198	1.87e-47	156	Q9UKB3	reviewed	DJC12_HUMAN	DnaJ homolog subfamily C member 12 (J domain-containing protein 1)	DNAJC12 JDP1	Homo sapiens (Human)	198	GO:0005737
33	g184	336.384442057105	-0.815959639017501	0.171723703051354	-4.75158422814518	2.01829052666e-06	2.10657022611878e-05	465	692	808	425	492	606	591	556	180	178	167	366	195	47	299	167	sp	Q8K0G5	EIPR1_MOUSE	65.206	388	133	1	1	1164	1	386	7.33e-175	495	Q8K0G5	reviewed	EIPR1_MOUSE	EARP and GARP complex-interacting protein 1 (Endosome-associated recycling protein-interacting protein) (Golgi-associated retrograde protein-interacting protein) (Tumor-suppressing STF cDNA 1 protein) (Tumor-suppressing subchromosomal transferable fragment candidate gene 1 protein)	Eipr1 Tssc1	Mus musculus (Mouse)	386	GO:0000938; GO:0005802; GO:0016567; GO:0032456; GO:0050796; GO:1904811; GO:1905281; GO:1990745; GO:2001137
34	g6684	15.6184405205212	1.88355044879473	0.451876205099084	4.16828863201974	3.0689516469001e-05	0.000231306465222525	8	10	10	6	11	6	8	11	27	3	8	52	10	13	22	16	sp	Q80X72	LRC15_MOUSE	43.434	99	56	0	3604	3900	248	346	3.97e-13	78.2	Q80X72	reviewed	LRC15_MOUSE	Leucine-rich repeat-containing protein 15	Lrrc15	Mus musculus (Mouse)	579	GO:0001968; GO:0005518; GO:0005615; GO:0005886; GO:0009986; GO:0016324; GO:0030335; GO:0031012; GO:0043236; GO:0046597; GO:0046813; GO:0062023; GO:0140311; GO:1903077
35	g255	33.9368543160665	3.4201113298079	1.10027455056266	3.10841628397106	0.00188092925529062	0.00756022848447746	0	0	0	0	7	25	26	6	29	17	43	46	61	0	58	149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
36	g257	627.340301248449	-1.41863334185717	0.378074283654368	-3.7522608735644	0.000175246962839969	0.00102481954552362	665	1450	1517	1440	1043	994	1236	1432	300	108	213	1310	233	29	387	140	sp	Q80T74	KLH29_MOUSE	26.374	455	231	7	4	1095	431	872	1.02e-42	162	Q80T74	reviewed	KLH29_MOUSE	Kelch-like protein 29 (Kelch repeat and BTB domain-containing protein 9)	Klhl29 Kbtbd9 Kiaa1921	Mus musculus (Mouse)	875	
37	g258	372.79874054738	-1.31127350015505	0.402031692274685	-3.26161724399362	0.00110778611049429	0.0048417242691304	383	824	798	797	647	607	778	877	87	83	99	866	149	16	287	132	sp	O35709	ENC1_MOUSE	36.975	119	72	1	379	735	27	142	7.89e-16	82	O35709	reviewed	ENC1_MOUSE	Ectoderm-neural cortex protein 1 (ENC-1)	Enc1 Enc-1	Mus musculus (Mouse)	589	GO:0000785; GO:0003779; GO:0005654; GO:0005737; GO:0005856; GO:0010499; GO:0010976; GO:0016363; GO:0016567; GO:0017148; GO:0031463; GO:0043025
38	g6530	1583.95055686826	1.67793412760103	0.377083395421179	4.44976932947917	8.59625671144809e-06	7.58305613799157e-05	550	883	1068	1179	1162	1261	885	1019	2037	1808	637	1785	1812	1252	832	2799	sp	Q8MSF5	RNK_DROME	50	90	43	1	10	273	2	91	2.95e-14	65.5	Q8MSF5	reviewed	RNK_DROME	Ribonuclease kappa (RNase K) (RNase kappa) (EC 3.1.-.-)	RNASEK l(2)NC110 CG40127	Drosophila melanogaster (Fruit fly)	95	GO:0004521; GO:0016020; GO:0098586
39	g6531	657.757813401374	0.681179130834389	0.250955313746916	2.71434432156055	0.00664071042199316	0.021923566020285	439	569	730	468	930	925	585	826	676	984	428	786	775	237	385	628	sp	Q5ZLY5	PKHF2_CHICK	67.1	231	76	0	1	693	1	231	2.49e-117	339	Q5ZLY5	reviewed	PKHF2_CHICK	Pleckstrin homology domain-containing family F member 2 (PH domain-containing family F member 2)	PLEKHF2 RCJMB04_4g10	Gallus gallus (Chicken)	249	GO:0005769; GO:0005783; GO:0007032; GO:0008333; GO:0015031; GO:0031901; GO:0035091; GO:0046872
40	g6532	32352.9508369196	0.913319746573695	0.235151693713856	3.88395989052525	0.000102768868263623	0.000652711113506791	44627	33386	29929	20320	28921	29520	24807	29163	29149	25031	37148	30615	44772	11788	54407	24070	sp	P62282	RS11_RAT	81.132	159	25	5	1	465	1	158	1.59e-87	255	P62282	reviewed	RS11_RAT	Small ribosomal subunit protein uS17 (40S ribosomal protein S11)	Rps11	Rattus norvegicus (Rat)	158	GO:0001649; GO:0003735; GO:0005730; GO:0006412; GO:0016020; GO:0019843; GO:0022626; GO:0022627; GO:0032040; GO:0042274; GO:0045202
41	g6533	2354.59970568944	-1.46198414802417	0.522691987067057	-2.79702804748872	0.00515750558478077	0.0176377348687841	598	3829	8135	3108	5050	6485	5062	5505	991	2006	852	308	728	534	260	833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
42	g6536	113.542416929438	-0.749852084978061	0.315757660141691	-2.37477084369569	0.0175598481185713	0.0489575785752609	112	236	213	107	137	218	284	264	60	33	109	148	143	9	54	39	sp	Q01460	DIAC_RAT	52.672	262	121	2	43	822	104	364	6.83e-95	287	Q01460	reviewed	DIAC_RAT	Di-N-acetylchitobiase (EC 3.2.1.-)	Ctbs Ctb	Rattus norvegicus (Rat)	367	GO:0004568; GO:0005764; GO:0006032; GO:0008061; GO:0009313; GO:0016798
43	g6537	738.49093349154	-1.70286597266533	0.230158525084314	-7.39866564595653	1.37559723632528e-13	5.8347744449154e-12	1125	2056	1644	862	1569	1507	1506	2119	281	138	248	372	533	47	344	359	sp	Q01460	DIAC_RAT	51.906	341	160	3	103	1119	25	363	4.34e-126	370	Q01460	reviewed	DIAC_RAT	Di-N-acetylchitobiase (EC 3.2.1.-)	Ctbs Ctb	Rattus norvegicus (Rat)	367	GO:0004568; GO:0005764; GO:0006032; GO:0008061; GO:0009313; GO:0016798
44	g15186	89.5343832271414	1.90972140411659	0.524856557382202	3.63855872096102	0.000274168119015066	0.00149990212155486	139	58	27	9	12	22	84	59	63	54	78	247	149	23	94	236	sp	Q9W734	SMAD6_CHICK	52.754	345	144	7	121	1152	105	431	6.5e-102	311	Q9W734	reviewed	SMAD6_CHICK	Mothers against decapentaplegic homolog 6 (MAD homolog 6) (Mothers against DPP homolog 6) (SMAD family member 6) (SMAD 6) (Smad6)	SMAD6 MADH6	Gallus gallus (Chicken)	431	GO:0000976; GO:0003682; GO:0005634; GO:0005768; GO:0006357; GO:0007179; GO:0009653; GO:0010693; GO:0030154; GO:0030509; GO:0030514; GO:0031589; GO:0032331; GO:0046872; GO:0050767; GO:0060395; GO:0070411; GO:0071144; GO:0090090; GO:0140416; GO:1902832
45	g15976	4281.73381463206	1.06183910303394	0.407198179128967	2.60767154044084	0.00911603813518458	0.0285180998645339	1653	2990	4337	3815	4876	4572	3651	3757	3401	4839	2439	3672	3711	3295	1552	6571	sp	Q92542	NICA_HUMAN	36.061	721	368	22	25	2007	14	701	5.74e-132	408	Q92542	reviewed	NICA_HUMAN	Nicastrin	NCSTN KIAA0253 UNQ1874/PRO4317	Homo sapiens (Human)	709	GO:0000139; GO:0002262; GO:0005765; GO:0005769; GO:0005783; GO:0005789; GO:0005794; GO:0005886; GO:0005925; GO:0006508; GO:0006509; GO:0007212; GO:0007215; GO:0007219; GO:0007220; GO:0007611; GO:0008021; GO:0010008; GO:0010950; GO:0016020; GO:0016485; GO:0021549; GO:0022010; GO:0030534; GO:0030674; GO:0031293; GO:0034205; GO:0035577; GO:0042098; GO:0042383; GO:0042470; GO:0042500; GO:0042734; GO:0042982; GO:0042983; GO:0042986; GO:0042987; GO:0050673; GO:0051117; GO:0051402; GO:0070062; GO:0070765; GO:0070851; GO:0071277; GO:1900271; GO:1990926
