gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0228	PSC.0187	PSC.0188	PSC.0174	PSC.0190	PSC.0231	PSC.0230	PSC.0219	PSC.0177	PSC.0186	PSC.0209	PSC.0203	V2	uniprot_accession	gene_name	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	Entry	Reviewed	Entry.Name	Protein.names	Gene.Names	Organism	Length	Gene.Ontology.IDs
15	g15189	463.392077047184	0.922838200615167	0.304504821317652	3.03061934002182	0.00244052719206575	0.0100397069147961	614	306	408	583	554	448	496	402	408	446	296	297	sp	Q5ZLW3	DYM_CHICK	50.142	704	310	12	1	2094	1	669	0	632	Q5ZLW3	reviewed	DYM_CHICK	Dymeclin	DYM RCJMB04_4k4	Gallus gallus (Chicken)	669	GO:0005794; GO:0007030
16	g7654	13705.6361408876	0.782803999133341	0.238336290621222	3.2844515499212	0.00102181065169776	0.00485024114444752	14257	15664	10750	14997	12868	16647	13218	10897	12136	13539	10060	12991	sp	G1T168	RS10_RABIT	73.846	130	28	3	1	375	1	129	5.73e-62	191	G1T168	reviewed	RS10_RABIT	Small ribosomal subunit protein eS10 (40S ribosomal protein S10)	RPS10	Oryctolagus cuniculus (Rabbit)	165	GO:0003723; GO:0003735; GO:0005730; GO:0022626; GO:0022627
17	g7655	119.74899322686	1.71671662570275	0.459115474809749	3.73918266731073	0.000184619540882383	0.00113869748950935	140	317	197	40	73	214	119	75	40	33	93	54	sp	F1RMN2	TM86B_PIG	38.605	215	104	8	67	699	34	224	6.07e-29	112	F1RMN2	reviewed	TM86B_PIG	Lysoplasmalogenase TMEM86B (EC 3.3.2.2) (Transmembrane protein 86B)	TMEM86B	Sus scrofa (Pig)	226	GO:0005737; GO:0005789; GO:0016020; GO:0046485; GO:0047408; GO:0047826
18	g14588	877.801301916186	1.11098141130042	0.41250310621032	2.69326798895418	0.00707553713590798	0.0242346211219835	1030	741	459	1682	1041	760	653	430	825	547	877	600	sp	Q14696	MESD_HUMAN	59.441	143	57	1	88	516	55	196	8.36e-42	143	Q14696	reviewed	MESD_HUMAN	LRP chaperone MESD (LDLR chaperone MESD) (Mesoderm development LRP chaperone MESD) (Mesoderm development candidate 2) (Mesoderm development protein) (Renal carcinoma antigen NY-REN-61)	MESD KIAA0081 MESDC2 MESDM UNQ1911/PRO4369	Homo sapiens (Human)	234	GO:0001503; GO:0005783; GO:0005886; GO:0006457; GO:0006909; GO:0007498; GO:0016055; GO:0034394; GO:0042802; GO:0050750; GO:1904395
19	g14587	485.52613150037	3.03775434252012	0.501817945200107	6.05349882676828	1.41733105256472e-09	3.48007802797763e-08	840	232	301	630	1153	674	207	90	94	190	84	128	sp	Q9C0E8	LNP_HUMAN	42.994	314	142	7	1	840	1	311	8.18e-68	222	Q9C0E8	reviewed	LNP_HUMAN	Endoplasmic reticulum junction formation protein lunapark (ER junction formation factor lunapark)	LNPK KIAA1715 LNP	Homo sapiens (Human)	428	GO:0005654; GO:0005783; GO:0005789; GO:0007029; GO:0007596; GO:0016020; GO:0032330; GO:0035115; GO:0042733; GO:0042802; GO:0046872; GO:0060173; GO:0071782; GO:0071786; GO:0071788; GO:0098826; GO:1903373
20	g14586	110.664535551342	-1.82269350749485	0.610637049115163	-2.98490487947956	0.00283666519058997	0.0114270751550395	67	67	81	41	0	26	353	285	142	320	79	139	sp	P31937	3HIDH_HUMAN	72.961	233	63	0	1	699	102	334	1.78e-124	359	P31937	reviewed	3HIDH_HUMAN	3-hydroxyisobutyrate dehydrogenase, mitochondrial (HIBADH) (EC 1.1.1.31)	HIBADH	Homo sapiens (Human)	336	GO:0005739; GO:0005759; GO:0006574; GO:0008442; GO:0050661; GO:0051287
21	g14585	37.2938609118044	-1.94562172909504	0.537770406713401	-3.61794123441221	0.000296955797849783	0.0017045678383572	19	33	9	7	3	14	141	83	74	90	13	56	sp	P31937	3HIDH_HUMAN	59.322	59	17	2	70	225	14	72	3.54e-13	65.9	P31937	reviewed	3HIDH_HUMAN	3-hydroxyisobutyrate dehydrogenase, mitochondrial (HIBADH) (EC 1.1.1.31)	HIBADH	Homo sapiens (Human)	336	GO:0005739; GO:0005759; GO:0006574; GO:0008442; GO:0050661; GO:0051287
22	g14584	5618.86668065287	1.53912199388269	0.346588773508779	4.44077278759206	8.96363987613362e-06	8.34279571142772e-05	11490	6533	5608	11669	4880	2938	6134	4821	3165	2885	2149	2499	sp	A7T1N0	TMP2L_NEMVE	40.203	1577	816	30	145	4671	34	1551	0	1013	A7T1N0	reviewed	TMP2L_NEMVE	Transient receptor potential cation channel subfamily M member-like 2 (nvTRPM2)	TRPM2 v1g248535	Nematostella vectensis (Starlet sea anemone)	1551	GO:0005886; GO:0015280; GO:0035725; GO:0046872; GO:0047631; GO:0070588; GO:0099604
23	g10808	13.6333959466103	4.72297078713069	1.38465462595674	3.41093778809089	0.000647398611032665	0.00327678919555247	27	76	8	2	4	31	0	7	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	g10803	588.166035521718	0.785736322080346	0.278683960475418	2.81945297727192	0.00481055786824715	0.0176599141269846	601	874	742	270	493	800	696	445	495	675	423	446	sp	A7J1T0	M313B_XENLA	61.245	498	176	5	43	1512	39	527	0	608	A7J1T0	reviewed	M313B_XENLA	Mitogen-activated protein kinase kinase kinase 13-B (EC 2.7.11.25)	map3k13-b	Xenopus laevis (African clawed frog)	961	GO:0004709; GO:0005524; GO:0005737; GO:0016020; GO:0106310
25	g10806	580.344172385095	-1.22598386018781	0.284450373385666	-4.31000967091572	1.63247406852013e-05	0.000139163408236822	280	368	372	443	171	172	1070	846	693	876	940	1421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26	g10804	473.940057996012	0.823288002331432	0.257539529060574	3.19674422537983	0.00138988110627732	0.00626140397528376	501	701	523	283	359	717	540	324	384	545	319	405	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27	g10805	10768.9262185321	-2.95206476422068	0.425813987229927	-6.93275667956547	4.12717749712551e-12	1.66257081005857e-10	863	980	4046	3640	875	2248	28017	26073	20397	21164	25072	17626	sp	Q9UM22	EPDR1_HUMAN	44.886	176	93	2	124	648	41	213	3.88e-50	168	Q9UM22	reviewed	EPDR1_HUMAN	Mammalian ependymin-related protein 1 (MERP-1) (Upregulated in colorectal cancer gene 1 protein)	EPDR1 MERP1 UCC1	Homo sapiens (Human)	224	GO:0005509; GO:0005543; GO:0005576; GO:0005764; GO:0007160; GO:0042802; GO:0043202; GO:1905573; GO:1990764
28	g4305	22150.871682282	1.73928111586534	0.418403553972245	4.15694632455419	3.22529729558817e-05	0.000250137259533647	33152	12515	15316	18136	32225	47982	14963	12000	11485	12157	13739	9689	sp	Q6P823	H33_XENTR	99.265	136	1	0	1	408	1	136	1.42e-94	271	Q6P823	reviewed	H33_XENTR	Histone H3.3	TGas113e22.1	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	136	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
29	g4304	278.888785855532	2.11757288213052	0.339821450630846	6.23142794017108	4.62202592069233e-10	1.26720798996122e-08	443	619	358	158	372	332	196	129	75	181	77	126	sp	Q9UBU9	NXF1_HUMAN	38.78	508	239	9	589	1923	119	617	3.52e-105	335	Q9UBU9	reviewed	NXF1_HUMAN	Nuclear RNA export factor 1 (Tip-associated protein) (Tip-associating protein) (mRNA export factor TAP)	NXF1 TAP	Homo sapiens (Human)	619	GO:0003723; GO:0003729; GO:0005634; GO:0005643; GO:0005654; GO:0005737; GO:0005829; GO:0006406; GO:0010494; GO:0015031; GO:0016607; GO:0016973; GO:0042272; GO:0042405
30	g4307	122.711736692234	-1.29981309288439	0.333250052780908	-3.90041376449216	9.6028427447203e-05	0.000652494363757407	68	37	128	71	19	58	273	179	258	217	189	159	sp	Q9DAZ9	ANCHR_MOUSE	51.02	98	47	1	259	552	287	383	1.24e-25	104	Q9DAZ9	reviewed	ANCHR_MOUSE	Abscission/NoCut checkpoint regulator (ANCHR) (Zinc finger FYVE domain-containing protein 19)	Zfyve19 Anchr	Mus musculus (Mouse)	389	GO:0005737; GO:0005813; GO:0009838; GO:0030496; GO:0032154; GO:0032266; GO:0032466; GO:0044878; GO:0046872; GO:0051301; GO:0090543
31	g4306	93.3604114605998	-1.32600730250305	0.313896491283609	-4.2243457296405	2.39635936309675e-05	0.000193672626179162	51	48	48	50	12	72	172	123	202	166	149	149	sp	Q96K21	ANCHR_HUMAN	39.869	153	71	4	1	459	76	207	2.55e-23	99	Q96K21	reviewed	ANCHR_HUMAN	Abscission/NoCut checkpoint regulator (ANCHR) (MLL partner containing FYVE domain) (Zinc finger FYVE domain-containing protein 19)	ZFYVE19 ANCHR MPFYVE	Homo sapiens (Human)	471	GO:0005737; GO:0005813; GO:0009838; GO:0030496; GO:0032154; GO:0032266; GO:0032466; GO:0044878; GO:0046872; GO:0051301; GO:0090543
32	g4300	5142.34982331495	5.00204628594813	1.15188874882847	4.34247342986505	1.40887528572076e-05	0.000122593887567032	509	4385	32776	39	108	17559	13	228	674	97	457	577	sp	P80146	SEPR_THESR	39.633	381	202	9	52	1119	30	407	5.67e-75	241	P80146	reviewed	SEPR_THESR	Extracellular serine proteinase (EC 3.4.21.-)		Thermus sp. (strain Rt41A)	410	GO:0004252; GO:0005615; GO:0006508
33	g4302	43.2047584094114	-1.52709887897062	0.552887514542303	-2.76204261952778	0.00574409797693457	0.0204184528179635	37	44	15	4	7	17	103	76	18	147	63	74	sp	P10394	POL4_DROME	25.872	344	226	4	157	1143	882	1211	5.33e-36	145	P10394	reviewed	POL4_DROME	Retrovirus-related Pol polyprotein from transposon 412 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]	POL ORF3	Drosophila melanogaster (Fruit fly)	1237	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0006508; GO:0015074; GO:0042575
34	g5656	53.8013751095286	-1.51219605490057	0.54717205910463	-2.76365729890349	0.00571575353083049	0.0203415902131528	46	20	47	20	0	26	185	128	55	115	53	76	sp	B4F7A7	CEP57_RAT	35.103	339	200	5	778	1773	173	498	1.93e-45	149	B4F7A7	reviewed	CEP57_RAT	Centrosomal protein of 57 kDa (Cep57) (Translokin)	Cep57	Rattus norvegicus (Rat)	499	GO:0005634; GO:0005737; GO:0005794; GO:0005813; GO:0005829; GO:0005874; GO:0007286; GO:0008017; GO:0008543; GO:0017134; GO:0034451; GO:0042803; GO:0043015; GO:0051260
35	g5657	171.064630743188	-0.625910866702675	0.215977359403727	-2.89803925944228	0.0037550358203294	0.0143361818171112	181	175	107	82	76	88	374	225	167	271	240	259	sp	Q6PAM1	TXLNA_MOUSE	54.743	369	139	6	91	1131	119	481	1.45e-104	325	Q6PAM1	reviewed	TXLNA_MOUSE	Alpha-taxilin	Txlna Txln	Mus musculus (Mouse)	554	GO:0005737; GO:0006887; GO:0019905; GO:0042113
36	g1379	339.179138077488	-1.85287968917862	0.523203996587156	-3.5414096628942	0.000397995118109025	0.00217655087773138	192	348	98	117	51	16	528	715	965	525	569	454	sp	Q6AY22	SPAT1_RAT	42.336	137	79	0	28	438	7	143	1.06e-22	106	Q6AY22	reviewed	SPAT1_RAT	Spermatogenesis-associated protein 1	Spata1	Rattus norvegicus (Rat)	444	GO:0001669; GO:0031410
37	g1373	123.460927044269	-0.96632647964761	0.334946717807673	-2.88501552119247	0.00391394364817865	0.0148333310551996	44	89	145	65	42	53	233	249	160	276	174	107	sp	Q96EH8	NEUL3_HUMAN	30.464	151	95	5	10	450	19	163	3.53e-10	65.5	Q96EH8	reviewed	NEUL3_HUMAN	E3 ubiquitin-protein ligase NEURL3 (EC 2.3.2.27) (Lung-inducible neuralized-related C3CH4 RING domain protein) (Neuralized-like protein 3) (RING-type E3 ubiquitin transferase NEURL3)	NEURL3 LINCR	Homo sapiens (Human)	262	GO:0005769; GO:0016567; GO:0045087; GO:0046872; GO:0061630; GO:0070086
38	g1377	1525.63923490059	1.27031732306358	0.302929670170755	4.19343975896296	2.74756065813616e-05	0.000218244838016652	3221	1352	2123	1314	1512	1541	1723	1302	1334	967	479	863	sp	P54725	RD23A_HUMAN	41.912	408	172	8	1	1176	3	361	8.94e-76	242	P54725	reviewed	RD23A_HUMAN	UV excision repair protein RAD23 homolog A (HR23A) (hHR23A)	RAD23A	Homo sapiens (Human)	363	GO:0000502; GO:0003684; GO:0003697; GO:0005634; GO:0005654; GO:0005737; GO:0005794; GO:0005829; GO:0006289; GO:0019900; GO:0031593; GO:0031648; GO:0032434; GO:0032436; GO:0032991; GO:0043130; GO:0043161; GO:0043231; GO:0045070; GO:0045787; GO:0070628; GO:1990381
39	g1375	5809.50398964897	-2.18541244440498	0.51609545439986	-4.23451209611269	2.29048456549519e-05	0.000186788861064129	1421	2026	2261	4238	812	194	13636	11971	13844	12801	8983	8117	sp	A3KN33	EGFLA_BOVIN	43.825	664	364	5	403	2376	355	1015	0	580	A3KN33	reviewed	EGFLA_BOVIN	Pikachurin (EGF-like, fibronectin type-III and laminin G-like domain-containing protein)	EGFLAM	Bos taurus (Bovine)	1018	GO:0005509; GO:0005604; GO:0042995; GO:0043083; GO:0048786
40	g188	564.373540294405	0.902407182414639	0.268215529859962	3.36448520667611	0.000766865952002611	0.00379271850802716	713	885	812	387	319	769	786	487	431	596	202	463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
41	g184	164.18511307837	-1.14284980203177	0.2984164813474	-3.82971408573551	0.000128292230249431	0.000836611151441807	80	136	92	145	38	49	375	236	291	219	284	243	sp	Q8K0G5	EIPR1_MOUSE	65.206	388	133	1	1	1164	1	386	7.33e-175	495	Q8K0G5	reviewed	EIPR1_MOUSE	EARP and GARP complex-interacting protein 1 (Endosome-associated recycling protein-interacting protein) (Golgi-associated retrograde protein-interacting protein) (Tumor-suppressing STF cDNA 1 protein) (Tumor-suppressing subchromosomal transferable fragment candidate gene 1 protein)	Eipr1 Tssc1	Mus musculus (Mouse)	386	GO:0000938; GO:0005802; GO:0016567; GO:0032456; GO:0050796; GO:1904811; GO:1905281; GO:1990745; GO:2001137
42	g6009	52.3598394825514	-3.32213188859314	0.593204247898651	-5.60031709206629	2.13960061106838e-08	4.00138572310374e-07	8	5	23	4	9	0	125	125	155	145	68	74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
43	g6684	84.1438047520576	3.61508418997142	0.87434751235785	4.13460796637098	3.5556106873288e-05	0.000273020898918741	119	699	16	15	29	33	18	12	11	5	10	35	sp	Q80X72	LRC15_MOUSE	43.434	99	56	0	3604	3900	248	346	3.97e-13	78.2	Q80X72	reviewed	LRC15_MOUSE	Leucine-rich repeat-containing protein 15	Lrrc15	Mus musculus (Mouse)	579	GO:0001968; GO:0005518; GO:0005615; GO:0005886; GO:0009986; GO:0016324; GO:0030335; GO:0031012; GO:0043236; GO:0046597; GO:0046813; GO:0062023; GO:0140311; GO:1903077
44	g254	619.909657538175	1.04307435097313	0.299105509567406	3.48731239515355	0.00048790109099987	0.0025874672316411	787	489	581	685	837	586	724	439	489	427	436	463	sp	G3X9K3	BIG1_MOUSE	65.827	1112	314	10	1	3240	760	1837	0	1405	G3X9K3	reviewed	BIG1_MOUSE	Brefeldin A-inhibited guanine nucleotide-exchange protein 1 (BIG1) (Brefeldin A-inhibited GEP 1) (ADP-ribosylation factor guanine nucleotide-exchange factor 1)	Arfgef1	Mus musculus (Mouse)	1846	GO:0000139; GO:0005085; GO:0005654; GO:0005730; GO:0005802; GO:0005829; GO:0006486; GO:0007030; GO:0010256; GO:0015031; GO:0016363; GO:0017022; GO:0030532; GO:0030837; GO:0031175; GO:0032012; GO:0034237; GO:0034260; GO:0048471; GO:0051897; GO:0090303; GO:2000114
45	g255	133.441709843348	3.96198964899146	1.36441866926125	2.90379319650958	0.00368671592600847	0.0141170254905971	67	381	619	4	0	353	29	47	5	0	0	38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
46	g257	421.217721840694	-1.49333610393776	0.419813314135507	-3.5571432673899	0.000374909711536428	0.00207928566813089	190	499	255	54	86	132	1120	519	518	923	927	588	sp	Q80T74	KLH29_MOUSE	26.374	455	231	7	4	1095	431	872	1.02e-42	162	Q80T74	reviewed	KLH29_MOUSE	Kelch-like protein 29 (Kelch repeat and BTB domain-containing protein 9)	Klhl29 Kbtbd9 Kiaa1921	Mus musculus (Mouse)	875	
47	g253	258.256708422647	0.750824092805535	0.308434169739025	2.43430905674566	0.0149202495735642	0.0443527827465183	326	178	260	301	255	270	409	148	267	178	155	277	sp	A2A5R2	BIG2_MOUSE	58.264	726	269	10	16	2154	5	709	0	679	A2A5R2	reviewed	BIG2_MOUSE	Brefeldin A-inhibited guanine nucleotide-exchange protein 2 (Brefeldin A-inhibited GEP 2) (ADP-ribosylation factor guanine nucleotide-exchange factor 2)	Arfgef2 Arfgep2 Big2	Mus musculus (Mouse)	1792	GO:0000139; GO:0001881; GO:0005085; GO:0005802; GO:0005813; GO:0005815; GO:0005829; GO:0005879; GO:0006887; GO:0006893; GO:0007032; GO:0010256; GO:0015031; GO:0016020; GO:0017022; GO:0031410; GO:0032012; GO:0032279; GO:0032280; GO:0032760; GO:0034237; GO:0035556; GO:0043197; GO:0048471; GO:0050811; GO:0055037; GO:0098793; GO:0098794; GO:0098978; GO:0098982
48	g258	215.208973969932	-1.40144278692439	0.48398663838611	-2.89562288661027	0.00378406838668917	0.0144348091681631	78	307	110	18	44	91	569	266	348	500	331	308	sp	O35709	ENC1_MOUSE	36.975	119	72	1	379	735	27	142	7.89e-16	82	O35709	reviewed	ENC1_MOUSE	Ectoderm-neural cortex protein 1 (ENC-1)	Enc1 Enc-1	Mus musculus (Mouse)	589	GO:0000785; GO:0003779; GO:0005654; GO:0005737; GO:0005856; GO:0010499; GO:0010976; GO:0016363; GO:0016567; GO:0017148; GO:0031463; GO:0043025
49	g6530	810.83822520731	1.62024655964073	0.330393421771276	4.90399158359271	9.3908514808497e-07	1.14202625791708e-05	1839	697	727	757	1130	860	750	406	433	401	556	385	sp	Q8MSF5	RNK_DROME	50	90	43	1	10	273	2	91	2.95e-14	65.5	Q8MSF5	reviewed	RNK_DROME	Ribonuclease kappa (RNase K) (RNase kappa) (EC 3.1.-.-)	RNASEK l(2)NC110 CG40127	Drosophila melanogaster (Fruit fly)	95	GO:0004521; GO:0016020; GO:0098586
50	g6532	12487.8775558263	0.895595193934754	0.238220511256198	3.75952175239675	0.000170238476144272	0.00106602837577227	13585	18490	11925	11332	11425	14617	10744	8028	9401	10978	10286	13183	sp	P62282	RS11_RAT	81.132	159	25	5	1	465	1	158	1.59e-87	255	P62282	reviewed	RS11_RAT	Small ribosomal subunit protein uS17 (40S ribosomal protein S11)	Rps11	Rattus norvegicus (Rat)	158	GO:0001649; GO:0003735; GO:0005730; GO:0006412; GO:0016020; GO:0019843; GO:0022626; GO:0022627; GO:0032040; GO:0042274; GO:0045202
