transcriptID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	V2	uniprot_accession_ID	gene	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
16	g8019.t3	9.8671369410399	6.43678036871913	1.28024963793793	5.02775410199428	4.96257662532946e-07	0.000537171349821774	sp	Q80YS5	LRC27_MOUSE	47.541	122	63	1	103	468	58	178	3.01e-26	114
17	g14335.t1	61.267636662728	-7.39189824571993	1.88017513278399	-3.931494527733	8.4419418198646e-05	0.0234975420597488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	g15793.t1	102.402781091387	3.06130017775201	0.72026607293398	4.25023514613413	2.13546210543198e-05	0.00945621446869018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	g3035.t1	8.21939544572944	6.32127980268084	1.11552671214499	5.66663239334354	1.45631315303422e-08	2.83748054737188e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	g13468.t1	209.966453762334	5.37580886829653	1.15291897933476	4.66278113610239	3.11964479419568e-06	0.00225122811741143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	g17027.t1	146.34160370158	-2.12124273029907	0.538116460410314	-3.94197703724138	8.08127150507674e-05	0.0229009265650959	sp	Q27433	MEC2_CAEEL	65.035	286	83	1	22	879	102	370	5.23e-103	312
22	g22932.t2	59.6324572621141	9.14914415803335	2.13795324585304	4.27939393706566	1.87402915412555e-05	0.00912839600974558	sp	Q0P4M4	CBPC2_XENTR	49.561	456	214	6	1852	3213	196	637	1.74e-146	471
23	g3945.t1	11.5913345135368	6.23958994981219	1.43489020980277	4.34847900360952	1.37084939710779e-05	0.00741934157034674	sp	P47236	PAX1_CHICK	69.756	205	54	2	28	624	1	203	2.41e-86	258
24	g14021.t2	27.6615629263125	7.95291986680087	1.53607793925926	5.17741949385458	2.24975972920285e-07	0.000292228790425255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25	g19209.t1	20.2046666657248	3.87868999068622	1.04349695014822	3.71701133399123	0.000201593402966106	0.0436427318154623	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26	g21696.t1	169.765896359195	-1.18640873359454	0.299167830611039	-3.96569621530278	7.31820210466673e-05	0.0218540593425334	sp	B0BNF9	HAOX1_RAT	47.802	364	176	6	16	1080	6	364	7.72e-107	321
27	g22789.t1	7.39027689226739	5.73561186039634	1.44338839645145	3.97371343326388	7.07606916429357e-05	0.0218540593425334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28	g20804.t1	32.0525495758927	7.98327191604884	1.84476546535982	4.32752675933887	1.50793029853152e-05	0.00773171419383897	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29	g11256.t1	16.9572968222984	6.7930374082403	1.48140063179753	4.58555050027056	4.52791811336128e-06	0.00304213643174935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30	g5067.t1	8.66151072167043	6.18066584992762	1.05729827967037	5.8457163591097	5.04392871348534e-09	1.0919545228172e-05	sp	Q5R806	PTGR2_PONAB	49.565	345	142	3	16	957	4	347	3.56e-103	309
31	g6847.t1	1180.75215882297	-0.579393353341864	0.136540688227599	-4.24337507641734	2.20182965952035e-05	0.00953343313024324	sp	Q9UPU7	TBD2B_HUMAN	35.455	990	535	15	256	3126	33	951	0	566
32	g11097.t1	243.356860350405	2.41417178499498	0.606735423849066	3.9789530825145	6.92193976183349e-05	0.0218540593425334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
33	g8676.t2	120.994079794039	-25.3237343864271	3.0583748533002	-8.28012771524752	1.23043247149794e-16	4.79474925493316e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34	g16046.t1	565.284546702964	2.96780526543923	0.69760928716741	4.2542513696883	2.09749571610034e-05	0.00945621446869018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
35	g17488.t1	15.4310077878658	5.31625947664563	1.07447796010774	4.94776037668802	7.50722458356051e-07	0.000769846125189963	sp	Q7ZW63	NUF2_DANRE	26.018	442	310	5	1	1299	1	434	3.66e-31	128
36	g8842.t1	938.742656596627	2.46996254749036	0.563282786522361	4.38494235327092	1.16016497915805e-05	0.00706395451684858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
37	g10898.t1	64.6992070826944	5.82980722862799	1.34322055765952	4.34017123649899	1.42371727918592e-05	0.00749721823450231	sp	Q6AX60	PTHB1_XENLA	50.455	549	262	5	1	1626	280	825	5.2e-174	523
38	g12821.t1	450.297436615593	-27.3623795530373	3.00374990692431	-9.10940670858147	8.28336989495553e-20	1.61393179033313e-15	sp	O75923	DYSF_HUMAN	43.734	1612	742	23	622	5172	217	1758	0	1273
39	g17719.t1	257.743061672569	2.2544762309128	0.556413254295039	4.05180181009376	5.0824709821596e-05	0.0180048844757087	sp	Q8AVH7	EGFL6_XENLA	47.177	248	124	5	106	834	35	280	1.72e-61	219
40	g3867.t3	18.1291754387014	2.89330520199822	0.697794241503999	4.1463586683692	3.37804529981959e-05	0.0140037946003585	sp	P06151	LDHA_MOUSE	54.783	115	49	1	37	372	218	332	5.36e-34	123
41	g14601.t1	165.414994154586	8.44684852061402	2.06609210189641	4.08832138357282	4.34505913805446e-05	0.0172773739277251	sp	P21836	ACES_MOUSE	36.348	575	317	16	160	1824	60	605	2.79e-108	342
42	g23158.t1	41.2675777335231	3.92070968372859	0.806298955503052	4.86260047463716	1.15853537784638e-06	0.00107490015723614	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
43	g16461.t1	316.3960136469	-3.22996598753164	0.8266307842275	-3.90738652510999	9.32998351832277e-05	0.0252479720654168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
44	g8557.t1	266.658175673508	1.0570343635932	0.242552002703757	4.35797005100066	1.31274341810536e-05	0.00730785507381853	sp	A3KPW7	PTAR1_DANRE	42.47	332	151	5	13	951	9	319	1.02e-70	235
45	g22586.t1	57.0410476407534	4.21321515823987	0.798331597534302	5.27752524296001	1.30940171689596e-07	0.000196249100400007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
46	g10994.t1	26.2961765349229	5.83736196511348	1.44547635336859	4.03836558896994	5.38249205964611e-05	0.0186713879622384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
47	g9821.t1	6.15161466703463	5.6220427437593	1.46710004291294	3.8320786444779	0.000127065103993544	0.0321524218988339	sp	Q8BKE6	CP20A_MOUSE	33.404	470	304	5	1	1410	1	461	4.96e-86	274
48	g3840.t1	37.3808784012868	4.94250848948764	1.29357066578341	3.82082604392887	0.000133005444093163	0.0328035199077367	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
49	g23108.t1	2252.419761047	-1.82276361939131	0.44798327986696	-4.06882064869167	4.72517009841875e-05	0.0173707951316209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
50	g18086.t1	292.177173164375	0.885535252780739	0.193445735562024	4.57769332680281	4.70131235944519e-06	0.00305334566704767	sp	P15374	UCHL3_HUMAN	50.442	226	112	0	16	693	5	230	8.09e-73	224
51	g1067.t2	48.8228629358186	8.57096407598657	2.10292951571707	4.07572579676498	4.58710466851792e-05	0.0173707951316209	sp	Q6PBY7	TPC13_DANRE	60	400	134	5	16	1146	7	403	1.84e-160	460
52	g535.t2	238.541193237685	3.98612652288039	1.0666047261522	3.73721063215275	0.000186073041719898	0.0420136593359051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
53	g1623.t1	360.218847360206	1.75898829707738	0.442941287977216	3.97115451826622	7.15251677192168e-05	0.0218540593425334	sp	Q6XP49	GLIS3_MOUSE	61.801	322	105	8	1258	2187	326	641	2.12e-113	369
54	g12314.t1	32.8713215507592	7.18339868420253	1.27935778235338	5.61484737364761	1.96735820753585e-08	3.48472793778442e-05	sp	Q6NZ13	NBL1_DANRE	50.962	104	50	1	127	438	25	127	9.73e-33	117
55	g16982.t1	22.7567459688395	5.46211566818504	1.29438598981581	4.21985073321313	2.44464124686139e-05	0.0103546500117059	sp	G3C7W6	S2611_CAVPO	47.358	492	234	9	61	1509	25	500	3.4e-131	397
56	g9649.t1	9686.97412335491	-2.19362315909424	0.560550659501381	-3.91333614886031	9.10296756827071e-05	0.024980594380308	sp	Q0D4Z6	GH38_ORYSJ	27.728	559	366	16	298	1896	42	588	3.54e-47	179
57	g11353.t1	4480.20322030054	-1.58630850827343	0.349847703212059	-4.53428304290423	5.77994783525278e-06	0.00363279043942146	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
58	g5017.t1	11.5155527714754	3.97481323622192	1.0502999459312	3.78445533737302	0.000154045567020833	0.0361038156639371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59	g3934.t1	32.5676285950584	4.29555265076674	1.08993077854021	3.94112427627739	8.11005919211466e-05	0.0229009265650959	sp	P50748	KNTC1_HUMAN	31.152	1589	994	24	28	4671	668	2197	0	711
60	g15820.t1	131.905485260575	2.90687692231697	0.759564056545419	3.82703327950742	0.000129696985472957	0.0323976418583986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
61	g23378.t1	200.522641318522	8.12396115176882	2.17499964601705	3.73515516043681	0.000187599484819531	0.0420136593359051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
62	g23472.t1	13.9414712447065	5.83978656319251	1.54599508393514	3.77736425159132	0.000158496843107701	0.0363312057777699	sp	Q9H4G4	GAPR1_HUMAN	44.218	147	73	3	73	498	7	149	5.43e-35	122
63	g16019.t1	1175.94166618743	3.41428913834439	0.841849304409073	4.05570108624252	4.99841488321321e-05	0.0180048844757087	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
64	g23104.t1	1407.92029667908	-1.96875872216194	0.496790819636319	-3.96295310690966	7.40283266581401e-05	0.0218540593425334	sp	Q29116	TENA_PIG	30.396	556	293	28	67	1611	185	687	4.62e-27	125
65	g14901.t1	63.2941230750128	9.24038693059312	2.38007982693316	3.88238529902578	0.000103436810590354	0.0276077098293488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
66	g1326.t1	5424.78555522366	4.37958218993049	1.08542193384277	4.03491218795004	5.46227219178602e-05	0.0186713879622384	sp	Q94637	VIT6_OSCTI	21.079	1001	655	32	358	3231	110	1018	1.7e-31	139
67	g241.t3	44.5224098217257	5.80131000957281	1.12016246064729	5.17898984600902	2.23090610717917e-07	0.000292228790425255	sp	Q9HC10	OTOF_HUMAN	56.576	403	171	3	151	1347	236	638	9.92e-136	475
68	g241.t3	44.5224098217257	5.80131000957281	1.12016246064729	5.17898984600902	2.23090610717917e-07	0.000292228790425255	sp	Q9HC10	OTOF_HUMAN	42.681	567	259	7	1372	3069	739	1240	8e-126	445
69	g241.t3	44.5224098217257	5.80131000957281	1.12016246064729	5.17898984600902	2.23090610717917e-07	0.000292228790425255	sp	Q9HC10	OTOF_HUMAN	46.614	251	95	9	3925	4575	1408	1653	7.26e-51	203
70	g6700.t1	14041.63126766	-1.42995169513964	0.360492754299681	-3.9666586306778	7.28872706280202e-05	0.0218540593425334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
71	g10969.t1	1137.81662830756	5.11797361164279	1.32701174966295	3.85676585979192	0.000114897121750142	0.0298487402690636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
72	g23094.t1	42.4432410667289	-1.81510513771663	0.443314735807589	-4.0943938721325	4.23274236911291e-05	0.0171814067332908	sp	Q9CYF5	RCC1L_MOUSE	57.042	426	180	2	103	1374	37	461	3.48e-172	494
73	g362.t1	1493.74967944922	0.544260149638662	0.146014615901825	3.72743609451128	0.000193437587387238	0.0428288403710562	sp	Q5E9E2	MYL9_BOVIN	69.767	172	30	1	1	450	1	172	3.52e-78	232
74	g20825.t2	213.787996957989	7.81696423843558	2.03170280500888	3.84749394407683	0.000119332226000958	0.0305930143605614	sp	O35161	CELR1_MOUSE	41.789	2527	1338	33	940	8214	257	2752	0	1939
75	g15129.t1	245.495513545194	3.68584857515341	0.997536763725486	3.69495011029762	0.000219929966485862	0.0470891809561597	sp	P35760	VA5_VESMC	38.983	177	84	5	55	531	31	201	5.92e-31	115
76	g19065.t1	37.9579317882544	-1.24578064385753	0.268975103942659	-4.63158346477713	3.62879652796942e-06	0.00252512398396272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
77	g782.t1	965.047951498212	6.28753440353786	1.6625444411627	3.7818744857976	0.000155651843346885	0.0361038156639371	sp	P17945	HGF_RAT	34.074	405	185	19	109	1290	134	467	1.19e-45	172
78	g782.t1	965.047951498212	6.28753440353786	1.6625444411627	3.7818744857976	0.000155651843346885	0.0361038156639371	sp	P17945	HGF_RAT	31.579	304	145	14	415	1299	134	383	4.86e-24	108
79	g10608.t1	2344.9062195141	5.92174584315194	1.35518429730296	4.36969780046685	1.24418597163393e-05	0.00728023357168389	sp	Q6UXS0	CL19A_HUMAN	40.625	160	85	4	430	888	25	181	1.72e-29	114
80	g5607.t1	251.384689159593	24.6012972831167	2.92930360240318	8.39834330007102	4.52821713491271e-17	2.20569456641598e-13	sp	Q6ZMT9	DTHD1_HUMAN	33.333	483	255	17	679	2034	178	624	2.04e-61	226
81	g2330.t1	14.0736110288989	6.13077688199484	1.43586724054572	4.26973797359202	1.95702743195858e-05	0.00919551961316326	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
82	g6661.t1	9.76439271993197	6.43020611599666	1.2507744298135	5.14097983035633	2.73309395532837e-07	0.000332822516410112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
83	g20615.t1	18.2548630550915	-4.85512140104971	1.01458607508265	-4.78532233024607	1.70713141162761e-06	0.00151189765564328	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
84	g4312.t1	1884.68805514979	-1.63368803926403	0.410861243049111	-3.97625248645989	7.00097937587242e-05	0.0218540593425334	sp	Q8BSL4	HS3S5_MOUSE	27.152	302	176	9	223	1110	79	342	1.79e-26	111
85	g1664.t1	1124.67320370864	1.16719903576784	0.293936644178135	3.97092046495733	7.15954797898139e-05	0.0218540593425334	sp	Q7ZWX9	MIDNB_XENLA	39.206	403	213	8	64	1194	7	403	3.9e-59	203
86	g1077.t1	66.3023766939496	23.0626171239452	2.57511263539381	8.95596441373455	3.36778622211135e-19	3.28089733758087e-15	sp	Q98ST6	PI15_CHICK	34.685	222	119	10	64	678	33	245	5.17e-34	128
87	g11651.t4	73.8497447203202	9.08796578964116	1.52845489463341	5.94585147494381	2.75023438083303e-09	6.69819583451884e-06	sp	Q5F464	LPP_CHICK	64.807	233	80	2	661	1359	368	598	3.94e-109	338
88	g18628.t3	11.7468366319032	5.77595047301963	1.51825708034834	3.80432968025047	0.000142188705312512	0.0346300591788623	sp	P14099	PDE2A_BOVIN	53.961	871	372	11	115	2694	23	875	0	855
89	g19024.t2	63.1878614524832	-6.15618247419653	0.994951947508947	-6.18741687938771	6.11580758396306e-10	1.70229135665623e-06	sp	Q810B6	ANFY1_MOUSE	57.45	1208	453	6	1	3561	1	1168	0	1355
90	g11398.t3	30.0468134807085	3.45064754753173	0.891884481211057	3.86894000313383	0.00010930953315748	0.0287809046491938	sp	Q63421	PDE1C_RAT	52.463	467	195	4	301	1695	89	530	4.57e-165	498
91	g10460.t2	71.9575919387354	1.21461908073937	0.329528548613631	3.68592974978779	0.000227869206634261	0.0482587350224125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
92	g8443.t1	15.7222785375854	4.22004924454113	1.11086911167112	3.79887171243131	0.000145356302205249	0.0349644715082354	sp	P48768	NAC2_RAT	34.4	500	262	12	2347	3666	425	918	1.3e-65	244
93	g8443.t1	15.7222785375854	4.22004924454113	1.11086911167112	3.79887171243131	0.000145356302205249	0.0349644715082354	sp	P48768	NAC2_RAT	43.939	198	102	3	1	588	57	247	1.88e-40	166
94	g14902.t1	89.0307178329037	23.8275832370812	2.75848816658005	8.63791388549708	5.7248742720036e-18	3.71811501052394e-14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
95	g22158.t1	203.085028345857	24.6353751387711	3.00697527243947	8.19274284180764	2.55339349036748e-16	8.29171979438665e-13	sp	Q99542	MMP19_HUMAN	38.494	478	250	16	85	1455	27	481	1.51e-89	286
96	g7620.t1	207787.736736937	-0.732684203105853	0.156191464270269	-4.69093625909057	2.71957692800919e-06	0.00215601449466319	sp	P42577	FRIS_LYMST	67.262	168	55	0	1	504	3	170	6.24e-82	243
97	g4212.t1	15.0914392975719	4.95821671140994	1.21757436778876	4.07220851767318	4.65694597782213e-05	0.0173707951316209	sp	P49454	CENPF_HUMAN	42.953	149	65	1	1	447	1	129	2e-23	112
