gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0228	PSC.0187	PSC.0188	PSC.0174	PSC.0190	PSC.0231	PSC.0230	PSC.0219	PSC.0177	PSC.0186	PSC.0209	PSC.0203	V2	uniprot_accession	gene_name	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	Entry	Reviewed	Entry.Name	Protein.names	Gene.Names	Organism	Length	Gene.Ontology.IDs
g1423	399.2307952	1.238133767	0.255208219	4.851465097	1.23E-06	1.45E-05	1038	409	480	453	257	369	310	314	243	308	313	229	sp	Q15386	UBE3C_HUMAN	48.457	1102	529	16	1	3246	1	1083	0	953	Q15386	reviewed	UBE3C_HUMAN	Ubiquitin-protein ligase E3C (EC 2.3.2.26) (HECT-type ubiquitin transferase E3C) (Homologous to E6AP carboxyl terminus homologous protein 2) (HectH2) (RTA-associated ubiquitin ligase) (RAUL)	UBE3C KIAA0010 KIAA10	Homo sapiens (Human)	1083	GO:0000209; GO:0000502; GO:0006511; GO:0035519; GO:0061630; GO:0070936
g11349	399.7075767	1.814055314	0.339468316	5.343813334	9.10E-08	1.43E-06	567	1232	468	261	362	394	328	236	122	188	234	200	sp	Q9P2G1	AKIB1_HUMAN	48.886	763	342	9	1	2238	1	732	0	749	Q9P2G1	reviewed	AKIB1_HUMAN	Ankyrin repeat and IBR domain-containing protein 1 (EC 2.3.2.31)	ANKIB1 KIAA1386	Homo sapiens (Human)	1089	GO:0000151; GO:0000209; GO:0005737; GO:0006511; GO:0008270; GO:0031624; GO:0061630
g3038	61.01063256	-1.596726183	0.523440936	-3.050441938	0.002285049	0.009490972	34	46	18	32	0	37	155	94	65	140	119	105	sp	Q6J1I7	RN166_RAT	51.208	207	99	2	121	738	31	236	9.61E-66	207	Q6J1I7	reviewed	RN166_RAT	E3 ubiquitin-protein ligase RNF166 (EC 2.3.2.27) (RING finger protein 166) (RING-type E3 ubiquitin transferase RNF166)	Rnf166	Rattus norvegicus (Rat)	237	GO:0000209; GO:0005737; GO:0006511; GO:0006914; GO:0045087; GO:0046872; GO:0061630
g2851	687.8405896	1.371739583	0.292905393	4.683217225	2.82E-06	3.03E-05	973	682	557	1020	911	627	618	437	477	457	379	437	sp	Q9JLV2	TP4AP_MOUSE	42.51	781	393	14	112	2382	36	784	0	592	Q9JLV2	reviewed	TP4AP_MOUSE	Short transient receptor potential channel 4-associated protein (Trp4-associated protein) (Trpc4-associated protein) (Protein TAP1) (Rabex-5/Rin2-interacting protein) (TNF-receptor ubiquitous scaffolding/signaling protein) (Protein TRUSS)	Trpc4ap Trrp4ap	Mus musculus (Mouse)	797	GO:0006511; GO:0016567; GO:0019902; GO:0031464; GO:0048471; GO:0048820; GO:0080008; GO:0140627; GO:1990756
g15362	1318.780669	1.136812388	0.2622506	4.334832358	1.46E-05	0.000126443	2367	1293	1359	1304	1413	1341	1389	717	1011	885	1244	761	sp	O43242	PSMD3_HUMAN	65.868	501	163	2	22	1503	34	533	0	587	O43242	reviewed	PSMD3_HUMAN	26S proteasome non-ATPase regulatory subunit 3 (26S proteasome regulatory subunit RPN3) (26S proteasome regulatory subunit S3) (Proteasome subunit p58)	PSMD3	Homo sapiens (Human)	534	GO:0000502; GO:0005576; GO:0005634; GO:0005654; GO:0005829; GO:0006511; GO:0008541; GO:0016020; GO:0022624; GO:0030234; GO:0034774; GO:0042176; GO:0043161; GO:0070062; GO:1904813
g15763	1512.59845	2.159748258	0.321396847	6.719880034	1.82E-11	6.49E-10	1968	2431	1777	3466	1639	1106	912	624	772	952	404	438	sp	P53804	TTC3_HUMAN	34.715	193	118	3	184	759	1822	2007	2.01E-23	102	P53804	reviewed	TTC3_HUMAN	E3 ubiquitin-protein ligase TTC3 (EC 2.3.2.27) (Protein DCRR1) (RING finger protein 105) (RING-type E3 ubiquitin transferase TTC3) (TPR repeat protein D) (Tetratricopeptide repeat protein 3) (TPR repeat protein 3)	TTC3 DCRR1 RNF105 TPRD	Homo sapiens (Human)	2025	GO:0004842; GO:0005634; GO:0005654; GO:0005730; GO:0005794; GO:0005829; GO:0006511; GO:0046872; GO:0070936
g15764	7624.244303	1.921248086	0.230084415	8.350187839	6.82E-17	5.97E-15	10710	12188	9872	12283	8683	6790	5258	3339	3215	5187	3889	2611	sp	P53804	TTC3_HUMAN	29.796	245	167	4	1180	1905	490	732	1.26E-28	130	P53804	reviewed	TTC3_HUMAN	E3 ubiquitin-protein ligase TTC3 (EC 2.3.2.27) (Protein DCRR1) (RING finger protein 105) (RING-type E3 ubiquitin transferase TTC3) (TPR repeat protein D) (Tetratricopeptide repeat protein 3) (TPR repeat protein 3)	TTC3 DCRR1 RNF105 TPRD	Homo sapiens (Human)	2025	GO:0004842; GO:0005634; GO:0005654; GO:0005730; GO:0005794; GO:0005829; GO:0006511; GO:0046872; GO:0070936
g15765	615.4362869	2.205511769	0.380200902	5.800911457	6.60E-09	1.40E-07	617	868	699	1825	478	618	370	355	298	258	214	121	sp	O88196	TTC3_MOUSE	36.029	136	73	3	562	957	226	351	1.56E-12	74.3	O88196	reviewed	TTC3_MOUSE	E3 ubiquitin-protein ligase TTC3 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TTC3) (TPR repeat protein D) (Mtprd)	Ttc3 Kiaa4119	Mus musculus (Mouse)	1979	GO:0004842; GO:0005634; GO:0005773; GO:0005794; GO:0006511; GO:0030517; GO:0045665; GO:0046872; GO:0070936
g21739	3405.623432	1.817961185	0.369549932	4.919392562	8.68E-07	1.07E-05	5037	2304	3290	4889	5468	3889	2498	2095	2306	1490	1053	1597	sp	P25867	UBCD1_DROME	91.156	147	13	0	1	441	1	147	1.02E-88	258	P25867	reviewed	UBCD1_DROME	Ubiquitin-conjugating enzyme E2-17 kDa (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme D1) (Protein effete) (Ubiquitin carrier protein) (Ubiquitin-protein ligase)	eff UbcD1 CG7425	Drosophila melanogaster (Fruit fly)	147	GO:0000151; GO:0000209; GO:0000278; GO:0001745; GO:0001751; GO:0005524; GO:0005634; GO:0005829; GO:0006511; GO:0007140; GO:0016322; GO:0016567; GO:0030718; GO:0031145; GO:0031625; GO:0031647; GO:0045676; GO:0045879; GO:0048132; GO:0051276; GO:0061057; GO:0061631; GO:0097039
g11649	1218.598221	1.375924638	0.341829125	4.025182576	5.69E-05	0.000412791	2198	1249	1323	1492	1523	922	2253	595	612	699	530	677	sp	Q9ES00	UBE4B_MOUSE	49.164	1076	493	9	337	3435	106	1170	0	1051	Q9ES00	reviewed	UBE4B_MOUSE	Ubiquitin conjugation factor E4 B (EC 2.3.2.27) (RING-type E3 ubiquitin transferase E4 B) (Ubiquitin fusion degradation protein 2)	Ube4b Ufd2 Ufd2a	Mus musculus (Mouse)	1173	GO:0000151; GO:0000209; GO:0003222; GO:0005524; GO:0005634; GO:0005737; GO:0006457; GO:0006511; GO:0006513; GO:0008626; GO:0009411; GO:0016567; GO:0019899; GO:0030163; GO:0031175; GO:0034450; GO:0034976; GO:0036503; GO:0043161; GO:0051082; GO:0051117; GO:0051865; GO:0061630
g11648	10502.00376	1.118790013	0.376970974	2.967841263	0.002998992	0.011937098	15901	20519	11256	4941	9416	12327	7133	4719	6691	7245	13877	6905	sp	Q9BXM7	PINK1_HUMAN	38.514	444	225	11	673	1998	179	576	3.96E-83	276	Q9BXM7	reviewed	PINK1_HUMAN	"Serine/threonine-protein kinase PINK1, mitochondrial (EC 2.7.11.1) (BRPK) (PTEN-induced putative kinase protein 1)"	PINK1	Homo sapiens (Human)	581	GO:0000287; GO:0000422; GO:0000423; GO:0000785; GO:0002020; GO:0002082; GO:0002931; GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005739; GO:0005741; GO:0005743; GO:0005758; GO:0005783; GO:0005829; GO:0005856; GO:0006468; GO:0006511; GO:0006979; GO:0007005; GO:0010310; GO:0010629; GO:0010821; GO:0010857; GO:0010952; GO:0014046; GO:0016020; GO:0016239; GO:0016242; GO:0016301; GO:0016504; GO:0016567; GO:0018105; GO:0022904; GO:0030097; GO:0030424; GO:0030426; GO:0031396; GO:0031398; GO:0031625; GO:0032148; GO:0032226; GO:0033138; GO:0033603; GO:0034599; GO:0035307; GO:0035556; GO:0036289; GO:0038203; GO:0042981; GO:0043123; GO:0043254; GO:0043422; GO:0043524; GO:0044297; GO:0044877; GO:0045727; GO:0046329; GO:0048471; GO:0050821; GO:0051443; GO:0051881; GO:0051897; GO:0055131; GO:0061136; GO:0071456; GO:0072655; GO:0072656; GO:0090141; GO:0090200; GO:0090258; GO:0097237; GO:0097413; GO:0097449; GO:0098779; GO:0099074; GO:0106310; GO:1900407; GO:1901525; GO:1902803; GO:1902902; GO:1902958; GO:1903146; GO:1903214; GO:1903298; GO:1903377; GO:1903384; GO:1903751; GO:1903852; GO:1903955; GO:1904544; GO:1904841; GO:1904881; GO:2000377; GO:2000378; GO:2001171; GO:2001243
g12645	344.3604404	0.499874898	0.190384092	2.625612738	0.008649316	0.028479148	436	326	306	322	283	352	498	379	319	312	254	338	sp	Q9P0J7	KCMF1_HUMAN	60.641	343	116	5	1	1017	1	328	8.36E-130	380	Q9P0J7	reviewed	KCMF1_HUMAN	E3 ubiquitin-protein ligase KCMF1 (EC 2.3.2.27) (FGF-induced in gastric cancer) (Potassium channel modulatory factor) (PCMF) (ZZ-type zinc finger-containing protein 1)	KCMF1 FIGC ZZZ1	Homo sapiens (Human)	381	GO:0005576; GO:0005737; GO:0005764; GO:0005770; GO:0005829; GO:0005886; GO:0006511; GO:0006979; GO:0008270; GO:0043161; GO:0045202; GO:0061630; GO:0070534; GO:0070936; GO:0099536; GO:0141191; GO:1904813
g5945	184.5696942	1.663916294	0.616880366	2.697307918	0.00699026	0.024006322	164	694	243	32	28	403	192	101	78	125	57	118	sp	Q9N1T2	RPGR_CANLF	48.087	366	186	3	1	1089	1	365	3.47E-98	332	Q9N1T2	reviewed	RPGR_CANLF	X-linked retinitis pigmentosa GTPase regulator	RPGR	Canis lupus familiaris (Dog) (Canis familiaris)	1003	GO:0001750; GO:0005085; GO:0005737; GO:0005794; GO:0005813; GO:0006511; GO:0007601; GO:0016567; GO:0036064; GO:0036126; GO:0042073; GO:0060271; GO:0061630
g11157	123.7390592	-1.033169552	0.350771569	-2.945419882	0.003225167	0.012647614	85	105	108	82	20	45	257	156	97	362	197	166	sp	Q8BM54	MYLIP_MOUSE	29.36	344	224	7	1	1011	1	332	2.21E-39	148	Q8BM54	reviewed	MYLIP_MOUSE	E3 ubiquitin-protein ligase MYLIP (EC 2.3.2.27) (Inducible degrader of the LDL-receptor) (Idol) (Myosin regulatory light chain-interacting protein) (MIR) (RING-type E3 ubiquitin transferase MYLIP)	Mylip	Mus musculus (Mouse)	445	GO:0004842; GO:0005737; GO:0005856; GO:0005886; GO:0006511; GO:0007399; GO:0008092; GO:0010977; GO:0010989; GO:0016567; GO:0031648; GO:0032803; GO:0042632; GO:0045732; GO:0046872; GO:0061630; GO:0071404
g16729	199.7291642	1.262087244	0.313762796	4.022424778	5.76E-05	0.00041732	431	210	141	227	230	172	199	135	146	101	131	145	sp	Q9VBP9	NPL4_DROME	51.266	316	143	1	1	915	337	652	4.29E-112	341	Q9VBP9	reviewed	NPL4_DROME	Nuclear protein localization protein 4 homolog	Npl4 CG4673	Drosophila melanogaster (Fruit fly)	652	GO:0005634; GO:0005654; GO:0005829; GO:0006511; GO:0031625; GO:0043130; GO:0043161; GO:0045879; GO:0046872; GO:0071795; GO:0098586
g16728	131.6924371	1.739631347	0.324588333	5.359500548	8.35E-08	1.34E-06	215	128	115	262	141	143	125	76	89	60	52	50	sp	P60670	NPL4_MOUSE	45.148	237	94	3	1	606	1	236	6.48E-67	196	P60670	reviewed	NPL4_MOUSE	Nuclear protein localization protein 4 homolog (Protein NPL4)	Nploc4 Kiaa1499 Npl4	Mus musculus (Mouse)	608	GO:0005634; GO:0005783; GO:0005829; GO:0006511; GO:0007030; GO:0030970; GO:0031625; GO:0032480; GO:0034098; GO:0036501; GO:0036503; GO:0039536; GO:0042175; GO:0043130; GO:0043161; GO:0044877; GO:0046872; GO:0051117
g3771	821.2952088	0.758735642	0.295214214	2.570118939	0.01016636	0.032559415	951	1341	1085	461	545	1011	1144	740	687	931	285	786	sp	Q7TPD1	FBX11_MOUSE	71.357	803	219	5	310	2709	136	930	0	1198	Q7TPD1	reviewed	FBX11_MOUSE	F-box only protein 11	Fbxo11	Mus musculus (Mouse)	930	GO:0004842; GO:0005654; GO:0005694; GO:0005730; GO:0005737; GO:0006511; GO:0007605; GO:0008270; GO:0010719; GO:0016274; GO:0016567; GO:0042981; GO:0043161; GO:0045732; GO:1904878; GO:1990756
g19294	278.951034	-1.207535426	0.493040226	-2.44916208	0.0143189	0.042925778	151	116	122	393	47	51	635	749	443	450	380	211	sp	Q96AB6	NTAN1_HUMAN	40.78	282	163	3	73	909	26	306	7.30E-75	235	Q96AB6	reviewed	NTAN1_HUMAN	Protein N-terminal asparagine amidohydrolase (EC 3.5.1.121) (Protein NH2-terminal asparagine amidohydrolase) (PNAA) (Protein NH2-terminal asparagine deamidase) (PNAD) (Protein N-terminal Asn amidase) (Protein N-terminal asparagine amidase) (Protein NTN-amidase)	NTAN1	Homo sapiens (Human)	310	GO:0005634; GO:0005737; GO:0006511; GO:0007613; GO:0008344; GO:0008418
g3351	823.2799639	0.888800295	0.18865941	4.711136831	2.46E-06	2.67E-05	1091	973	808	774	742	981	942	525	725	733	612	688	sp	Q9R049	AMFR_MOUSE	44.376	649	297	10	46	1986	16	602	2.28E-167	499	Q9R049	reviewed	AMFR_MOUSE	E3 ubiquitin-protein ligase AMFR (EC 2.3.2.36) (Autocrine motility factor receptor) (AMF receptor) (RING-type E3 ubiquitin transferase AMFR)	Amfr	Mus musculus (Mouse)	643	GO:0000151; GO:0000166; GO:0000209; GO:0004842; GO:0005783; GO:0005789; GO:0005794; GO:0005829; GO:0005886; GO:0006511; GO:0007611; GO:0016055; GO:0030425; GO:0030426; GO:0030674; GO:0030968; GO:0032991; GO:0034450; GO:0036503; GO:0036513; GO:0038023; GO:0038061; GO:0042802; GO:0043025; GO:0043130; GO:0044314; GO:0046872; GO:0048471; GO:0051087; GO:0051865; GO:0061630; GO:0070936; GO:0090090; GO:1904288; GO:1990381; GO:2000638
g1443	136.8993088	-1.388729965	0.384345183	-3.613236298	0.000302399	0.001728117	46	105	119	28	43	56	300	113	243	337	285	168	sp	F6UA42	UHRF1_XENTR	60.884	611	226	3	742	2565	175	775	0	722	F6UA42	reviewed	UHRF1_XENTR	E3 ubiquitin-protein ligase UHRF1 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase UHRF1) (Ubiquitin-like PHD and RING finger domain-containing protein 1) (Ubiquitin-like-containing PHD and RING finger domains protein 1)	uhrf1	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	775	GO:0000122; GO:0000785; GO:0000791; GO:0000792; GO:0004842; GO:0005634; GO:0005657; GO:0006511; GO:0008270; GO:0016567; GO:0031507; GO:0035064; GO:0042393; GO:0044027; GO:0044729
g22141	178.150983	-0.983540893	0.385974847	-2.54819945	0.010828054	0.0342231	163	142	166	144	22	33	369	345	262	275	262	219	sp	Q5RFS2	CSN3_PONAB	69.108	314	95	1	1	942	1	312	2.05E-157	452	Q5RFS2	reviewed	CSN3_PONAB	COP9 signalosome complex subunit 3 (SGN3) (Signalosome subunit 3)	COPS3 CSN3	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	423	GO:0000338; GO:0001701; GO:0005654; GO:0005829; GO:0006511; GO:0008180; GO:0048471; GO:1902162
g21569	1217.950281	4.178373132	0.484756982	8.619521299	6.72E-18	7.10E-16	1445	2102	3158	1032	2437	991	283	157	31	144	221	121	sp	Q6NW85	ARI1L_DANRE	31.313	198	111	7	520	1092	179	358	4.45E-21	100	Q6NW85	reviewed	ARI1L_DANRE	E3 ubiquitin-protein ligase arih1l (EC 2.3.2.31)	arih1l zgc:85905	Danio rerio (Zebrafish) (Brachydanio rerio)	533	GO:0000151; GO:0000209; GO:0004842; GO:0005634; GO:0005737; GO:0006511; GO:0008270; GO:0016567; GO:0031624; GO:0061630
g8682	228.0414242	1.001528805	0.324655655	3.084895612	0.002036236	0.008600036	351	292	293	246	243	114	172	220	248	145	118	181	sp	Q9CPX9	APC11_MOUSE	82.143	84	12	1	1	243	1	84	2.63E-41	132	Q9CPX9	reviewed	APC11_MOUSE	Anaphase-promoting complex subunit 11 (APC11) (Cyclosome subunit 11)	Anapc11	Mus musculus (Mouse)	84	GO:0005634; GO:0005654; GO:0005680; GO:0005730; GO:0005737; GO:0006511; GO:0008270; GO:0016567; GO:0031145; GO:0034450; GO:0045842; GO:0051301; GO:0061630; GO:0070936; GO:0070979; GO:0097602; GO:0141198
g12673	1259.460511	2.525007812	0.315373339	8.006408603	1.18E-15	8.70E-14	1297	1731	1745	1625	1963	1889	695	407	489	513	209	466	sp	Q3ULA2	FBW1A_MOUSE	74.409	508	103	2	7	1449	98	605	0	787	Q3ULA2	reviewed	FBW1A_MOUSE	F-box/WD repeat-containing protein 1A (Beta-TrCP protein E3RS-IkappaB) (Beta-transducin repeat-containing protein) (Beta-TrCP) (E3RSIkappaB) (mE3RS-IkappaB) (F-box and WD repeats protein beta-TrCP) (HOS) (Ubiquitin ligase FWD1) (pIkappaB-E3 receptor subunit)	Btrc Fbw1 Fbxw1 Fwd1 Kiaa4123	Mus musculus (Mouse)	605	GO:0000209; GO:0004842; GO:0005634; GO:0005737; GO:0005829; GO:0006470; GO:0006508; GO:0006511; GO:0008013; GO:0016055; GO:0016567; GO:0019005; GO:0030163; GO:0031146; GO:0031648; GO:0033598; GO:0038061; GO:0042752; GO:0042753; GO:0043122; GO:0043161; GO:0045309; GO:0045862; GO:0045892; GO:0045893; GO:0046983; GO:0048511; GO:0051726; GO:0060444; GO:0060828; GO:0061136; GO:0061630; GO:0070936; GO:0071407; GO:1990756; GO:1990757
g11249	1489.931134	1.809767044	0.261373822	6.924056233	4.39E-12	1.76E-10	2167	1808	1514	2057	1977	1756	928	749	994	803	677	637	sp	Q9H0E2	TOLIP_HUMAN	47.855	303	119	6	1	888	1	271	7.64E-82	251	Q9H0E2	reviewed	TOLIP_HUMAN	Toll-interacting protein	TOLLIP	Homo sapiens (Human)	274	GO:0005150; GO:0005576; GO:0005737; GO:0005769; GO:0005829; GO:0006511; GO:0006914; GO:0006954; GO:0007165; GO:0016310; GO:0016604; GO:0019897; GO:0019900; GO:0030855; GO:0031624; GO:0031625; GO:0032183; GO:0032991; GO:0033235; GO:0035325; GO:0035578; GO:0035580; GO:0036010; GO:0043130; GO:0045087; GO:0045321; GO:0048471; GO:0060090; GO:0070062; GO:0070498
g10192	1250.012759	0.707383028	0.202129017	3.499660953	0.00046585	0.002487337	1875	1202	1395	1555	989	916	1474	1009	1289	1160	1128	857	sp	F6P3G4	PS11A_DANRE	72.115	416	116	0	7	1254	5	420	0	595	F6P3G4	reviewed	PS11A_DANRE	26S proteasome non-ATPase regulatory subunit 11A (26S proteasome regulatory subunit RPN6-A)	psmd11a	Danio rerio (Zebrafish) (Brachydanio rerio)	421	GO:0005198; GO:0005634; GO:0005829; GO:0006511; GO:0008541; GO:0022624; GO:0043248; GO:0048863
g17979	665.2467304	0.90818644	0.368886207	2.461969094	0.013817657	0.041728123	960	402	464	521	940	774	732	461	562	531	596	483	sp	Q8BW70	UBP38_MOUSE	53.205	312	146	0	37	972	233	544	1.66E-110	367	Q8BW70	reviewed	UBP38_MOUSE	Ubiquitin carboxyl-terminal hydrolase 38 (EC 3.4.19.12) (Deubiquitinating enzyme 38) (Ubiquitin thioesterase 38) (Ubiquitin-specific-processing protease 38)	Usp38	Mus musculus (Mouse)	1042	GO:0004843; GO:0005634; GO:0005829; GO:0006511; GO:0016579; GO:0032435; GO:0045824; GO:0140311
g19281	36.49433415	-2.297274078	0.785400195	-2.924972636	0.003444865	0.013354235	11	18	15	25	0	0	87	62	22	119	106	49	sp	Q5SPX3	RN215_MOUSE	33.208	265	159	7	214	966	112	372	3.82E-38	142	Q5SPX3	reviewed	RN215_MOUSE	RING finger protein 215	Rnf215	Mus musculus (Mouse)	379	GO:0005737; GO:0006511; GO:0016020; GO:0046872; GO:0061630
