gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0228	PSC.0187	PSC.0188	PSC.0174	PSC.0190	PSC.0231	PSC.0230	PSC.0219	PSC.0177	PSC.0186	PSC.0209	PSC.0203	V2	uniprot_accession	gene_name	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	Entry	Reviewed	Entry.Name	Protein.names	Gene.Names	Organism	Length	Gene.Ontology.IDs
g19012	29487.34226	0.833164661	0.225300209	3.698019912	0.000217288	0.001257821	31660	36431	26593	25639	30250	36054	27585	20875	26967	30437	19651	26296	sp	G1SKF7	RL6_RABIT	59.375	256	97	2	10	756	36	291	1.59E-78	241	G1SKF7	reviewed	RL6_RABIT	Large ribosomal subunit protein eL6 (60S ribosomal protein L6)	RPL6	Oryctolagus cuniculus (Rabbit)	291	GO:0000027; GO:0002181; GO:0003723; GO:0003735; GO:0005791; GO:0022625
g22950	17935.18184	0.841338802	0.204785339	4.10839373	3.98E-05	0.000291668	17847	24741	16807	21795	15895	18239	16601	10932	16385	15100	16389	16253	sp	P05388	RLA0_HUMAN	73.091	275	74	0	1	825	1	275	2.37E-141	404	P05388	reviewed	RLA0_HUMAN	Large ribosomal subunit protein uL10 (60S acidic ribosomal protein P0) (60S ribosomal protein L10E)	RPLP0	Homo sapiens (Human)	317	GO:0000027; GO:0002181; GO:0003723; GO:0003735; GO:0005634; GO:0005737; GO:0005783; GO:0005829; GO:0005925; GO:0006412; GO:0014069; GO:0016020; GO:0022625; GO:0022626; GO:0036464; GO:0070062; GO:0070180; GO:0098794; GO:1990904
g18210	13485.69093	1.014776515	0.28585572	3.549960502	0.000385289	0.002045788	16170	19478	11623	13658	13283	15955	14561	9848	10453	13995	4502	12247	sp	P51410	RL9_MOUSE	67.188	192	61	1	1	570	1	192	2.53E-96	280	P51410	reviewed	RL9_MOUSE	Large ribosomal subunit protein uL6 (60S ribosomal protein L9)	Rpl9	Mus musculus (Mouse)	192	GO:0002181; GO:0003735; GO:0005737; GO:0005829; GO:0005840; GO:0006412; GO:0019843; GO:0022625; GO:0045202; GO:0098793; GO:0098794; GO:0140236; GO:0140242
g16934	21078.48811	0.754370807	0.183307098	4.115338763	3.87E-05	0.000284592	26627	24494	15560	20828	19413	25048	23146	14346	16765	22042	17463	19677	sp	O61231	RL10_DROME	80.282	213	42	0	1	639	1	213	4.13E-131	370	O61231	reviewed	RL10_DROME	Large ribosomal subunit protein uL16 (60S ribosomal protein L10) (QM protein homolog) (dQM)	RpL10 Qm CG17521	Drosophila melanogaster (Fruit fly)	218	GO:0000027; GO:0002181; GO:0003735; GO:0005737; GO:0022625; GO:0022626; GO:0043025
g1094	11298.20244	0.945641836	0.208868377	4.527453363	5.97E-06	5.65E-05	12290	16641	10762	10580	10870	12987	9360	7097	8937	12955	8195	9297	sp	Q9VXX8	RL371_DROME	81.818	88	16	0	1	264	1	88	3.61E-40	131	Q9VXX8	reviewed	RL371_DROME	Large ribosomal subunit protein eL37A (Probable 60S ribosomal protein L37-A) (Ribosomal protein L37-1)	RpL37-1 RpL37a CG9091	Drosophila melanogaster (Fruit fly)	93	GO:0002181; GO:0003723; GO:0003735; GO:0019843; GO:0022625; GO:0022626; GO:0046872
g17410	252.367808	-0.684555281	0.257984279	-2.653476731	0.007966726	0.025913252	144	231	284	154	105	90	772	457	328	305	275	249	sp	D2XV59	GTPB1_RAT	72.084	523	143	2	124	1686	102	623	0	692	D2XV59	reviewed	GTPB1_RAT	GTP-binding protein 1	Gtpbp1	Rattus norvegicus (Rat)	669	GO:0000049; GO:0000177; GO:0002181; GO:0003746; GO:0003924; GO:0005525; GO:0005829; GO:0006414; GO:0046039; GO:0061014; GO:1904678
g16116	4512.928363	1.003537602	0.25871899	3.878871062	0.000104942	0.000671678	5130	6295	4521	5347	4089	4941	4890	3484	3461	4153	1599	4433	sp	P18101	RL40_DROME	97.656	128	3	0	1	384	1	128	1.06E-89	258	P18101	reviewed	RL40_DROME	Ubiquitin-ribosomal protein eL40 fusion protein (CEP52) [Cleaved into: Ubiquitin; Large ribosomal subunit protein eL40 (60S ribosomal protein L40)]	RpL40 Ubi-f UBI-F52 CG2960	Drosophila melanogaster (Fruit fly)	128	GO:0002181; GO:0003735; GO:0005634; GO:0005829; GO:0006412; GO:0006511; GO:0016567; GO:0019941; GO:0022625; GO:0022627; GO:0031386; GO:0031625; GO:0036211
g22412	18868.89125	0.635442737	0.211510973	3.004301522	0.002661914	0.010543817	18497	21618	14990	20315	18057	19310	15553	14046	15300	16846	22667	19766	sp	P62914	RL11_RAT	86.932	176	23	0	16	543	3	178	6.42E-103	296	P62914	reviewed	RL11_RAT	Large ribosomal subunit protein uL5 (60S ribosomal protein L11)	Rpl11	Rattus norvegicus (Rat)	178	GO:0002181; GO:0003723; GO:0003735; GO:0005654; GO:0005730; GO:0005737; GO:0005840; GO:0006364; GO:0006412; GO:0006605; GO:0008097; GO:0010628; GO:0022625; GO:0022626; GO:0031625; GO:0032435; GO:0032991; GO:0034504; GO:0042273; GO:0042975; GO:0045202; GO:0050821; GO:0098793; GO:0098794; GO:0140236; GO:0140242; GO:1901796; GO:1901798; GO:1990948; GO:2000059; GO:2000435
g23112	14829.85381	0.965166213	0.256218787	3.766961143	0.000165247	0.000993552	17027	20748	13330	15417	14296	17241	15214	10956	12367	14829	5977	13834	sp	P36241	RL19_DROME	77.157	197	45	0	1	591	1	197	2.79E-86	256	P36241	reviewed	RL19_DROME	Large ribosomal subunit protein eL19 (60S ribosomal protein L19)	RpL19 M(2)60E CG2746	Drosophila melanogaster (Fruit fly)	203	GO:0002181; GO:0003723; GO:0003735; GO:0022625; GO:0022626
g6599	11852.52876	0.849109241	0.223325151	3.802120976	0.000143463	0.000881613	12029	14810	8595	11572	13297	13898	11071	7187	9137	11414	10653	10726	sp	P61314	RL15_RAT	81.373	204	38	0	1	612	1	204	1.79E-110	317	P61314	reviewed	RL15_RAT	Large ribosomal subunit protein eL15 (60S ribosomal protein L15)	Rpl15	Rattus norvegicus (Rat)	204	GO:0002181; GO:0003723; GO:0003735; GO:0005634; GO:0005737; GO:0022625; GO:0022626; GO:0031672; GO:0045202; GO:0045471
g10949	13044.80766	0.828374017	0.199367928	4.155001381	3.25E-05	0.000246708	13758	18621	10491	13576	12624	13784	12535	9115	9956	12450	12444	11040	sp	P62907	RL10A_RAT	79.07	215	45	0	4	648	3	217	4.18E-111	320	P62907	reviewed	RL10A_RAT	Large ribosomal subunit protein uL1 (60S ribosomal protein L10a)	Rpl10a	Rattus norvegicus (Rat)	217	GO:0002181; GO:0003723; GO:0003735; GO:0005737; GO:0006412; GO:0014069; GO:0022625; GO:0022626; GO:0045202; GO:0045471
g9309	10434.28719	0.814454896	0.211701057	3.847193339	0.000119479	0.000753541	11752	17154	9240	8677	8936	11429	10061	7550	7849	10078	9241	10069	sp	P24049	RL17_RAT	80.247	162	32	0	1	486	1	162	2.75E-97	282	P24049	reviewed	RL17_RAT	Large ribosomal subunit protein uL22 (60S ribosomal protein L17) (Amino acid starvation-induced protein) (ASI) (L23)	Rpl17	Rattus norvegicus (Rat)	184	GO:0002181; GO:0003735; GO:0005737; GO:0022625; GO:0022626; GO:0031672; GO:0034198; GO:0045202; GO:0070180; GO:1900087; GO:1990928
g20355	8071.577718	0.689010907	0.252280385	2.731131506	0.006311728	0.021431949	8456	8935	6821	8902	6931	9117	6777	4964	5896	6612	13069	6553	sp	Q86FP7	RS23_DERVA	93.662	142	9	0	10	435	2	143	1.56E-92	267	Q86FP7	reviewed	RS23_DERVA	Small ribosomal subunit protein uS12 (40S ribosomal protein S23)	RpS23	Dermacentor variabilis (American dog tick)	143	GO:0002181; GO:0003735; GO:0005791; GO:0022627
g20594	973.7628645	1.636652935	0.462629184	3.537720902	0.000403596	0.002132907	1707	633	833	1759	1330	910	610	280	653	305	1082	289	sp	Q6P799	SYSC_RAT	68.116	483	151	3	1	1446	1	481	0	681	Q6P799	reviewed	SYSC_RAT	"Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)"	Sars1 Sars	Rattus norvegicus (Rat)	512	GO:0000049; GO:0000122; GO:0000978; GO:0001514; GO:0002181; GO:0004828; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0006400; GO:0006434; GO:0016525; GO:0019899; GO:0042803; GO:0060090; GO:0098619; GO:1904046
g18183	6111.860919	1.020918266	0.212131437	4.812668408	1.49E-06	1.65E-05	7004	8036	5561	6574	6164	7353	5366	4138	4676	5886	3239	5710	sp	O09167	RL21_MOUSE	66.667	162	51	1	10	495	2	160	8.34E-67	203	O09167	reviewed	RL21_MOUSE	Large ribosomal subunit protein eL21 (60S ribosomal protein L21)	Rpl21	Mus musculus (Mouse)	160	GO:0002181; GO:0003735; GO:0005737; GO:0005783; GO:0005829; GO:0005840; GO:0022625; GO:0045202; GO:0098794
g13994	18666.49357	0.756089041	0.19606498	3.856318654	0.000115107	0.000730778	21755	22144	15444	16365	18086	22458	19256	13855	14483	17551	18969	15509	sp	P41116	RL8_XENLA	84.921	252	38	0	1	756	1	252	2.55E-160	447	P41116	reviewed	RL8_XENLA	Large ribosomal subunit protein uL2 (60S ribosomal protein L8)	rpl8	Xenopus laevis (African clawed frog)	257	GO:0002181; GO:0003735; GO:0019843; GO:0022625
g11209	10090.45142	1.122800813	0.213368965	5.262249884	1.42E-07	2.07E-06	11762	12993	9472	11178	10468	12764	8612	5836	8140	8423	5570	8830	sp	P27085	RS26_OCTVU	84.348	115	17	1	103	444	1	115	1.45E-53	168	P27085	reviewed	RS26_OCTVU	Small ribosomal subunit protein eS26 (40S ribosomal protein S26)	RPS26	Octopus vulgaris (Common octopus)	127	GO:0002181; GO:0003729; GO:0003735; GO:0005840; GO:0022627; GO:0098556
g17311	11841.92593	0.833852655	0.175370673	4.754801024	1.99E-06	2.14E-05	13507	14780	10315	13217	10843	13284	12502	9373	9931	10947	8118	10499	sp	Q90YV0	RL18_ICTPU	77.128	188	43	0	1	564	1	188	7.07E-100	289	Q90YV0	reviewed	RL18_ICTPU	Large ribosomal subunit protein eL18 (60S ribosomal protein L18)	rpl18	Ictalurus punctatus (Channel catfish) (Silurus punctatus)	188	GO:0002181; GO:0003735; GO:0005791; GO:0022625
g11942	44.3619048	-3.018905058	0.623461259	-4.842169446	1.28E-06	1.45E-05	10	15	20	0	2	11	156	130	38	152	72	48	sp	Q8CBC7	TRM7_MOUSE	72.945	292	75	1	1	876	1	288	3.29E-139	400	Q8CBC7	reviewed	TRM7_MOUSE	tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase (EC 2.1.1.205) (2'-O-ribose RNA methyltransferase TRM7 homolog) (Protein ftsJ homolog 1)	Ftsj1	Mus musculus (Mouse)	324	GO:0002130; GO:0002181; GO:0005634; GO:0005737; GO:0005829; GO:0008175; GO:0016423; GO:0022008; GO:0030488; GO:0106339; GO:0106340; GO:1904047
g14134	7670.156459	0.731213808	0.258503703	2.828639587	0.004674631	0.016832505	8585	10893	5954	5968	7146	8241	6448	4580	4620	7953	10371	8197	sp	P49180	RL35A_CAEEL	60	110	44	0	10	339	15	124	8.72E-47	149	P49180	reviewed	RL35A_CAEEL	Large ribosomal subunit protein eL33 (60S ribosomal protein L35a)	rpl-33 F10E7.7	Caenorhabditis elegans	124	GO:0002181; GO:0003735; GO:0022625; GO:0042273
g19475	786.8160768	2.172942532	0.338873005	6.412262121	1.43E-10	4.17E-09	1558	1176	670	1012	1250	622	381	302	415	293	310	332	sp	Q9H3F6	BACD3_HUMAN	71.483	263	68	4	88	873	28	284	2.79E-134	386	Q9H3F6	reviewed	BACD3_HUMAN	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3 (hBACURD3) (BTB/POZ domain-containing protein KCTD10) (Potassium channel tetramerization domain-containing protein 10)	KCTD10 ULR061 MSTP028	Homo sapiens (Human)	313	GO:0005112; GO:0005654; GO:0005829; GO:0006511; GO:0016567; GO:0031463; GO:0035024; GO:0042802; GO:0043161; GO:0051260
g14478	60.73188569	-2.481746684	0.331253649	-7.491982941	6.78E-14	3.55E-12	21	17	11	21	10	15	102	125	144	120	137	100	sp	P0C2W1	FBSP1_HUMAN	72.727	220	59	1	25	681	39	258	3.93E-115	334	P0C2W1	reviewed	FBSP1_HUMAN	F-box/SPRY domain-containing protein 1 (F-box only protein 45) (hFbxo45)	FBXO45 FBX45	Homo sapiens (Human)	286	GO:0001764; GO:0005576; GO:0005634; GO:0005737; GO:0006511; GO:0006974; GO:0014069; GO:0016567; GO:0019005; GO:0021799; GO:0021800; GO:0021957; GO:0021960; GO:0042734; GO:0042995; GO:0043161; GO:0045202; GO:0045211; GO:0060386; GO:0070936; GO:0098978; GO:0099523; GO:0099524; GO:1990756; GO:2000300
g21847	49.23760315	-1.330844417	0.4095966	-3.249158847	0.001157468	0.005255267	37	29	53	8	16	13	137	70	48	107	69	91	sp	Q5PQN1	HERC4_RAT	49.198	374	172	6	13	1131	3	359	1.72E-103	335	Q5PQN1	reviewed	HERC4_RAT	Probable E3 ubiquitin-protein ligase HERC4 (EC 2.3.2.26) (HECT domain and RCC1-like domain-containing protein 4) (HECT-type E3 ubiquitin transferase HERC4)	Herc4	Rattus norvegicus (Rat)	1057	GO:0001650; GO:0005737; GO:0005829; GO:0006511; GO:0007283; GO:0016567; GO:0030154; GO:0045879; GO:0061630
g9753	1168.050089	0.90026103	0.310397711	2.90034687	0.003727499	0.013891211	1688	1093	1144	938	1463	1091	1776	752	697	1428	591	902	sp	Q6I6G8	HECW2_MOUSE	58.853	802	264	8	2803	5103	808	1578	0	840	Q6I6G8	reviewed	HECW2_MOUSE	"E3 ubiquitin-protein ligase HECW2 (EC 2.3.2.26) (HECT, C2 and WW domain-containing protein 2) (HECT-type E3 ubiquitin transferase HECW2) (NEDD4-like E3 ubiquitin-protein ligase 2)"	Hecw2 Kiaa1301 Nedl2	Mus musculus (Mouse)	1578	GO:0005737; GO:0006511; GO:0016567; GO:0030071; GO:0048814; GO:0061630; GO:0072686
g13596	29.35415368	4.046800824	1.14272458	3.541361494	0.000398068	0.0021091	32	114	106	5	0	63	2	9	4	0	0	7	sp	Q4G0X4	KCD21_HUMAN	56.757	111	44	1	1	333	1	107	1.08E-36	128	Q4G0X4	reviewed	KCD21_HUMAN	BTB/POZ domain-containing protein KCTD21 (KCASH2 protein) (Potassium channel tetramerization domain-containing protein 21)	KCTD21	Homo sapiens (Human)	260	GO:0006511; GO:0016567; GO:0042802; GO:0042826; GO:0045879; GO:0051260; GO:0097602
g13599	49.97825539	0.919499111	0.332158109	2.768257302	0.005635694	0.019609626	52	43	64	74	48	45	51	24	54	35	32	50	sp	Q3URF8	KCD21_MOUSE	55.263	114	50	1	13	351	2	115	4.63E-34	125	Q3URF8	reviewed	KCD21_MOUSE	BTB/POZ domain-containing protein KCTD21 (KCASH2 protein) (Potassium channel tetramerization domain-containing protein 21)	Kctd21	Mus musculus (Mouse)	260	GO:0006511; GO:0016567; GO:0042826; GO:0051260; GO:0097602
g17328	162.3532508	1.376022534	0.349425589	3.937955821	8.22E-05	0.00054393	220	159	155	155	224	219	125	84	111	97	52	168	sp	Q9HAU4	SMUF2_HUMAN	70.5	200	50	2	1	600	1	191	5.31E-96	300	Q9HAU4	reviewed	SMUF2_HUMAN	E3 ubiquitin-protein ligase SMURF2 (hSMURF2) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF2) (SMAD ubiquitination regulatory factor 2) (SMAD-specific E3 ubiquitin-protein ligase 2)	SMURF2	Homo sapiens (Human)	748	GO:0000122; GO:0000151; GO:0004842; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005886; GO:0006511; GO:0016567; GO:0016607; GO:0017015; GO:0030512; GO:0030514; GO:0042802; GO:0043161; GO:0045121; GO:0045892; GO:0046332; GO:0060071; GO:0061630; GO:0090263; GO:1901165
g4809	221.6429406	-1.063798978	0.290648971	-3.660081694	0.000252135	0.001426533	165	158	249	90	40	106	663	312	235	475	296	276	sp	Q5ND34	WDR81_MOUSE	33.333	1047	592	22	1246	4323	55	1016	8.51E-144	494	Q5ND34	reviewed	WDR81_MOUSE	WD repeat-containing protein 81	Wdr81	Mus musculus (Mouse)	1934	GO:0000421; GO:0005739; GO:0005765; GO:0005829; GO:0006511; GO:0007005; GO:0010008; GO:0031901; GO:0031902; GO:0035014; GO:0035973; GO:0045022; GO:0050821; GO:0070530; GO:0141039
g13964	979.0957353	-1.66364409	0.248592426	-6.69225574	2.20E-11	7.39E-10	572	784	467	246	206	316	2959	2135	1251	2140	1019	1643	sp	P49407	ARRB1_HUMAN	57.045	440	145	12	187	1488	4	405	3.35E-151	441	P49407	reviewed	ARRB1_HUMAN	Beta-arrestin-1 (Arrestin beta-1) (Non-visual arrestin-2)	ARRB1 ARR1	Homo sapiens (Human)	418	GO:0000139; GO:0000785; GO:0001664; GO:0001934; GO:0002031; GO:0002092; GO:0003713; GO:0004857; GO:0005096; GO:0005159; GO:0005634; GO:0005654; GO:0005737; GO:0005765; GO:0005829; GO:0005886; GO:0005905; GO:0006357; GO:0006511; GO:0007165; GO:0007601; GO:0015031; GO:0016567; GO:0016604; GO:0030659; GO:0031143; GO:0031397; GO:0031410; GO:0031625; GO:0031701; GO:0032088; GO:0032715; GO:0032717; GO:0035025; GO:0043149; GO:0043161; GO:0045746; GO:0045944; GO:0070374; GO:1990763
g14365	2398.618788	1.012777241	0.286172253	3.539047661	0.000401573	0.002125064	3293	2798	2152	2118	2994	2305	3089	1657	1239	2736	1159	1990	sp	B4F6W9	TRIPC_XENTR	62.873	905	320	6	3469	6138	1153	2056	0	1182	B4F6W9	reviewed	TRIPC_XENTR	E3 ubiquitin-protein ligase TRIP12 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase TRIP12) (Thyroid receptor-interacting protein 12) (TR-interacting protein 12) (TRIP-12)	trip12	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	2056	GO:0000209; GO:0005654; GO:0006281; GO:0006511; GO:0008270; GO:0033696; GO:0045995; GO:0061630; GO:0140861
g1423	399.2307952	1.23381328	0.269215835	4.582989259	4.58E-06	4.49E-05	1038	409	480	453	257	369	310	314	243	308	313	229	sp	Q15386	UBE3C_HUMAN	48.457	1102	529	16	1	3246	1	1083	0	953	Q15386	reviewed	UBE3C_HUMAN	Ubiquitin-protein ligase E3C (EC 2.3.2.26) (HECT-type ubiquitin transferase E3C) (Homologous to E6AP carboxyl terminus homologous protein 2) (HectH2) (RTA-associated ubiquitin ligase) (RAUL)	UBE3C KIAA0010 KIAA10	Homo sapiens (Human)	1083	GO:0000209; GO:0000502; GO:0006511; GO:0035519; GO:0061630; GO:0070936
g11349	399.7075767	1.791653027	0.350238343	5.115525084	3.13E-07	4.15E-06	567	1232	468	261	362	394	328	236	122	188	234	200	sp	Q9P2G1	AKIB1_HUMAN	48.886	763	342	9	1	2238	1	732	0	749	Q9P2G1	reviewed	AKIB1_HUMAN	Ankyrin repeat and IBR domain-containing protein 1 (EC 2.3.2.31)	ANKIB1 KIAA1386	Homo sapiens (Human)	1089	GO:0000151; GO:0000209; GO:0005737; GO:0006511; GO:0008270; GO:0031624; GO:0061630
g3038	61.01063256	-1.579435838	0.556635525	-2.837468625	0.004547282	0.01644582	34	46	18	32	0	37	155	94	65	140	119	105	sp	Q6J1I7	RN166_RAT	51.208	207	99	2	121	738	31	236	9.61E-66	207	Q6J1I7	reviewed	RN166_RAT	E3 ubiquitin-protein ligase RNF166 (EC 2.3.2.27) (RING finger protein 166) (RING-type E3 ubiquitin transferase RNF166)	Rnf166	Rattus norvegicus (Rat)	237	GO:0000209; GO:0005737; GO:0006511; GO:0006914; GO:0045087; GO:0046872; GO:0061630
g2851	687.8405896	1.31106572	0.280282031	4.677665984	2.90E-06	3.00E-05	973	682	557	1020	911	627	618	437	477	457	379	437	sp	Q9JLV2	TP4AP_MOUSE	42.51	781	393	14	112	2382	36	784	0	592	Q9JLV2	reviewed	TP4AP_MOUSE	Short transient receptor potential channel 4-associated protein (Trp4-associated protein) (Trpc4-associated protein) (Protein TAP1) (Rabex-5/Rin2-interacting protein) (TNF-receptor ubiquitous scaffolding/signaling protein) (Protein TRUSS)	Trpc4ap Trrp4ap	Mus musculus (Mouse)	797	GO:0006511; GO:0016567; GO:0019902; GO:0031464; GO:0048471; GO:0048820; GO:0080008; GO:0140627; GO:1990756
