gene_id	baseMean.x	log2FoldChange.x	lfcSE.x	stat.x	pvalue.x	padj.x	PSC.56	PSC.52	PSC.54	PSC.61	PSC.64	PSC.73	PSC.76	PSC.81	PSC.59	PSC.57	PSC.69	PSC.67	PSC.71	PSC.75	PSC.78	PSC.83	V2.x	uniprot_accession.x	gene_name.x	V5.x	V6.x	V7.x	V8.x	V9.x	V10.x	V11.x	V12.x	V13.x	V14.x	Entry.x	Reviewed.x	Entry.Name.x	Protein.names.x	Gene.Names.x	Organism.x	Length.x	Gene.Ontology.IDs.x	baseMean.y	log2FoldChange.y	lfcSE.y	stat.y	pvalue.y	padj.y	PSC.0228	PSC.0187	PSC.0188	PSC.0174	PSC.0190	PSC.0231	PSC.0230	PSC.0219	PSC.0177	PSC.0186	PSC.0209	PSC.0203	V2.y	uniprot_accession.y	gene_name.y	V5.y	V6.y	V7.y	V8.y	V9.y	V10.y	V11.y	V12.y	V13.y	V14.y	Entry.y	Reviewed.y	Entry.Name.y	Protein.names.y	Gene.Names.y	Organism.y	Length.y	Gene.Ontology.IDs.y
g8525	663.9491581	1.254286428	0.281815912	4.450729623	8.56E-06	7.55E-05	571	573	668	382	353	593	516	574	739	1340	249	953	1035	247	546	700	sp	P17439	GBA1_MOUSE	53.871	310	140	3	1	927	204	511	1.60E-114	343	P17439	reviewed	GBA1_MOUSE	Lysosomal acid glucosylceramidase (Lysosomal acid GCase) (EC 3.2.1.45) (Acid beta-glucosidase) (Beta-glucocerebrosidase) (Cholesterol glucosyltransferase) (SGTase) (EC 2.4.1.-) (Cholesteryl-beta-glucosidase) (EC 3.2.1.-) (D-glucosyl-N-acylsphingosine glucohydrolase) (Lysosomal cholesterol glycosyltransferase) (Lysosomal galactosylceramidase) (EC 3.2.1.46) (Lysosomal glycosylceramidase)	Gba1 Gba	Mus musculus (Mouse)	515	GO:0000423; GO:0004336; GO:0004348; GO:0005102; GO:0005124; GO:0005615; GO:0005764; GO:0005765; GO:0005783; GO:0005794; GO:0005802; GO:0006678; GO:0006680; GO:0006914; GO:0007005; GO:0007040; GO:0007417; GO:0008203; GO:0008340; GO:0008422; GO:0009267; GO:0009268; GO:0014004; GO:0016787; GO:0019882; GO:0019915; GO:0021694; GO:0021859; GO:0022904; GO:0023021; GO:0030259; GO:0031333; GO:0032006; GO:0032436; GO:0032715; GO:0033077; GO:0033574; GO:0035307; GO:0042391; GO:0043161; GO:0043202; GO:0043243; GO:0043524; GO:0043627; GO:0046512; GO:0046513; GO:0046527; GO:0048469; GO:0048854; GO:0048872; GO:0050295; GO:0050877; GO:0050905; GO:0051246; GO:0051248; GO:0051402; GO:0061436; GO:0061518; GO:0061744; GO:0071356; GO:0071425; GO:0071548; GO:0072676; GO:0097066; GO:0098773; GO:1901805; GO:1903052; GO:1903061; GO:1904457; GO:1904925; GO:1905037	456.0475538	1.449739993	0.390030089	3.716995259	0.000201606	0.0012296	621	348	935	243	273	1047	341	375	362	242	224	225	sp	P17439	GBA1_MOUSE	53.871	310	140	3	1	927	204	511	1.60E-114	343	P17439	reviewed	GBA1_MOUSE	Lysosomal acid glucosylceramidase (Lysosomal acid GCase) (EC 3.2.1.45) (Acid beta-glucosidase) (Beta-glucocerebrosidase) (Cholesterol glucosyltransferase) (SGTase) (EC 2.4.1.-) (Cholesteryl-beta-glucosidase) (EC 3.2.1.-) (D-glucosyl-N-acylsphingosine glucohydrolase) (Lysosomal cholesterol glycosyltransferase) (Lysosomal galactosylceramidase) (EC 3.2.1.46) (Lysosomal glycosylceramidase)	Gba1 Gba	Mus musculus (Mouse)	515	GO:0000423; GO:0004336; GO:0004348; GO:0005102; GO:0005124; GO:0005615; GO:0005764; GO:0005765; GO:0005783; GO:0005794; GO:0005802; GO:0006678; GO:0006680; GO:0006914; GO:0007005; GO:0007040; GO:0007417; GO:0008203; GO:0008340; GO:0008422; GO:0009267; GO:0009268; GO:0014004; GO:0016787; GO:0019882; GO:0019915; GO:0021694; GO:0021859; GO:0022904; GO:0023021; GO:0030259; GO:0031333; GO:0032006; GO:0032436; GO:0032715; GO:0033077; GO:0033574; GO:0035307; GO:0042391; GO:0043161; GO:0043202; GO:0043243; GO:0043524; GO:0043627; GO:0046512; GO:0046513; GO:0046527; GO:0048469; GO:0048854; GO:0048872; GO:0050295; GO:0050877; GO:0050905; GO:0051246; GO:0051248; GO:0051402; GO:0061436; GO:0061518; GO:0061744; GO:0071356; GO:0071425; GO:0071548; GO:0072676; GO:0097066; GO:0098773; GO:1901805; GO:1903052; GO:1903061; GO:1904457; GO:1904925; GO:1905037
g12673	1360.937479	1.973541123	0.318535198	6.195676761	5.80E-10	1.32E-08	899	650	615	486	700	934	768	916	1580	1593	768	2666	2020	729	601	3096	sp	Q3ULA2	FBW1A_MOUSE	74.409	508	103	2	7	1449	98	605	0	787	Q3ULA2	reviewed	FBW1A_MOUSE	F-box/WD repeat-containing protein 1A (Beta-TrCP protein E3RS-IkappaB) (Beta-transducin repeat-containing protein) (Beta-TrCP) (E3RSIkappaB) (mE3RS-IkappaB) (F-box and WD repeats protein beta-TrCP) (HOS) (Ubiquitin ligase FWD1) (pIkappaB-E3 receptor subunit)	Btrc Fbw1 Fbxw1 Fwd1 Kiaa4123	Mus musculus (Mouse)	605	GO:0000209; GO:0004842; GO:0005634; GO:0005737; GO:0005829; GO:0006470; GO:0006508; GO:0006511; GO:0008013; GO:0016055; GO:0016567; GO:0019005; GO:0030163; GO:0031146; GO:0031648; GO:0033598; GO:0038061; GO:0042752; GO:0042753; GO:0043122; GO:0043161; GO:0045309; GO:0045862; GO:0045892; GO:0045893; GO:0046983; GO:0048511; GO:0051726; GO:0060444; GO:0060828; GO:0061136; GO:0061630; GO:0070936; GO:0071407; GO:1990756; GO:1990757	1259.460511	2.525007812	0.315373339	8.006408603	1.18E-15	8.70E-14	1297	1731	1745	1625	1963	1889	695	407	489	513	209	466	sp	Q3ULA2	FBW1A_MOUSE	74.409	508	103	2	7	1449	98	605	0	787	Q3ULA2	reviewed	FBW1A_MOUSE	F-box/WD repeat-containing protein 1A (Beta-TrCP protein E3RS-IkappaB) (Beta-transducin repeat-containing protein) (Beta-TrCP) (E3RSIkappaB) (mE3RS-IkappaB) (F-box and WD repeats protein beta-TrCP) (HOS) (Ubiquitin ligase FWD1) (pIkappaB-E3 receptor subunit)	Btrc Fbw1 Fbxw1 Fwd1 Kiaa4123	Mus musculus (Mouse)	605	GO:0000209; GO:0004842; GO:0005634; GO:0005737; GO:0005829; GO:0006470; GO:0006508; GO:0006511; GO:0008013; GO:0016055; GO:0016567; GO:0019005; GO:0030163; GO:0031146; GO:0031648; GO:0033598; GO:0038061; GO:0042752; GO:0042753; GO:0043122; GO:0043161; GO:0045309; GO:0045862; GO:0045892; GO:0045893; GO:0046983; GO:0048511; GO:0051726; GO:0060444; GO:0060828; GO:0061136; GO:0061630; GO:0070936; GO:0071407; GO:1990756; GO:1990757
g6489	2554.926294	1.197947607	0.266823212	4.489667893	7.13E-06	6.49E-05	2149	2363	2121	1546	2820	1628	1733	2362	3227	3468	1802	3054	3001	1565	1542	2462	sp	O88685	PRS6A_MOUSE	83.953	430	59	3	31	1317	22	442	0	713	O88685	reviewed	PRS6A_MOUSE	26S proteasome regulatory subunit 6A (26S proteasome AAA-ATPase subunit RPT5) (Proteasome 26S subunit ATPase 3) (Tat-binding protein 1) (TBP-1)	Psmc3 Tbp1	Mus musculus (Mouse)	442	GO:0000932; GO:0001824; GO:0005524; GO:0005634; GO:0008540; GO:0016887; GO:0022624; GO:0036402; GO:0043161; GO:0048471	1428.557322	1.153813976	0.272972302	4.226853676	2.37E-05	0.000192043	2814	1110	1412	1629	1562	1322	1477	952	1250	1163	795	878	sp	O88685	PRS6A_MOUSE	83.953	430	59	3	31	1317	22	442	0	713	O88685	reviewed	PRS6A_MOUSE	26S proteasome regulatory subunit 6A (26S proteasome AAA-ATPase subunit RPT5) (Proteasome 26S subunit ATPase 3) (Tat-binding protein 1) (TBP-1)	Psmc3 Tbp1	Mus musculus (Mouse)	442	GO:0000932; GO:0001824; GO:0005524; GO:0005634; GO:0008540; GO:0016887; GO:0022624; GO:0036402; GO:0043161; GO:0048471
g3645	696.6083587	-0.681909717	0.22476471	-3.033882478	0.002414285	0.009281669	640	1237	1302	1019	1287	1356	1131	1258	463	508	524	511	573	148	305	244	sp	Q4R834	SIR2_MACFA	53.102	403	168	6	1	1206	1	383	5.67E-134	392	Q4R834	reviewed	SIR2_MACFA	NAD-dependent protein deacetylase sirtuin-2 (EC 2.3.1.286) (NAD-dependent protein defatty-acylase sirtuin-2) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2)	SIRT2 QtsA-13614	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	389	GO:0000122; GO:0000792; GO:0003682; GO:0004407; GO:0005634; GO:0005694; GO:0005737; GO:0005813; GO:0005814; GO:0005819; GO:0005829; GO:0005874; GO:0005886; GO:0006476; GO:0010507; GO:0010801; GO:0022011; GO:0030426; GO:0030496; GO:0031641; GO:0032436; GO:0033010; GO:0033270; GO:0033558; GO:0034599; GO:0034979; GO:0034983; GO:0040029; GO:0042177; GO:0042903; GO:0043161; GO:0043204; GO:0043209; GO:0043219; GO:0043220; GO:0043388; GO:0044224; GO:0044242; GO:0045599; GO:0045836; GO:0045944; GO:0046872; GO:0046970; GO:0048471; GO:0051301; GO:0051726; GO:0051781; GO:0051987; GO:0061433; GO:0070403; GO:0070446; GO:0071456; GO:0071872; GO:0072686; GO:0072687; GO:0090042; GO:0097386; GO:0140773; GO:0140774; GO:1900119; GO:1900195; GO:2000378	409.4904026	-1.090988862	0.309299475	-3.527289726	0.000419837	0.002276683	164	182	342	160	168	296	855	881	376	631	740	582	sp	Q4R834	SIR2_MACFA	53.102	403	168	6	1	1206	1	383	5.67E-134	392	Q4R834	reviewed	SIR2_MACFA	NAD-dependent protein deacetylase sirtuin-2 (EC 2.3.1.286) (NAD-dependent protein defatty-acylase sirtuin-2) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2)	SIRT2 QtsA-13614	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	389	GO:0000122; GO:0000792; GO:0003682; GO:0004407; GO:0005634; GO:0005694; GO:0005737; GO:0005813; GO:0005814; GO:0005819; GO:0005829; GO:0005874; GO:0005886; GO:0006476; GO:0010507; GO:0010801; GO:0022011; GO:0030426; GO:0030496; GO:0031641; GO:0032436; GO:0033010; GO:0033270; GO:0033558; GO:0034599; GO:0034979; GO:0034983; GO:0040029; GO:0042177; GO:0042903; GO:0043161; GO:0043204; GO:0043209; GO:0043219; GO:0043220; GO:0043388; GO:0044224; GO:0044242; GO:0045599; GO:0045836; GO:0045944; GO:0046872; GO:0046970; GO:0048471; GO:0051301; GO:0051726; GO:0051781; GO:0051987; GO:0061433; GO:0070403; GO:0070446; GO:0071456; GO:0071872; GO:0072686; GO:0072687; GO:0090042; GO:0097386; GO:0140773; GO:0140774; GO:1900119; GO:1900195; GO:2000378
g17977	717.2008966	2.175320807	0.447929381	4.856392325	1.20E-06	1.32E-05	446	206	413	262	371	334	433	318	658	827	277	857	892	745	220	1444	sp	Q9Z255	UBE2A_MOUSE	92.617	149	11	0	1	447	1	149	2.80E-102	292	Q9Z255	reviewed	UBE2A_MOUSE	Ubiquitin-conjugating enzyme E2 A (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme A) (RAD6 homolog A) (HR6A) (mHR6A) (Ubiquitin carrier protein A) (Ubiquitin-protein ligase A)	Ube2a Rad6a	Mus musculus (Mouse)	152	GO:0000209; GO:0000785; GO:0001701; GO:0001741; GO:0001835; GO:0004842; GO:0005524; GO:0005764; GO:0005770; GO:0006281; GO:0016567; GO:0031625; GO:0033503; GO:0043161; GO:0060135; GO:0061631; GO:0070936; GO:0070979; GO:1901526	527.4091925	2.251359197	0.314443931	7.159811269	8.08E-13	3.67E-11	805	565	556	807	842	582	292	221	212	151	203	250	sp	Q9Z255	UBE2A_MOUSE	92.617	149	11	0	1	447	1	149	2.80E-102	292	Q9Z255	reviewed	UBE2A_MOUSE	Ubiquitin-conjugating enzyme E2 A (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme A) (RAD6 homolog A) (HR6A) (mHR6A) (Ubiquitin carrier protein A) (Ubiquitin-protein ligase A)	Ube2a Rad6a	Mus musculus (Mouse)	152	GO:0000209; GO:0000785; GO:0001701; GO:0001741; GO:0001835; GO:0004842; GO:0005524; GO:0005764; GO:0005770; GO:0006281; GO:0016567; GO:0031625; GO:0033503; GO:0043161; GO:0060135; GO:0061631; GO:0070936; GO:0070979; GO:1901526
g11907	6199.437359	4.630092068	0.523370421	8.846682736	9.02E-19	7.72E-17	258	295	428	273	790	2331	406	364	9445	9611	7201	9139	7206	5455	2799	13543	sp	A1Z6E0	GUS_DROME	65.108	278	89	4	19	834	1	276	5.92E-135	385	A1Z6E0	reviewed	GUS_DROME	Protein gustavus	gus CG2944	Drosophila melanogaster (Fruit fly)	279	GO:0005634; GO:0005737; GO:0005938; GO:0007281; GO:0007314; GO:0007315; GO:0007472; GO:0008104; GO:0008354; GO:0019005; GO:0031466; GO:0035017; GO:0035556; GO:0043161; GO:0045495; GO:0045732; GO:0046843; GO:0048471; GO:0070449	4101.285315	3.132260595	0.542801542	5.770544757	7.90E-09	1.64E-07	6456	6323	5642	2199	6260	8969	465	360	996	538	2171	1128	sp	A1Z6E0	GUS_DROME	65.108	278	89	4	19	834	1	276	5.92E-135	385	A1Z6E0	reviewed	GUS_DROME	Protein gustavus	gus CG2944	Drosophila melanogaster (Fruit fly)	279	GO:0005634; GO:0005737; GO:0005938; GO:0007281; GO:0007314; GO:0007315; GO:0007472; GO:0008104; GO:0008354; GO:0019005; GO:0031466; GO:0035017; GO:0035556; GO:0043161; GO:0045495; GO:0045732; GO:0046843; GO:0048471; GO:0070449
g10578	820.6278382	1.063620338	0.23109119	4.602600116	4.17E-06	4.01E-05	1116	678	550	599	681	657	662	715	841	797	666	946	1215	261	1652	634	sp	Q5E9K0	PSB2_BOVIN	55.446	101	27	1	1	249	1	101	5.72E-32	113	Q5E9K0	reviewed	PSB2_BOVIN	Proteasome subunit beta type-2	PSMB2	Bos taurus (Bovine)	201	GO:0005634; GO:0005654; GO:0005829; GO:0005839; GO:0019774; GO:0043161	304.0559061	1.002962658	0.208636024	4.807236259	1.53E-06	1.75E-05	638	401	417	291	191	240	314	280	253	278	167	196	sp	Q5E9K0	PSB2_BOVIN	55.446	101	27	1	1	249	1	101	5.72E-32	113	Q5E9K0	reviewed	PSB2_BOVIN	Proteasome subunit beta type-2	PSMB2	Bos taurus (Bovine)	201	GO:0005634; GO:0005654; GO:0005829; GO:0005839; GO:0019774; GO:0043161
g10579	578.1357412	1.19057786	0.202186736	5.88850625	3.90E-09	7.61E-08	688	472	401	365	444	431	411	564	615	480	504	742	832	259	998	484	sp	P40307	PSB2_RAT	58.442	77	32	0	1	231	118	194	4.22E-23	90.5	P40307	reviewed	PSB2_RAT	Proteasome subunit beta type-2 (Macropain subunit C7-I) (Multicatalytic endopeptidase complex subunit C7-I) (Proteasome component C7-I) (Proteasome subunit beta-4) (beta-4)	Psmb2	Rattus norvegicus (Rat)	201	GO:0000502; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005839; GO:0014070; GO:0019774; GO:0043161	259.7702746	1.14397682	0.308218682	3.711575213	0.000205973	0.001252427	584	284	363	250	178	246	282	235	204	233	62	190	sp	P40307	PSB2_RAT	58.442	77	32	0	1	231	118	194	4.22E-23	90.5	P40307	reviewed	PSB2_RAT	Proteasome subunit beta type-2 (Macropain subunit C7-I) (Multicatalytic endopeptidase complex subunit C7-I) (Proteasome component C7-I) (Proteasome subunit beta-4) (beta-4)	Psmb2	Rattus norvegicus (Rat)	201	GO:0000502; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005839; GO:0014070; GO:0019774; GO:0043161
g17254	543.6908317	1.197105936	0.22439895	5.33472164	9.57E-08	1.38E-06	307	424	451	346	580	404	532	523	684	734	430	955	725	250	280	573	sp	Q80U30	CL16A_MOUSE	54	800	285	17	1	2238	1	771	0	768	Q80U30	reviewed	CL16A_MOUSE	Protein CLEC16A	Clec16a Kiaa0350	Mus musculus (Mouse)	1036	GO:0006914; GO:0008333; GO:0016197; GO:0032435; GO:0036020; GO:0043161; GO:1901096; GO:1901098; GO:1901525	411.9475031	1.402972138	0.262892229	5.336681667	9.47E-08	1.48E-06	657	706	491	310	433	448	569	225	230	188	242	260	sp	Q80U30	CL16A_MOUSE	54	800	285	17	1	2238	1	771	0	768	Q80U30	reviewed	CL16A_MOUSE	Protein CLEC16A	Clec16a Kiaa0350	Mus musculus (Mouse)	1036	GO:0006914; GO:0008333; GO:0016197; GO:0032435; GO:0036020; GO:0043161; GO:1901096; GO:1901098; GO:1901525
g17258	3964.447512	5.779773185	0.567988265	10.17586726	2.54E-24	3.74E-22	127	62	187	31	354	571	74	126	4788	3398	3982	6249	4914	3559	2216	12926	sp	O35717	SOCS2_MOUSE	40.741	189	85	3	166	732	35	196	3.29E-35	127	O35717	reviewed	SOCS2_MOUSE	Suppressor of cytokine signaling 2 (SOCS-2)	Socs2	Mus musculus (Mouse)	198	GO:0005131; GO:0005159; GO:0005737; GO:0005942; GO:0007259; GO:0007595; GO:0016567; GO:0031466; GO:0032355; GO:0035556; GO:0040014; GO:0040015; GO:0043161; GO:0045666; GO:0046426; GO:0046854; GO:0046935; GO:0060396; GO:0060400; GO:0060749; GO:0140031; GO:1990756	2817.806859	5.028664242	0.628440791	8.001810692	1.23E-15	8.96E-14	4311	4274	3136	1312	6449	5682	221	172	258	31	421	67	sp	O35717	SOCS2_MOUSE	40.741	189	85	3	166	732	35	196	3.29E-35	127	O35717	reviewed	SOCS2_MOUSE	Suppressor of cytokine signaling 2 (SOCS-2)	Socs2	Mus musculus (Mouse)	198	GO:0005131; GO:0005159; GO:0005737; GO:0005942; GO:0007259; GO:0007595; GO:0016567; GO:0031466; GO:0032355; GO:0035556; GO:0040014; GO:0040015; GO:0043161; GO:0045666; GO:0046426; GO:0046854; GO:0046935; GO:0060396; GO:0060400; GO:0060749; GO:0140031; GO:1990756
g14231	2872.303008	2.143315297	0.401656096	5.336195112	9.49E-08	1.37E-06	1562	1215	1563	1333	1646	1691	950	1311	2335	5998	1705	2473	5534	2193	1011	4159	sp	Q9UBF6	RBX2_HUMAN	91.86	86	7	0	103	360	28	113	8.51E-55	169	Q9UBF6	reviewed	RBX2_HUMAN	RING-box protein 2 (Rbx2) (EC 2.3.2.27) (EC 2.3.2.32) (CKII beta-binding protein 1) (CKBBP1) (RING finger protein 7) (Regulator of cullins 2) (Sensitive to apoptosis gene protein)	RNF7 RBX2 ROC2 SAG	Homo sapiens (Human)	113	GO:0005507; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006511; GO:0008270; GO:0016567; GO:0019788; GO:0030968; GO:0031466; GO:0038026; GO:0043161; GO:0043687; GO:0045116; GO:0051775; GO:0061630; GO:0061663; GO:0070979; GO:0097602; GO:2001222	1517.820971	2.002393637	0.40588317	4.93342367	8.08E-07	1.00E-05	2152	1228	1274	1382	2750	2379	777	617	956	549	832	591	sp	Q9UBF6	RBX2_HUMAN	91.86	86	7	0	103	360	28	113	8.51E-55	169	Q9UBF6	reviewed	RBX2_HUMAN	RING-box protein 2 (Rbx2) (EC 2.3.2.27) (EC 2.3.2.32) (CKII beta-binding protein 1) (CKBBP1) (RING finger protein 7) (Regulator of cullins 2) (Sensitive to apoptosis gene protein)	RNF7 RBX2 ROC2 SAG	Homo sapiens (Human)	113	GO:0005507; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006511; GO:0008270; GO:0016567; GO:0019788; GO:0030968; GO:0031466; GO:0038026; GO:0043161; GO:0043687; GO:0045116; GO:0051775; GO:0061630; GO:0061663; GO:0070979; GO:0097602; GO:2001222
g642	83.58752648	3.029029814	0.731090837	4.143164788	3.43E-05	0.000253513	28	31	0	3	10	19	64	51	39	80	72	393	122	3	364	66	sp	Q28DT9	SPSB3_XENTR	38.462	208	120	5	49	663	105	307	5.04E-36	134	Q28DT9	reviewed	SPSB3_XENTR	SPRY domain-containing SOCS box protein 3 (SSB-3)	spsb3 TGas007f05.1	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	360	GO:0005634; GO:0010719; GO:0031466; GO:0043161; GO:0070936; GO:0160049; GO:1990756	50.51774048	1.897391909	0.714021884	2.657330189	0.007876226	0.02633727	113	180	93	11	9	57	32	23	15	32	2	54	sp	Q28DT9	SPSB3_XENTR	38.462	208	120	5	49	663	105	307	5.04E-36	134	Q28DT9	reviewed	SPSB3_XENTR	SPRY domain-containing SOCS box protein 3 (SSB-3)	spsb3 TGas007f05.1	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	360	GO:0005634; GO:0010719; GO:0031466; GO:0043161; GO:0070936; GO:0160049; GO:1990756
g17367	1949.715276	3.799797681	0.379960744	10.00050069	1.52E-23	2.10E-21	246	395	458	202	322	419	323	498	4976	2323	4745	5581	5415	257	794	1469	sp	Q6PJ21	SPSB3_HUMAN	53.409	176	79	2	532	1059	145	317	8.43E-57	193	Q6PJ21	reviewed	SPSB3_HUMAN	SPRY domain-containing SOCS box protein 3 (SSB-3)	SPSB3 C16orf31 SSB3	Homo sapiens (Human)	355	GO:0005634; GO:0005829; GO:0010719; GO:0019005; GO:0031466; GO:0043161; GO:0070936; GO:0160049; GO:1990756	978.3217671	3.10839621	0.579142878	5.367235488	8.00E-08	1.29E-06	3782	2279	2843	128	556	562	239	214	370	212	252	160	sp	Q6PJ21	SPSB3_HUMAN	53.409	176	79	2	532	1059	145	317	8.43E-57	193	Q6PJ21	reviewed	SPSB3_HUMAN	SPRY domain-containing SOCS box protein 3 (SSB-3)	SPSB3 C16orf31 SSB3	Homo sapiens (Human)	355	GO:0005634; GO:0005829; GO:0010719; GO:0019005; GO:0031466; GO:0043161; GO:0070936; GO:0160049; GO:1990756
g12914	1379.711807	1.034898177	0.236296589	4.379657701	1.19E-05	0.000100881	1282	1303	1354	862	1311	1321	1111	1184	1535	2161	945	1254	2143	627	1178	1109	sp	P55036	PSMD4_HUMAN	74.719	178	44	1	1	531	1	178	6.24E-86	260	P55036	reviewed	PSMD4_HUMAN	26S proteasome non-ATPase regulatory subunit 4 (26S proteasome regulatory subunit RPN10) (26S proteasome regulatory subunit S5A) (Antisecretory factor 1) (AF) (ASF) (Multiubiquitin chain-binding protein)	PSMD4 MCB1	Homo sapiens (Human)	377	GO:0000502; GO:0003723; GO:0005634; GO:0005654; GO:0005829; GO:0008540; GO:0022624; GO:0031593; GO:0042802; GO:0043161; GO:0060090	582.4528528	1.149359093	0.259959943	4.421293067	9.81E-06	9.01E-05	1191	581	612	656	482	623	517	525	384	419	233	560	sp	P55036	PSMD4_HUMAN	74.719	178	44	1	1	531	1	178	6.24E-86	260	P55036	reviewed	PSMD4_HUMAN	26S proteasome non-ATPase regulatory subunit 4 (26S proteasome regulatory subunit RPN10) (26S proteasome regulatory subunit S5A) (Antisecretory factor 1) (AF) (ASF) (Multiubiquitin chain-binding protein)	PSMD4 MCB1	Homo sapiens (Human)	377	GO:0000502; GO:0003723; GO:0005634; GO:0005654; GO:0005829; GO:0008540; GO:0022624; GO:0031593; GO:0042802; GO:0043161; GO:0060090
g12913	1090.097544	1.117027493	0.223040028	5.008192926	5.49E-07	6.56E-06	1180	944	893	669	931	916	836	1019	1128	1239	912	1148	1668	619	910	968	sp	P55035	PSMD4_DROME	45.038	131	49	4	103	486	271	381	8.72E-22	94.4	P55035	reviewed	PSMD4_DROME	26S proteasome non-ATPase regulatory subunit 4 (26S proteasome regulatory subunit RPN10) (26S proteasome regulatory subunit S5A) (54 kDa subunit of mu particle) (Multiubiquitin chain-binding protein) (p54)	Rpn10 PROS-54 Pros54 CG7619	Drosophila melanogaster (Fruit fly)	396	GO:0000070; GO:0000502; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005838; GO:0008270; GO:0008540; GO:0031593; GO:0031624; GO:0043161	497.4443149	1.023552904	0.186727168	5.481542481	4.22E-08	7.29E-07	922	459	599	548	423	476	515	339	365	432	372	374	sp	P55035	PSMD4_DROME	45.038	131	49	4	103	486	271	381	8.72E-22	94.4	P55035	reviewed	PSMD4_DROME	26S proteasome non-ATPase regulatory subunit 4 (26S proteasome regulatory subunit RPN10) (26S proteasome regulatory subunit S5A) (54 kDa subunit of mu particle) (Multiubiquitin chain-binding protein) (p54)	Rpn10 PROS-54 Pros54 CG7619	Drosophila melanogaster (Fruit fly)	396	GO:0000070; GO:0000502; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005838; GO:0008270; GO:0008540; GO:0031593; GO:0031624; GO:0043161
g10308	287.8375983	-1.860253896	0.498358463	-3.732762731	0.000189391	0.001095555	336	675	782	565	439	573	834	671	100	57	32	212	47	6	399	41	sp	D2GXS7	TRIM2_AILME	22.025	790	507	19	46	2319	14	726	4.22E-41	165	D2GXS7	reviewed	TRIM2_AILME	Tripartite motif-containing protein 2 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM2) (RING-type E3 ubiquitin transferase TRIM2)	TRIM2	Ailuropoda melanoleuca (Giant panda)	744	GO:0000209; GO:0004842; GO:0005737; GO:0008270; GO:0030371; GO:0043161; GO:0043523; GO:0061630	124.961291	-2.228161792	0.298814077	-7.456682823	8.87E-14	4.85E-12	23	65	52	33	15	44	359	215	187	251	300	202	sp	D2GXS7	TRIM2_AILME	22.025	790	507	19	46	2319	14	726	4.22E-41	165	D2GXS7	reviewed	TRIM2_AILME	Tripartite motif-containing protein 2 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM2) (RING-type E3 ubiquitin transferase TRIM2)	TRIM2	Ailuropoda melanoleuca (Giant panda)	744	GO:0000209; GO:0004842; GO:0005737; GO:0008270; GO:0030371; GO:0043161; GO:0043523; GO:0061630
g19544	91.7155903	2.902050156	0.725221603	4.001604672	6.29E-05	0.000430694	29	79	56	0	0	21	26	30	165	21	123	165	125	32	197	199	sp	Q61382	TRAF4_MOUSE	50.647	464	220	4	1	1368	1	463	3.85E-180	515	Q61382	reviewed	TRAF4_MOUSE	TNF receptor-associated factor 4 (EC 2.3.2.27) (Cysteine-rich motif associated to RING and Traf domains protein 1)	Traf4 Cart1	Mus musculus (Mouse)	470	GO:0001650; GO:0005164; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005856; GO:0005886; GO:0005923; GO:0006915; GO:0007165; GO:0007585; GO:0008270; GO:0016740; GO:0019901; GO:0030323; GO:0031625; GO:0031996; GO:0042802; GO:0042981; GO:0043122; GO:0043161; GO:0045087; GO:0045860; GO:0046330; GO:0048471; GO:0050699	265.7980313	4.462181808	0.797543731	5.594905499	2.21E-08	4.10E-07	397	2043	404	30	44	113	70	34	8	17	20	31	sp	Q61382	TRAF4_MOUSE	50.647	464	220	4	1	1368	1	463	3.85E-180	515	Q61382	reviewed	TRAF4_MOUSE	TNF receptor-associated factor 4 (EC 2.3.2.27) (Cysteine-rich motif associated to RING and Traf domains protein 1)	Traf4 Cart1	Mus musculus (Mouse)	470	GO:0001650; GO:0005164; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005856; GO:0005886; GO:0005923; GO:0006915; GO:0007165; GO:0007585; GO:0008270; GO:0016740; GO:0019901; GO:0030323; GO:0031625; GO:0031996; GO:0042802; GO:0042981; GO:0043122; GO:0043161; GO:0045087; GO:0045860; GO:0046330; GO:0048471; GO:0050699
