gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.56	PSC.52	PSC.54	PSC.61	PSC.64	PSC.73	PSC.76	PSC.81	PSC.59	PSC.57	PSC.69	PSC.67	PSC.71	PSC.75	PSC.78	PSC.83	V2	uniprot_accession	gene_name	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	Entry	Reviewed	Entry.Name	Protein.names	Gene.Names	Organism	Length	Gene.Ontology.IDs
g4757	154.8403963	3.899354469	1.046970965	3.724415098	0.000195769	0.001128042	1422	41	0	0	8	20	40	29	4	161	42	282	1768	40	39	8	sp	Q8NHU2	CFA61_HUMAN	49.837	307	152	1	1	921	933	1237	1.47E-94	307	Q8NHU2	reviewed	CFA61_HUMAN	Cilia- and flagella-associated protein 61	CFAP61 C20orf26	Homo sapiens (Human)	1237	GO:0003341; GO:0005930; GO:0031514; GO:0044782; GO:0120316
g18376	232.6792679	1.79018369	0.545724476	3.28038006	0.001036673	0.004582924	5221	91	76	75	53	125	270	167	50	441	282	1410	6176	29	285	73	sp	Q32NR4	TTC29_XENLA	36.446	439	269	5	64	1380	19	447	1.93E-81	263	Q32NR4	reviewed	TTC29_XENLA	Tetratricopeptide repeat protein 29 (TPR repeat protein 29)	ttc29	Xenopus laevis (African clawed frog)	487	GO:0003341; GO:0005737; GO:0005856; GO:0036126
g20457	148.6022387	2.178783288	0.591240295	3.68510622	0.000228607	0.00128459	3279	77	10	11	17	50	125	98	92	316	229	420	4917	35	311	48	sp	B5X5D0	PIRC1_SALSA	41.837	98	56	1	85	375	17	114	5.66E-24	92.8	B5X5D0	reviewed	PIRC1_SALSA	Piercer of microtubule wall 1 protein (Pierce1) (UPF0691 protein C9orf116 homolog)	pierce1	Salmo salar (Atlantic salmon)	141	GO:0003341; GO:0005634; GO:0005737; GO:0005879; GO:0007368; GO:0035082; GO:0061966
g21787	229.2171437	2.517769929	0.644546714	3.906264474	9.37E-05	0.000603085	1812	70	79	43	41	115	143	107	67	98	71	753	1970	19	297	45	sp	Q6DGQ8	NDK5_DANRE	67.476	206	67	0	19	636	10	215	5.18E-93	274	Q6DGQ8	reviewed	NDK5_DANRE	Nucleoside diphosphate kinase homolog 5 (3'-5' exonuclease NME5) (EC 3.1.-.-)	nme5 zgc:92812	Danio rerio (Zebrafish) (Brachydanio rerio)	217	GO:0003341; GO:0004550; GO:0005929; GO:0006183; GO:0006228; GO:0006241; GO:0008408; GO:1902176
g19174	176.8432137	4.486131869	1.116284469	4.018807028	5.85E-05	0.000403298	11272	0	0	16	22	15	0	27	66	1446	39	302	20363	9	112	33	sp	Q4V8F7	CCD63_RAT	31.347	453	275	7	55	1317	21	469	1.83E-43	165	Q4V8F7	reviewed	CCD63_RAT	Coiled-coil domain-containing protein 63	Ccdc63	Rattus norvegicus (Rat)	559	GO:0003341; GO:0005930; GO:0007286; GO:0036158
g9847	142.5430407	1.536368765	0.431012744	3.564555308	0.000364474	0.001901048	2746	76	49	84	44	99	161	76	48	154	198	576	3796	25	271	96	sp	Q3KQ77	CLXN_XENLA	49.724	181	85	3	16	546	19	197	6.44E-59	186	Q3KQ77	reviewed	CLXN_XENLA	Calaxin (EF-hand calcium-binding domain-containing protein 1)	clxn efcab1	Xenopus laevis (African clawed frog)	208	GO:0003341; GO:0003352; GO:0005509; GO:0005737; GO:0005856; GO:0005929; GO:0036158; GO:1901317
g18836	228.8698029	-0.976460494	0.389940879	-2.504124461	0.012275484	0.036361945	597	207	397	427	298	340	662	279	104	56	90	386	364	19	130	42	sp	Q8TE73	DYH5_HUMAN	75.074	1693	417	3	1	5073	1931	3620	0	2519	Q8TE73	reviewed	DYH5_HUMAN	Dynein axonemal heavy chain 5 (Axonemal beta dynein heavy chain 5) (Ciliary dynein heavy chain 5)	DNAH5 DNAHC5 HL1 KIAA1603	Homo sapiens (Human)	4624	GO:0003341; GO:0003351; GO:0005524; GO:0005576; GO:0005737; GO:0005874; GO:0005930; GO:0007368; GO:0007507; GO:0008569; GO:0016887; GO:0021670; GO:0030317; GO:0031514; GO:0036157; GO:0036158; GO:0045505; GO:0051649; GO:0051959; GO:0060271; GO:0060294; GO:0097728; GO:0097729
g18835	64.95284506	-1.407486811	0.455554418	-3.089612907	0.002004175	0.007954328	226	80	105	97	81	164	160	96	15	16	15	97	85	0	27	27	sp	Q8TE73	DYH5_HUMAN	58.764	1489	571	8	1	4410	504	1968	0	1740	Q8TE73	reviewed	DYH5_HUMAN	Dynein axonemal heavy chain 5 (Axonemal beta dynein heavy chain 5) (Ciliary dynein heavy chain 5)	DNAH5 DNAHC5 HL1 KIAA1603	Homo sapiens (Human)	4624	GO:0003341; GO:0003351; GO:0005524; GO:0005576; GO:0005737; GO:0005874; GO:0005930; GO:0007368; GO:0007507; GO:0008569; GO:0016887; GO:0021670; GO:0030317; GO:0031514; GO:0036157; GO:0036158; GO:0045505; GO:0051649; GO:0051959; GO:0060271; GO:0060294; GO:0097728; GO:0097729
g23776	1190.558394	3.358829422	0.699947969	4.798684433	1.60E-06	1.71E-05	7409	200	147	80	64	283	583	138	419	718	1112	3119	11148	187	741	177	sp	A7MBH5	ODAD3_BOVIN	39.06	553	306	8	19	1593	60	609	2.01E-101	322	A7MBH5	reviewed	ODAD3_BOVIN	Outer dynein arm-docking complex subunit 3 (Coiled-coil domain-containing protein 151)	ODAD3 CCDC151	Bos taurus (Bovine)	621	GO:0003341; GO:0005814; GO:0005929; GO:0005930; GO:0035253; GO:0036064; GO:0036158; GO:0097542; GO:0120228; GO:1902017
g4553	485.1257981	2.588561393	0.77258389	3.350524684	0.000806586	0.003706139	16341	158	0	35	85	164	376	120	307	677	748	3620	16734	88	572	132	sp	Q5TD94	RSH4A_HUMAN	70.412	267	74	3	784	1578	419	682	2.44E-104	332	Q5TD94	reviewed	RSH4A_HUMAN	Radial spoke head protein 4 homolog A (Radial spoke head-like protein 3)	RSPH4A RSHL3	Homo sapiens (Human)	716	GO:0001534; GO:0001535; GO:0003341; GO:0003351; GO:0005576; GO:0005930; GO:0031514; GO:0035082; GO:0051649; GO:0060294; GO:0062177; GO:0097729; GO:0120221; GO:0120336; GO:0120337; GO:0120338
g11128	3243.962462	4.328196395	0.852714635	5.075785283	3.86E-07	4.79E-06	23537	227	148	170	108	245	798	276	529	9376	1112	7913	29724	70	671	195	sp	Q8WXX0	DYH7_HUMAN	70.341	3955	1134	13	55	11844	37	3977	0	5517	Q8WXX0	reviewed	DYH7_HUMAN	Dynein axonemal heavy chain 7 (Axonemal beta dynein heavy chain 7) (Ciliary dynein heavy chain 7) (Dynein heavy chain-like protein 2) (hDHC2)	DNAH7 KIAA0944	Homo sapiens (Human)	4024	GO:0003341; GO:0003777; GO:0005509; GO:0005524; GO:0005829; GO:0005858; GO:0005874; GO:0005929; GO:0008569; GO:0016887; GO:0036156; GO:0036159; GO:0045505; GO:0051959; GO:0060285; GO:0060294; GO:0097729
g19868	150.8689867	1.639640647	0.484123751	3.386821329	0.000707074	0.003316962	3458	170	70	70	32	56	111	97	85	284	143	838	6105	27	173	39	sp	Q8TBY9	CF251_HUMAN	47.55	898	432	5	580	3156	249	1146	0	853	Q8TBY9	reviewed	CF251_HUMAN	Cilia- and flagella-associated protein 251 (WD repeat-containing protein 66)	CFAP251 WDR66	Homo sapiens (Human)	1149	GO:0003341; GO:0005930; GO:0030317; GO:0031514; GO:0036126
g11430	623.4382782	1.090965315	0.415309157	2.626875173	0.008617294	0.027230592	9626	388	277	478	319	531	995	425	171	1129	505	1960	16086	180	878	252	sp	Q7ZU45	ODAD4_DANRE	53.061	490	215	2	37	1503	11	486	1.55E-174	511	Q7ZU45	reviewed	ODAD4_DANRE	Outer dynein arm-docking complex subunit 4 (Tetratricopeptide repeat protein 25) (TPR repeat protein 25)	odad4 ttc25	Danio rerio (Zebrafish) (Brachydanio rerio)	486	GO:0003341; GO:0005737; GO:0005856; GO:0032474; GO:0036158; GO:0042995; GO:0060271; GO:0061371
g21769	95.26084517	3.695818401	1.0077183	3.667511448	0.000244923	0.001360391	7777	18	0	16	16	0	2	18	39	203	17	1200	6407	7	103	7	sp	Q86XQ3	CTSR3_HUMAN	33.609	363	237	3	67	1155	30	388	2.09E-64	214	Q86XQ3	reviewed	CTSR3_HUMAN	Cation channel sperm-associated protein 3 (CatSper3) (Ca(v)-like protein) (One-repeat calcium channel-like protein)	CATSPER3	Homo sapiens (Human)	398	GO:0001669; GO:0005245; GO:0005783; GO:0005886; GO:0006814; GO:0030317; GO:0031514; GO:0036128; GO:0048240; GO:0051649
g19582	54.73747972	3.668885185	1.217418317	3.013660245	0.002581167	0.009836836	7346	0	0	11	9	6	12	6	0	352	14	267	8379	12	0	10	sp	Q5CZC0	FSIP2_HUMAN	31.707	123	78	3	148	504	45	165	3.64E-11	70.9	Q5CZC0	reviewed	FSIP2_HUMAN	Fibrous sheath-interacting protein 2	FSIP2	Homo sapiens (Human)	6907	GO:0007288; GO:0030317; GO:0061512; GO:0097225; GO:0097228; GO:0097229; GO:0120212
g21159	367.2285041	2.642313494	0.665551591	3.970110702	7.18E-05	0.000481161	8371	54	11	52	40	144	234	48	152	870	776	1452	14866	103	386	112	sp	Q9H4K1	RIBC2_HUMAN	49.733	374	187	1	16	1137	10	382	1.53E-109	328	Q9H4K1	reviewed	RIBC2_HUMAN	RIB43A-like with coiled-coils protein 2	RIBC2 C22orf11	Homo sapiens (Human)	382	GO:0005634; GO:0005879; GO:0030317; GO:0036126; GO:0160111
g17177	261.1183427	2.583730397	0.801893199	3.222038048	0.001272822	0.005443202	7843	164	0	27	26	72	196	49	132	221	185	2336	5815	54	595	42	sp	E1BKF9	CFA52_BOVIN	56.23	610	247	2	40	1815	16	623	0	729	E1BKF9	reviewed	CFA52_BOVIN	Cilia- and flagella-associated protein 52	CFAP52	Bos taurus (Bovine)	623	GO:0005879; GO:0030317; GO:0036126; GO:0160112
g21889	193.7512304	2.615884401	0.872758296	2.997260999	0.002724174	0.01030232	17	101	0	6	11	59	355	58	115	67	417	104	976	49	448	75	sp	Q5THR3	EFCB6_HUMAN	22.616	734	459	18	742	2796	823	1496	2.40E-40	166	Q5THR3	reviewed	EFCB6_HUMAN	EF-hand calcium-binding domain-containing protein 6 (CAP-binding protein complex-interacting protein 1) (DJ-1-binding protein) (DJBP)	EFCAB6 DJBP KIAA1672	Homo sapiens (Human)	1501	GO:0005509; GO:0005654; GO:0030317; GO:0036126; GO:0160111
g16636	449.4422077	2.636941958	0.742680543	3.550573638	0.000384393	0.00199237	11937	52	22	27	22	150	438	51	154	1264	754	2110	21509	131	371	91	sp	Q2TA38	TEKT4_BOVIN	52.899	414	193	1	139	1380	33	444	1.85E-145	426	Q2TA38	reviewed	TEKT4_BOVIN	Tektin-4	TEKT4	Bos taurus (Bovine)	447	GO:0005879; GO:0015630; GO:0030317; GO:0036126; GO:0060271; GO:0060294; GO:0160111
g22558	424.5752112	2.704703694	0.762977536	3.544932277	0.000392714	0.00202368	15284	35	10	27	28	46	470	78	242	1094	506	2684	20032	97	348	113	sp	Q5JVL4	EFHC1_HUMAN	53.882	644	275	7	4	1914	8	636	0	670	Q5JVL4	reviewed	EFHC1_HUMAN	EF-hand domain-containing protein 1 (Myoclonin-1)	EFHC1	Homo sapiens (Human)	640	GO:0000281; GO:0000922; GO:0005509; GO:0005813; GO:0005879; GO:0005930; GO:0007052; GO:0021795; GO:0030317; GO:0036126; GO:0043014; GO:0043025; GO:0051302; GO:0060285; GO:0072686; GO:0160111
g9708	801.5373135	4.026001709	0.790644636	5.092049611	3.54E-07	4.43E-06	5758	123	24	51	42	112	180	75	139	737	705	981	9317	62	238	114	sp	E1B836	ENKUR_BOVIN	56	250	108	1	19	768	10	257	1.51E-92	276	E1B836	reviewed	ENKUR_BOVIN	Enkurin	ENKUR	Bos taurus (Bovine)	259	GO:0001669; GO:0005516; GO:0005879; GO:0017124; GO:0030317; GO:0036126; GO:0160112
g1294	3138.716694	-2.096917276	0.58015444	-3.614412183	0.00030103	0.001622427	6750	11756	5920	3679	5398	3788	10711	7504	3289	267	159	974	164	189	455	7920	sp	Q7TMA5	APOB_RAT	28.935	1099	641	37	103	3324	33	1016	1.66E-107	378	Q7TMA5	reviewed	APOB_RAT	Apolipoprotein B-100 (Apo B-100) [Cleaved into: Apolipoprotein B-48 (Apo B-48)]	Apob Aa1064 Ac1-060	Rattus norvegicus (Rat)	4743	GO:0001701; GO:0005543; GO:0005615; GO:0005737; GO:0005783; GO:0005811; GO:0006629; GO:0006642; GO:0007283; GO:0007399; GO:0008201; GO:0008203; GO:0009566; GO:0009615; GO:0009743; GO:0009791; GO:0010269; GO:0010628; GO:0010744; GO:0010884; GO:0010886; GO:0016042; GO:0019433; GO:0030301; GO:0030317; GO:0031983; GO:0032355; GO:0032496; GO:0033344; GO:0034359; GO:0034361; GO:0034362; GO:0034363; GO:0034364; GO:0034374; GO:0034383; GO:0035473; GO:0042157; GO:0042158; GO:0042159; GO:0042627; GO:0042632; GO:0042953; GO:0043025; GO:0045540; GO:0048844; GO:0050750; GO:0051649; GO:0070971; GO:0071356; GO:0071379; GO:0120020
g2074	70.56860925	3.275006963	1.013719345	3.230684092	0.001234943	0.005300046	12123	0	0	27	8	12	16	4	25	353	26	423	10501	20	7	4	sp	Q9D411	TSSK4_MOUSE	50.508	295	131	3	70	909	2	296	3.47E-97	294	Q9D411	reviewed	TSSK4_MOUSE	Testis-specific serine/threonine-protein kinase 4 (TSK-4) (TSSK-4) (Testis-specific kinase 4) (EC 2.7.11.1)	Tssk4 Tssk5	Mus musculus (Mouse)	328	GO:0000287; GO:0001669; GO:0004672; GO:0004674; GO:0005524; GO:0006468; GO:0007286; GO:0009566; GO:0018105; GO:0030317; GO:0031514; GO:0032793; GO:0035556; GO:0036126; GO:0042802; GO:0042803; GO:0044877; GO:0106310; GO:1990443
g11267	127.4273089	2.255591397	0.625192781	3.607833402	0.000308765	0.001655312	3152	56	30	6	24	30	152	15	70	331	193	526	5441	15	135	81	sp	F1MMV1	EFHB_BOVIN	48.93	374	187	3	91	1206	295	666	8.81E-115	358	F1MMV1	reviewed	EFHB_BOVIN	EF-hand domain-containing family member B (Cilia- and flagella-associated protein 21)	EFHB CFAP21	Bos taurus (Bovine)	877	GO:0005509; GO:0005879; GO:0006816; GO:0030317; GO:0036126; GO:0160111
g11266	53.24783213	2.460062405	0.831728301	2.957771669	0.003098716	0.011479793	1088	12	11	0	4	19	62	0	37	96	136	191	1987	6	61	34	sp	Q8CDU5	EFHB_MOUSE	46.774	124	66	0	4	375	725	848	3.41E-38	139	Q8CDU5	reviewed	EFHB_MOUSE	EF-hand domain-containing family member B (Cilia- and flagella-associated protein 21)	Efhb Cfap21	Mus musculus (Mouse)	853	GO:0005509; GO:0005879; GO:0030317; GO:0032091; GO:0036126; GO:0061891; GO:0070884; GO:0160111; GO:2001256
g13577	92.41841262	1.223112367	0.512057531	2.388622944	0.016911649	0.047498616	2033	59	30	60	42	57	162	74	28	175	59	479	2689	10	127	31	sp	Q5W041	ARMC3_HUMAN	54.522	387	174	2	1	1161	1	385	3.10E-116	362	Q5W041	reviewed	ARMC3_HUMAN	Armadillo repeat-containing protein 3 (Beta-catenin-like protein) (Cancer/testis antigen 81) (CT81) (KU-CT-1)	ARMC3	Homo sapiens (Human)	872	GO:0007286; GO:0030317; GO:0034517; GO:0070062
g10824	272.6108534	2.148664919	0.574546236	3.739759805	0.000184196	0.001070355	6835	41	48	46	28	197	270	98	133	701	487	622	12508	116	250	103	sp	Q7Z5V6	SAXO4_HUMAN	32.967	455	265	8	1	1353	2	420	1.19E-64	218	Q7Z5V6	reviewed	SAXO4_HUMAN	Stabilizer of axonemal microtubules 4 (Protein phosphatase 1 regulatory subunit 32)	SAXO4 C11orf66 PPP1R32	Homo sapiens (Human)	425	GO:0005737; GO:0019902; GO:0030317; GO:0036064; GO:0036126; GO:0160111
g10516	69.15661827	3.094531224	0.84294957	3.671075159	0.000241532	0.001346609	1476	17	15	12	8	7	45	14	11	34	48	1052	1130	0	46	28	sp	Q9P2D7	DYH1_HUMAN	72.426	573	157	1	1	1719	3694	4265	0	898	Q9P2D7	reviewed	DYH1_HUMAN	Dynein axonemal heavy chain 1 (Axonemal beta dynein heavy chain 1) (Ciliary dynein heavy chain 1) (Heat shock regulated protein 1) (HSRF-1) (hDHC7)	DNAH1 DHC7 DNAHC1 KIAA1410	Homo sapiens (Human)	4265	GO:0003351; GO:0003777; GO:0005524; GO:0005576; GO:0005858; GO:0005874; GO:0005930; GO:0007288; GO:0008569; GO:0030317; GO:0036126; GO:0036156; GO:0036159; GO:0045505; GO:0051959; GO:0060285
g14415	63.00237624	4.423104752	1.222490506	3.618109696	0.000296763	0.001603467	6403	0	0	20	0	6	0	3	15	530	15	124	8739	5	17	8	sp	Q9BXA6	TSSK6_HUMAN	42.966	263	148	2	433	1218	6	267	4.77E-64	209	Q9BXA6	reviewed	TSSK6_HUMAN	Testis-specific serine/threonine-protein kinase 6 (TSK-6) (TSSK-6) (Testis-specific kinase 6) (EC 2.7.11.1) (Cancer/testis antigen 72) (CT72) (Serine/threonine-protein kinase SSTK) (Small serine/threonine kinase)	TSSK6 SSTK FKSG82	Homo sapiens (Human)	273	GO:0000287; GO:0004674; GO:0005524; GO:0005634; GO:0006468; GO:0030317; GO:0035092; GO:0036126; GO:0044877; GO:0106310; GO:0160110
g17066	99.88274351	2.191390458	0.73208544	2.993353425	0.0027593	0.010400149	36	8	12	6	11	54	248	20	49	40	278	232	368	19	113	45	sp	A6H782	TEKT3_BOVIN	51.515	495	230	4	16	1500	5	489	1.95E-178	513	A6H782	reviewed	TEKT3_BOVIN	Tektin-3	TEKT3 OMC45	Bos taurus (Bovine)	490	GO:0001669; GO:0002080; GO:0002081; GO:0005879; GO:0015630; GO:0030317; GO:0036126; GO:0060271; GO:0060294; GO:0060378; GO:0160111
g13351	12.88125364	3.623350463	1.470712731	2.463669747	0.013752276	0.039907712	1284	0	0	3	0	6	0	7	6	12	0	224	1299	0	0	5	sp	A8MZ26	EFCB9_HUMAN	48.538	171	87	1	1	510	1	171	8.97E-51	166	A8MZ26	reviewed	EFCB9_HUMAN	EF-hand calcium-binding domain-containing protein 9	EFCAB9	Homo sapiens (Human)	197	GO:0005509; GO:0005737; GO:0007283; GO:0030317; GO:0036128; GO:0048240; GO:0061891; GO:0097228
g19039	231.2718887	3.534703832	0.884951859	3.994232901	6.49E-05	0.000441646	33319	4	5	36	41	10	39	20	45	836	88	2272	24535	38	45	30	sp	Q5CZC0	FSIP2_HUMAN	31.884	276	154	8	136	945	45	292	2.81E-18	97.1	Q5CZC0	reviewed	FSIP2_HUMAN	Fibrous sheath-interacting protein 2	FSIP2	Homo sapiens (Human)	6907	GO:0007288; GO:0030317; GO:0061512; GO:0097225; GO:0097228; GO:0097229; GO:0120212
g19561	218.5183138	2.597945901	0.837343336	3.102605334	0.001918253	0.007675004	6054	49	0	14	25	98	172	12	124	455	496	1129	8676	32	219	30	sp	Q969V4	TEKT1_HUMAN	49.25	400	203	0	1	1200	1	400	1.06E-124	369	Q969V4	reviewed	TEKT1_HUMAN	Tektin-1	TEKT1	Homo sapiens (Human)	418	GO:0005634; GO:0005879; GO:0015630; GO:0030317; GO:0036126; GO:0060271; GO:0060294; GO:0160111
g2885	590.6928622	1.580407296	0.343018317	4.607355407	4.08E-06	3.93E-05	6612	399	225	250	279	409	439	409	452	778	1067	1801	11887	133	847	269	sp	O95995	DRC4_HUMAN	70.246	447	132	1	61	1401	15	460	0	535	O95995	reviewed	DRC4_HUMAN	Dynein regulatory complex subunit 4 (Growth arrest-specific protein 11) (GAS-11) (Growth arrest-specific protein 8) (GAS-8)	GAS8 DRC4 GAS11	Homo sapiens (Human)	478	GO:0003351; GO:0005576; GO:0005794; GO:0005829; GO:0005874; GO:0005886; GO:0005929; GO:0005930; GO:0007368; GO:0007420; GO:0008017; GO:0008104; GO:0008285; GO:0030317; GO:0031267; GO:0031514; GO:0035082; GO:0036064; GO:0036126; GO:0045880; GO:0051649; GO:0060294; GO:1903566; GO:1904526
g2123	2049.395651	-1.300350201	0.328626696	-3.956921989	7.59E-05	0.000505541	2269	4570	6019	3052	2511	3205	5179	4985	852	550	516	3143	1135	105	1871	718	sp	A0A061ACU2	PIEZ1_CAEEL	28.113	2369	1418	55	1039	7644	188	2438	0	651	A0A061ACU2	reviewed	PIEZ1_CAEEL	Piezo-type mechanosensitive ion channel component 1	pezo-1 C10C5.1	Caenorhabditis elegans	2442	GO:0005261; GO:0005886; GO:0008381; GO:0009612; GO:0030317; GO:0042391; GO:0050982; GO:0060279; GO:0071260; GO:0090727; GO:0098655
g791	62.7894057	1.970856458	0.630913204	3.123815521	0.001785223	0.007225315	1974	16	7	13	17	31	97	21	15	202	105	122	3305	18	79	13	sp	Q32L77	CFA95_BOVIN	39.785	186	109	3	7	564	42	224	3.79E-36	129	Q32L77	reviewed	CFA95_BOVIN	Cilia- and flagella-associated protein 95	CFAP95	Bos taurus (Bovine)	232	GO:0005737; GO:0005879; GO:0005886; GO:0030317; GO:0036126; GO:0160111
