gene_id	baseMean.x	log2FoldChange.x	lfcSE.x	stat.x	pvalue.x	padj.x	PSC.56	PSC.52	PSC.54	PSC.61	PSC.64	PSC.73	PSC.76	PSC.81	PSC.59	PSC.57	PSC.69	PSC.67	PSC.71	PSC.75	PSC.78	PSC.83	V2.x	uniprot_accession.x	gene_name.x	V5.x	V6.x	V7.x	V8.x	V9.x	V10.x	V11.x	V12.x	V13.x	V14.x	Entry.x	Reviewed.x	Entry.Name.x	Protein.names.x	Gene.Names.x	Organism.x	Length.x	Gene.Ontology.biological.process.x	Gene.Ontology.IDs.x	baseMean.y	log2FoldChange.y	lfcSE.y	stat.y	pvalue.y	padj.y	PSC.0228	PSC.0187	PSC.0188	PSC.0174	PSC.0190	PSC.0231	PSC.0230	PSC.0219	PSC.0177	PSC.0186	PSC.0209	PSC.0203
g14588	1744.43497204711	1.6487861443679	0.449226108923536	3.67028120497899	0.000242283779936904	0.00134885163339103	776	1212	1379	821	1480	1019	932	1560	918	2039	1216	1287	870	2039	1505	2007	sp	Q14696	MESD_HUMAN	59.441	143	57	1	88	516	55	196	8.36e-42	143	Q14696	reviewed	MESD_HUMAN	LRP chaperone MESD (LDLR chaperone MESD) (Mesoderm development LRP chaperone MESD) (Mesoderm development candidate 2) (Mesoderm development protein) (Renal carcinoma antigen NY-REN-61)	MESD KIAA0081 MESDC2 MESDM UNQ1911/PRO4369	Homo sapiens (Human)	234	mesoderm development [GO:0007498]; ossification [GO:0001503]; phagocytosis [GO:0006909]; positive regulation of skeletal muscle acetylcholine-gated channel clustering [GO:1904395]; protein folding [GO:0006457]; protein localization to cell surface [GO:0034394]; Wnt signaling pathway [GO:0016055]	GO:0001503; GO:0005783; GO:0005886; GO:0006457; GO:0006909; GO:0007498; GO:0016055; GO:0034394; GO:0042802; GO:0050750; GO:1904395	877.801301916186	1.11098141130042	0.41250310621032	2.69326798895418	0.00707553713590798	0.0242346211219835	1030	741	459	1682	1041	760	653	430	825	547	877	600
g14587	620.211630500061	2.80280961652887	0.516323385597936	5.42839951609598	5.68616442391057e-08	8.62872090711158e-07	229	176	206	180	300	167	169	239	398	933	247	682	400	636	159	1840	sp	Q9C0E8	LNP_HUMAN	42.994	314	142	7	1	840	1	311	8.18e-68	222	Q9C0E8	reviewed	LNP_HUMAN	Endoplasmic reticulum junction formation protein lunapark (ER junction formation factor lunapark)	LNPK KIAA1715 LNP	Homo sapiens (Human)	428	blood coagulation [GO:0007596]; embryonic digit morphogenesis [GO:0042733]; embryonic forelimb morphogenesis [GO:0035115]; endoplasmic reticulum organization [GO:0007029]; endoplasmic reticulum tubular network maintenance [GO:0071788]; endoplasmic reticulum tubular network organization [GO:0071786]; limb development [GO:0060173]; positive regulation of endoplasmic reticulum tubular network organization [GO:1903373]; regulation of chondrocyte differentiation [GO:0032330]	GO:0005654; GO:0005783; GO:0005789; GO:0007029; GO:0007596; GO:0016020; GO:0032330; GO:0035115; GO:0042733; GO:0042802; GO:0046872; GO:0060173; GO:0071782; GO:0071786; GO:0071788; GO:0098826; GO:1903373	485.52613150037	3.03775434252012	0.501817945200107	6.05349882676828	1.41733105256472e-09	3.48007802797763e-08	840	232	301	630	1153	674	207	90	94	190	84	128
g14586	221.021994626293	-1.13486602263824	0.407348742095662	-2.78598140944234	0.00533659322037236	0.0181534668158824	324	369	449	349	431	406	431	532	180	56	90	282	102	9	278	18	sp	P31937	3HIDH_HUMAN	72.961	233	63	0	1	699	102	334	1.78e-124	359	P31937	reviewed	3HIDH_HUMAN	3-hydroxyisobutyrate dehydrogenase, mitochondrial (HIBADH) (EC 1.1.1.31)	HIBADH	Homo sapiens (Human)	336	valine catabolic process [GO:0006574]	GO:0005739; GO:0005759; GO:0006574; GO:0008442; GO:0050661; GO:0051287	110.664535551342	-1.82269350749485	0.610637049115163	-2.98490487947956	0.00283666519058997	0.0114270751550395	67	67	81	41	0	26	353	285	142	320	79	139
g14585	106.610913162593	-1.15026796596346	0.386933625304542	-2.97277850964265	0.00295117330088398	0.0109966610400779	153	217	216	184	220	150	191	265	48	39	20	134	88	4	145	15	sp	P31937	3HIDH_HUMAN	59.322	59	17	2	70	225	14	72	3.54e-13	65.9	P31937	reviewed	3HIDH_HUMAN	3-hydroxyisobutyrate dehydrogenase, mitochondrial (HIBADH) (EC 1.1.1.31)	HIBADH	Homo sapiens (Human)	336	valine catabolic process [GO:0006574]	GO:0005739; GO:0005759; GO:0006574; GO:0008442; GO:0050661; GO:0051287	37.2938609118044	-1.94562172909504	0.537770406713401	-3.61794123441221	0.000296955797849783	0.0017045678383572	19	33	9	7	3	14	141	83	74	90	13	56
g14584	6536.6661578072	1.56565271067839	0.494688565357646	3.16492601672826	0.00155122388827887	0.00642130662437366	3338	4539	5759	3086	4666	4489	4404	5618	4922	2402	2694	6587	5365	7376	2131	14174	sp	A7T1N0	TMP2L_NEMVE	40.203	1577	816	30	145	4671	34	1551	0	1013	A7T1N0	reviewed	TMP2L_NEMVE	Transient receptor potential cation channel subfamily M member-like 2 (nvTRPM2)	TRPM2 v1g248535	Nematostella vectensis (Starlet sea anemone)	1551	calcium ion transmembrane transport [GO:0070588]; sodium ion transmembrane transport [GO:0035725]	GO:0005886; GO:0015280; GO:0035725; GO:0046872; GO:0047631; GO:0070588; GO:0099604	5618.86668065287	1.53912199388269	0.346588773508779	4.44077278759206	8.96363987613362e-06	8.34279571142772e-05	11490	6533	5608	11669	4880	2938	6134	4821	3165	2885	2149	2499
g10808	8.51082577263547	3.75023652668299	0.915983439633719	4.09421869917499	4.235943424896e-05	0.000304031168591958	2	0	0	0	0	4	4	3	8	0	18	13	40	4	5	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.6333959466103	4.72297078713069	1.38465462595674	3.41093778809089	0.000647398611032665	0.00327678919555247	27	76	8	2	4	31	0	7	0	0	0	0
g10806	907.090844291417	-1.02150944827324	0.327879378294936	-3.11550379772394	0.00183630984090934	0.00740251593183821	500	1127	1157	1498	1650	1920	2824	2564	558	637	525	588	530	132	234	483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	580.344172385095	-1.22598386018781	0.284450373385666	-4.31000967091572	1.63247406852013e-05	0.000139163408236822	280	368	372	443	171	172	1070	846	693	876	940	1421
g10805	30998.5387844577	-3.53448572326209	0.34507739265604	-10.2425884699585	1.27771386529154e-24	1.95277269078724e-22	44780	130167	111811	58703	55375	55905	84279	77764	6355	2353	4785	3654	1505	1279	5933	3483	sp	Q9UM22	EPDR1_HUMAN	44.886	176	93	2	124	648	41	213	3.88e-50	168	Q9UM22	reviewed	EPDR1_HUMAN	Mammalian ependymin-related protein 1 (MERP-1) (Upregulated in colorectal cancer gene 1 protein)	EPDR1 MERP1 UCC1	Homo sapiens (Human)	224	cell-matrix adhesion [GO:0007160]; myofibroblast contraction [GO:1990764]	GO:0005509; GO:0005543; GO:0005576; GO:0005764; GO:0007160; GO:0042802; GO:0043202; GO:1905573; GO:1990764	10768.9262185321	-2.95206476422068	0.425813987229927	-6.93275667956547	4.12717749712551e-12	1.66257081005857e-10	863	980	4046	3640	875	2248	28017	26073	20397	21164	25072	17626
g4305	43490.8041109292	1.74598171971114	0.390201494204421	4.47456441260178	7.65672426420391e-06	6.86751463231368e-05	17616	28976	32294	21111	34190	31071	20276	30071	59616	83820	35241	36603	42347	31073	12572	54615	sp	Q6P823	H33_XENTR	99.265	136	1	0	1	408	1	136	1.42e-94	271	Q6P823	reviewed	H33_XENTR	Histone H3.3	TGas113e22.1	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	136		GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982	22150.871682282	1.73928111586534	0.418403553972245	4.15694632455419	3.22529729558817e-05	0.000250137259533647	33152	12515	15316	18136	32225	47982	14963	12000	11485	12157	13739	9689
g4304	269.890927568852	0.852214676853359	0.288163583661651	2.95739893995069	0.00310246429986698	0.0114892605812574	153	211	274	206	288	329	297	320	205	313	127	418	329	113	149	443	sp	Q9UBU9	NXF1_HUMAN	38.78	508	239	9	589	1923	119	617	3.52e-105	335	Q9UBU9	reviewed	NXF1_HUMAN	Nuclear RNA export factor 1 (Tip-associated protein) (Tip-associating protein) (mRNA export factor TAP)	NXF1 TAP	Homo sapiens (Human)	619	mRNA export from nucleus [GO:0006406]; poly(A)+ mRNA export from nucleus [GO:0016973]; protein transport [GO:0015031]	GO:0003723; GO:0003729; GO:0005634; GO:0005643; GO:0005654; GO:0005737; GO:0005829; GO:0006406; GO:0010494; GO:0015031; GO:0016607; GO:0016973; GO:0042272; GO:0042405	278.888785855532	2.11757288213052	0.339821450630846	6.23142794017108	4.62202592069233e-10	1.26720798996122e-08	443	619	358	158	372	332	196	129	75	181	77	126
g1377	2828.14147687284	1.20576153210454	0.26731534559322	4.51063342221804	6.46343325607449e-06	5.93827930401844e-05	2646	2007	2217	1692	3016	2484	1937	2358	3409	4954	1719	4448	3526	1230	1413	3181	sp	P54725	RD23A_HUMAN	41.912	408	172	8	1	1176	3	361	8.94e-76	242	P54725	reviewed	RD23A_HUMAN	UV excision repair protein RAD23 homolog A (HR23A) (hHR23A)	RAD23A	Homo sapiens (Human)	363	nucleotide-excision repair [GO:0006289]; positive regulation of cell cycle [GO:0045787]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of viral genome replication [GO:0045070]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein destabilization [GO:0031648]; regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032434]	GO:0000502; GO:0003684; GO:0003697; GO:0005634; GO:0005654; GO:0005737; GO:0005794; GO:0005829; GO:0006289; GO:0019900; GO:0031593; GO:0031648; GO:0032434; GO:0032436; GO:0032991; GO:0043130; GO:0043161; GO:0043231; GO:0045070; GO:0045787; GO:0070628; GO:1990381	1525.63923490059	1.27031732306358	0.302929670170755	4.19343975896296	2.74756065813616e-05	0.000218244838016652	3221	1352	2123	1314	1512	1541	1723	1302	1334	967	479	863
g1375	6206.82876868976	-2.02829476428697	0.268674484702001	-7.54926455534711	4.37722922877835e-14	2.03604597242958e-12	4664	12637	12030	12421	15851	15252	16938	18185	3449	1560	2119	3879	2708	376	1221	1357	sp	A3KN33	EGFLA_BOVIN	43.825	664	364	5	403	2376	355	1015	0	580	A3KN33	reviewed	EGFLA_BOVIN	Pikachurin (EGF-like, fibronectin type-III and laminin G-like domain-containing protein)	EGFLAM	Bos taurus (Bovine)	1018		GO:0005509; GO:0005604; GO:0042995; GO:0043083; GO:0048786	5809.50398964897	-2.18541244440498	0.51609545439986	-4.23451209611269	2.29048456549519e-05	0.000186788861064129	1421	2026	2261	4238	812	194	13636	11971	13844	12801	8983	8117
g188	690.062040763369	0.619682494164497	0.193431112484078	3.20363402870624	0.00135704858522299	0.00574897240693796	542	893	715	497	592	796	835	1083	595	869	690	1047	1032	111	646	551	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	564.373540294405	0.902407182414639	0.268215529859962	3.36448520667611	0.000766865952002611	0.00379271850802716	713	885	812	387	319	769	786	487	431	596	202	463
g22028	240.55571507672	-1.40748571889918	0.259671171317691	-5.42026175550006	5.95118339864791e-08	8.98838734962846e-07	317	465	589	548	386	486	459	480	131	104	84	191	122	12	203	58	sp	Q9UKB3	DJC12_HUMAN	45.078	193	80	5	19	519	6	198	1.87e-47	156	Q9UKB3	reviewed	DJC12_HUMAN	DnaJ homolog subfamily C member 12 (J domain-containing protein 1)	DNAJC12 JDP1	Homo sapiens (Human)	198		GO:0005737	99.1025895096832	-1.50363448996927	0.367408575809463	-4.09254053653078	4.26672625726579e-05	0.000319641381340289	73	29	56	17	31	61	243	184	89	246	186	136
g184	336.384442057105	-0.815959639017501	0.171723703051354	-4.75158422814518	2.01829052666e-06	2.10657022611878e-05	465	692	808	425	492	606	591	556	180	178	167	366	195	47	299	167	sp	Q8K0G5	EIPR1_MOUSE	65.206	388	133	1	1	1164	1	386	7.33e-175	495	Q8K0G5	reviewed	EIPR1_MOUSE	EARP and GARP complex-interacting protein 1 (Endosome-associated recycling protein-interacting protein) (Golgi-associated retrograde protein-interacting protein) (Tumor-suppressing STF cDNA 1 protein) (Tumor-suppressing subchromosomal transferable fragment candidate gene 1 protein)	Eipr1 Tssc1	Mus musculus (Mouse)	386	endocytic recycling [GO:0032456]; positive regulation of dense core granule transport [GO:1904811]; positive regulation of endocytic recycling [GO:2001137]; positive regulation of retrograde transport, endosome to Golgi [GO:1905281]; protein ubiquitination [GO:0016567]; regulation of insulin secretion [GO:0050796]	GO:0000938; GO:0005802; GO:0016567; GO:0032456; GO:0050796; GO:1904811; GO:1905281; GO:1990745; GO:2001137	164.18511307837	-1.14284980203177	0.2984164813474	-3.82971408573551	0.000128292230249431	0.000836611151441807	80	136	92	145	38	49	375	236	291	219	284	243
g6684	15.6184405205212	1.88355044879473	0.451876205099084	4.16828863201974	3.0689516469001e-05	0.000231306465222525	8	10	10	6	11	6	8	11	27	3	8	52	10	13	22	16	sp	Q80X72	LRC15_MOUSE	43.434	99	56	0	3604	3900	248	346	3.97e-13	78.2	Q80X72	reviewed	LRC15_MOUSE	Leucine-rich repeat-containing protein 15	Lrrc15	Mus musculus (Mouse)	579	negative regulation of protein localization to plasma membrane [GO:1903077]; negative regulation of viral entry into host cell [GO:0046597]; positive regulation of cell migration [GO:0030335]; receptor-mediated virion attachment to host cell [GO:0046813]	GO:0001968; GO:0005518; GO:0005615; GO:0005886; GO:0009986; GO:0016324; GO:0030335; GO:0031012; GO:0043236; GO:0046597; GO:0046813; GO:0062023; GO:0140311; GO:1903077	84.1438047520576	3.61508418997142	0.87434751235785	4.13460796637098	3.5556106873288e-05	0.000273020898918741	119	699	16	15	29	33	18	12	11	5	10	35
g255	33.9368543160665	3.4201113298079	1.10027455056266	3.10841628397106	0.00188092925529062	0.00756022848447746	0	0	0	0	7	25	26	6	29	17	43	46	61	0	58	149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	133.441709843348	3.96198964899146	1.36441866926125	2.90379319650958	0.00368671592600847	0.0141170254905971	67	381	619	4	0	353	29	47	5	0	0	38
g257	627.340301248449	-1.41863334185717	0.378074283654368	-3.7522608735644	0.000175246962839969	0.00102481954552362	665	1450	1517	1440	1043	994	1236	1432	300	108	213	1310	233	29	387	140	sp	Q80T74	KLH29_MOUSE	26.374	455	231	7	4	1095	431	872	1.02e-42	162	Q80T74	reviewed	KLH29_MOUSE	Kelch-like protein 29 (Kelch repeat and BTB domain-containing protein 9)	Klhl29 Kbtbd9 Kiaa1921	Mus musculus (Mouse)	875			421.217721840694	-1.49333610393776	0.419813314135507	-3.5571432673899	0.000374909711536428	0.00207928566813089	190	499	255	54	86	132	1120	519	518	923	927	588
